relative_path,current_runtime,current_test,current_doc,local_current_doc,legacy_doc,registry_owner,history,report_snapshot,local_inventory,archive_snapshot,code_snapshot,transaction_record,blocking_refs,blocking_locations
data/pallet/_addon_pilot2.log,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_addon_pilot3.log,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_addon_pilot4.log,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_addon_pilot_gen.log,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_copy_and_zip_c.py,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_copy_c.log,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_finalize_c_zip.py,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_floor_applied14_render.log,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_floor_catalog.png,0,0,0,0,0,0,0,9,0,0,0,,0,
data/pallet/_floor_test10_render.log,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_make_split_zips.log,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_make_split_zips.py,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_make_zip_lowmem.log,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_make_zip_lowmem.py,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_mask_test10_gen.log,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_mask_test60_gen.log,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_mat_test10_gen.log,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_mat_test10b_gen.log,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_mat_test10e_closeup.log,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_mat_test10e_gen.log,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_material_compare_run.log,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_ram_test.log,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_ram_test.py,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_read_stability_test.py,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_rebuild_part7.log,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_rebuild_part7_nocache.py,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_rebuild_parts.log,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_rebuild_parts.py,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_repack.log,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_repack.py,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_repack_retry.log,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_repack_retry.py,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_stress_read.log,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_stress_read.py,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/_tmp_ph,0,0,1,0,0,0,0,58,0,0,0,,0,
data/pallet/_trunc_addon_v1_10m_example,0,0,0,0,0,0,0,32,0,0,0,,0,
data/pallet/_trunc_addon_v1_far_example,0,0,0,0,0,0,0,36,0,0,0,,0,
data/pallet/_v2_b3_check,0,0,2,0,2,0,1,222,0,0,0,,0,
data/pallet/_v2_calib_200,0,0,1,1,1,0,1,206,0,0,0,,0,
data/pallet/_v2_g5_reverify,0,0,0,0,0,0,0,82,0,0,0,,0,
data/pallet/_v2_pilot_2k,0,0,6,3,5,0,3,465,0,0,1,,0,
data/pallet/_v2_publicmask_overlay_smoke8,0,0,0,0,0,0,5,320,0,0,0,,0,
data/pallet/_v2_scene_logic_500_seed7500,0,0,48,0,0,0,20,2569,0,0,0,,0,
data/pallet/_v2_scene_logic_probe_seed7500_f18_r19_log.console.txt,0,0,0,0,0,0,0,15,0,0,0,,0,
data/pallet/_v2_scene_logic_probe_seed7500_idx02_prealign_r01.log,0,0,0,0,0,0,0,15,0,0,0,,0,
data/pallet/_v2_scene_logic_smoke20_seed7500_r40.log,0,0,0,0,0,0,0,15,0,0,0,,0,
data/pallet/_v2_scene_logic_smoke20_seed7500_r7_blender.log,0,0,0,0,0,0,0,15,0,0,0,,0,
data/pallet/_v2_smoke50_9d,0,0,31,0,0,0,11,1083,0,0,0,,0,
data/pallet/_wood_closeup.log,0,0,0,0,0,0,0,13,0,0,0,,0,
data/pallet/archive/_addon_pilot,0,0,0,0,0,0,0,46,0,0,0,,0,
data/pallet/archive/_addon_pilot2,0,0,0,0,0,0,0,46,0,0,0,,0,
data/pallet/archive/_addon_pilot3,0,0,0,0,0,0,0,46,0,0,0,,0,
data/pallet/archive/_addon_pilot4,0,0,0,0,0,0,0,46,0,0,0,,0,
data/pallet/archive/_cam_test10,0,0,0,0,0,0,0,74,0,0,0,,0,
data/pallet/archive/_cam_test10b,0,0,0,0,0,0,0,74,0,0,0,,0,
data/pallet/archive/_diag_pallet3,0,0,0,0,0,0,0,22,0,0,0,,0,
data/pallet/archive/_efront_12kp_check,0,0,0,0,0,0,0,145,0,0,0,,0,
data/pallet/archive/_emptywood_test,0,0,0,0,0,0,0,54,0,0,0,,0,
data/pallet/archive/_floor_applied14,0,0,0,0,0,0,0,24,0,0,0,,0,
data/pallet/archive/_floor_compare,0,0,0,0,0,0,0,24,0,0,0,,0,
data/pallet/archive/_floor_emit,0,0,0,0,0,0,0,32,0,0,0,,0,
data/pallet/archive/_floor_fix_test,0,0,0,0,0,0,0,20,0,0,0,,0,
data/pallet/archive/_floor_smoke10,0,0,0,0,0,0,0,44,0,0,0,,0,
data/pallet/archive/_floor_test10,0,0,0,0,0,0,0,32,0,0,0,,0,
data/pallet/archive/_floor_test10b,0,0,0,0,0,0,0,32,0,0,0,,0,
data/pallet/archive/_floor_test10b_std,0,0,0,0,0,0,0,32,0,0,0,,0,
data/pallet/archive/_floor_uv_test,0,0,0,0,0,0,0,20,0,0,0,,0,
data/pallet/archive/_mask_poc,0,0,0,0,0,0,0,22,0,0,0,,0,
data/pallet/archive/_mask_test10,0,0,0,0,0,0,0,44,0,0,0,,0,
data/pallet/archive/_mat_test10,0,0,0,0,0,0,0,72,0,0,0,,0,
data/pallet/archive/_mat_test10b,0,0,0,0,0,0,0,88,0,0,0,,0,
data/pallet/archive/_mat_test10c,0,0,0,0,0,0,0,84,0,0,0,,0,
data/pallet/archive/_mat_test10d,0,0,0,0,0,0,0,72,0,0,0,,0,
data/pallet/archive/_mat_test10d_scene3,0,0,0,0,0,0,0,72,0,0,0,,0,
data/pallet/archive/_mat_test10e,0,0,0,0,0,0,0,84,0,0,0,,0,
data/pallet/archive/_material_compare,0,0,0,0,0,0,0,26,0,0,0,,0,
data/pallet/archive/_mesh_proc_compare,0,0,0,0,0,0,0,22,0,0,0,,0,
data/pallet/archive/_noai_quarantine_usd,0,1,5,0,0,0,0,49,0,0,0,,1,scripts/data_prep/blender/tests/test_stage2d1_archive_finalization.py:550
data/pallet/archive/_pallet_catalog_0123,0,0,0,0,0,0,0,22,0,0,0,,0,
data/pallet/archive/_perm_v4_fix_check,0,0,0,0,0,0,0,22,0,0,0,,0,
data/pallet/archive/_preview10,0,0,0,0,0,0,0,70,0,0,0,,0,
data/pallet/archive/_procedural_textures,0,0,1,0,0,0,0,27,0,0,0,,0,
data/pallet/archive/_test_topview,0,0,0,0,0,0,0,68,0,0,0,,0,
data/pallet/archive/_wood_skin_compare,0,0,0,0,0,0,0,80,0,0,0,,0,
data/pallet/archive/rotation_debug,0,0,0,0,0,0,0,22,0,0,0,,0,
data/pallet/archive/runtime_pallet_debug,0,0,0,0,0,0,0,22,0,0,0,,0,
data/pallet/archive/test_blender_v1,0,0,0,0,0,0,0,32,0,0,0,,0,
data/pallet/archive/test_blender_v10,0,0,0,0,0,0,0,32,0,0,0,,0,
data/pallet/archive/test_blender_v11,0,0,0,0,0,0,0,32,0,0,0,,0,
data/pallet/archive/test_blender_v12,0,0,0,0,0,0,0,32,0,0,0,,0,
data/pallet/archive/test_blender_v13,0,0,0,0,0,0,0,32,0,0,0,,0,
data/pallet/archive/test_blender_v14,0,0,0,0,0,0,0,32,0,0,0,,0,
data/pallet/archive/test_blender_v15,0,0,0,0,0,0,0,32,0,0,0,,0,
data/pallet/archive/test_blender_v16,0,0,0,0,0,0,0,32,0,0,0,,0,
data/pallet/archive/test_blender_v17,0,0,0,0,0,0,0,32,0,0,0,,0,
data/pallet/archive/test_blender_v18,0,0,0,0,0,0,0,32,0,0,0,,0,
data/pallet/archive/test_blender_v19,0,0,0,0,0,0,0,32,0,0,0,,0,
data/pallet/archive/test_blender_v2,0,0,0,0,0,0,0,32,0,0,0,,0,
data/pallet/archive/test_blender_v20,0,0,0,0,0,0,0,32,0,0,0,,0,
data/pallet/archive/test_blender_v21,0,0,0,0,0,0,0,32,0,0,0,,0,
