relative_path,classification,reason,depth,child_dirs,files,in_registry,prior_ledger,was_move_source,destination
data/pallet/archive/corrupt,EMPTY_POLICY_CONTAINER,최종 semantic container,2,0,0,False,,False,
data/pallet/archive/legacy_assets,EMPTY_POLICY_CONTAINER,최종 semantic container,2,0,0,False,,False,
data/pallet/archive/legacy_datasets/noai_baked/training_data/_test_outdoor3,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/archive/legacy_datasets/noai_baked/training_data/_test_outdoor9,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/archive/legacy_datasets/test_blender_v1/overlay,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/archive/legacy_datasets/test_blender_v2/overlay,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/archive/legacy_datasets/test_blender_v3/overlay,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/archive/legacy_datasets/test_blender_v35,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,3,1,0,False,,False,
data/pallet/archive/legacy_datasets/test_blender_v35/overlay,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/archive/legacy_datasets/test_blender_v49,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,3,1,0,False,,False,
data/pallet/archive/legacy_datasets/test_blender_v49/overlay,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/archive/nonredistributable,EMPTY_POLICY_CONTAINER,최종 semantic container,2,0,0,False,,False,
data/pallet/archive/superseded_runs/_efront_12kp_check/_smoke_4pallet/overlay,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/archive/superseded_runs/_efront_12kp_check/_smoke_v4/train/overlay,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,6,0,0,False,,False,
data/pallet/archive/superseded_runs/_floor_emit/overlay,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,4,0,0,False,,False,
data/pallet/archive/superseded_runs/_v2_pilot_2k/mask/unocc,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
data/pallet/archive/superseded_runs/_v2_publicmask_overlay_smoke8/eda/failure_examples,EMPTY_PAYLOAD_SUBDIR,최종 구조 안의 빈 하위폴더 — 해당 항목/뼈대의 일부,5,0,0,False,,False,
