folder,folder_ko,source,name,bx,by,bz,maxdim,faces,texture,license,url,mesh,notes,fill_ratio_mean,fill_ratio_std,fill_ratio_min,fill_ratio_max,fill_ratio_method,dp_indoor,dp_outdoor_day,dp_outdoor_night
medium,중,polyhaven,planter_box_01,0.913,0.425,0.414,0.913,8094,yes,CC0-1.0,https://polyhaven.com/a/planter_box_01,medium/ph__planter_box_01/planter_box_01_1k.gltf,,0.9607,0.0194,0.9272,0.9752,projected,1,1,1
medium,중,polyhaven,plastic_monobloc_chair_01,0.642,0.88,0.628,0.88,3356,yes,CC0-1.0,https://polyhaven.com/a/plastic_monobloc_chair_01,medium/ph__plastic_monobloc_chair_01/plastic_monobloc_chair_01_1k.gltf,,0.3396,0.0902,0.2343,0.4836,projected,1,1,1
medium,중,polyhaven,potted_plant_01,0.587,1.35,0.634,1.35,176226,yes,CC0-1.0,https://polyhaven.com/a/potted_plant_01,medium/ph__potted_plant_01/potted_plant_01_1k.gltf,,0.4554,0.0228,0.429,0.4918,raster,1,1,1
medium,중,polyhaven,propane_tank,0.337,0.554,0.337,0.554,5238,yes,CC0-1.0,https://polyhaven.com/a/propane_tank,medium/ph__propane_tank/propane_tank_1k.gltf,,0.8678,0.005,0.8639,0.8764,projected,1,1,1
medium,중,polyhaven,tool_cart,1.273,0.965,0.754,1.273,29394,yes,CC0-1.0,https://polyhaven.com/a/tool_cart,medium/ph__tool_cart/tool_cart_1k.gltf,,0.3842,0.0189,0.3653,0.4074,projected,1,1,1
small,소,gso,Clue_Board_Game_Classic_Edition,0.497,0.058,0.26,0.497,4450,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/Clue_Board_Game_Classic_Edition,small/gso__Clue_Board_Game_Classic_Edition/meshes/model.obj,,0.9271,0.0632,0.8183,0.9716,hybrid,1,0,0
small,소,gso,CoQ10,0.047,0.048,0.084,0.084,10490,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/CoQ10,small/gso__CoQ10/meshes/model.obj,,0.7652,0.2379,0.202,0.9421,projected,1,0,0
small,소,gso,Crunch_Girl_Scouts_Candy_Bars_Peanut_Butter_Creme_78_oz_box,0.139,0.063,0.164,0.164,3682,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/Crunch_Girl_Scouts_Candy_Bars_Peanut_Butter_Creme_78_oz_box,small/gso__Crunch_Girl_Scouts_Candy_Bars_Peanut_Butter_Creme_78_oz_box/meshes/model.obj,,0.9712,0.0115,0.9587,0.9868,hybrid,1,0,0
small,소,gso,DPC_Handmade_Hat_Brown,0.318,0.354,0.143,0.354,22828,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/DPC_Handmade_Hat_Brown,small/gso__DPC_Handmade_Hat_Brown/meshes/model.obj,,0.5433,0.0088,0.5291,0.5524,hybrid,1,0,0
small,소,gso,DPC_tropical_Trends_Hat,0.376,0.404,0.172,0.404,55206,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/DPC_tropical_Trends_Hat,small/gso__DPC_tropical_Trends_Hat/meshes/model.obj,,0.4956,0.0096,0.4811,0.5078,hybrid,1,0,0
small,소,gso,Digital_Camo_Double_Decker_Lunch_Bag,0.261,0.182,0.219,0.261,16358,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/Digital_Camo_Double_Decker_Lunch_Bag,small/gso__Digital_Camo_Double_Decker_Lunch_Bag/meshes/model.obj,,0.6371,0.2338,0.3669,0.9141,hybrid,1,0,0
small,소,gso,Don_Franciscos_Gourmet_Coffee_Medium_Decaf_100_Colombian_12_oz_340_g,0.103,0.103,0.141,0.141,9452,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/Don_Franciscos_Gourmet_Coffee_Medium_Decaf_100_Colombian_12_oz_340_g,small/gso__Don_Franciscos_Gourmet_Coffee_Medium_Decaf_100_Colombian_12_oz_340_g/meshes/model.obj,,0.8655,0.1769,0.5592,0.9717,hybrid,1,0,0
small,소,gso,Hasbro_Monopoly_Hotels_Game,0.28,0.086,0.28,0.28,4016,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/Hasbro_Monopoly_Hotels_Game,small/gso__Hasbro_Monopoly_Hotels_Game/meshes/model.obj,,0.7491,0.0374,0.6943,0.7859,projected,1,0,0
small,소,gso,Jansport_School_Backpack_Blue_Streak,0.358,0.369,0.44,0.44,30092,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/Jansport_School_Backpack_Blue_Streak,small/gso__Jansport_School_Backpack_Blue_Streak/meshes/model.obj,,0.5846,0.3019,0.1571,0.8792,hybrid,1,0,0
small,소,gso,KS_Chocolate_Cube_Box_Assortment_By_Neuhaus_2010_Ounces,0.17,0.184,0.172,0.184,13200,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/KS_Chocolate_Cube_Box_Assortment_By_Neuhaus_2010_Ounces,small/gso__KS_Chocolate_Cube_Box_Assortment_By_Neuhaus_2010_Ounces/meshes/model.obj,,0.7351,0.0866,0.6415,0.8486,projected,1,0,0
small,소,gso,Mens_Striper_Sneaker_in_White_rnp8HUli59Y,0.104,0.286,0.101,0.286,27882,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/Mens_Striper_Sneaker_in_White_rnp8HUli59Y,small/gso__Mens_Striper_Sneaker_in_White_rnp8HUli59Y/meshes/model.obj,,0.5901,0.1172,0.4547,0.7205,hybrid,1,0,0
small,소,gso,Nescafe_Tasters_Choice_Instant_Coffee_Decaf_House_Blend_Light_7_oz,0.097,0.079,0.186,0.186,9214,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/Nescafe_Tasters_Choice_Instant_Coffee_Decaf_House_Blend_Light_7_oz,small/gso__Nescafe_Tasters_Choice_Instant_Coffee_Decaf_House_Blend_Light_7_oz/meshes/model.obj,,0.696,0.3766,0.044,0.9264,hybrid,1,0,0
small,소,gso,Nestle_Nesquik_Chocolate_Powder_Flavored_Milk_Additive_109_Oz_Canister,0.062,0.107,0.144,0.144,14756,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/Nestle_Nesquik_Chocolate_Powder_Flavored_Milk_Additive_109_Oz_Canister,small/gso__Nestle_Nesquik_Chocolate_Powder_Flavored_Milk_Additive_109_Oz_Canister/meshes/model.obj,,0.8803,0.0448,0.8089,0.9216,hybrid,1,0,0
small,소,gso,Olive_Kids_Dinosaur_Land_Sidekick_Backpack,0.31,0.292,0.38,0.38,22640,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/Olive_Kids_Dinosaur_Land_Sidekick_Backpack,small/gso__Olive_Kids_Dinosaur_Land_Sidekick_Backpack/meshes/model.obj,,0.6659,0.1668,0.3851,0.8131,hybrid,1,0,0
small,소,gso,Organic_Whey_Protein_Vanilla,0.123,0.121,0.17,0.17,9416,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/Organic_Whey_Protein_Vanilla,small/gso__Organic_Whey_Protein_Vanilla/meshes/model.obj,,0.916,0.0569,0.8175,0.9511,projected,1,0,0
small,소,gso,Timberland_Mens_Earthkeepers_Newmarket_6Inch_Cupsole_Boot,0.107,0.294,0.212,0.294,16976,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/Timberland_Mens_Earthkeepers_Newmarket_6Inch_Cupsole_Boot,small/gso__Timberland_Mens_Earthkeepers_Newmarket_6Inch_Cupsole_Boot/meshes/model.obj,,0.4048,0.1845,0.2458,0.7125,hybrid,1,0,0
small,소,gso,Twinlab_100_Whey_Protein_Fuel_Chocolate,0.158,0.157,0.259,0.259,12770,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/Twinlab_100_Whey_Protein_Fuel_Chocolate,small/gso__Twinlab_100_Whey_Protein_Fuel_Chocolate/meshes/model.obj,,0.6107,0.3419,0.1393,0.9391,projected,1,0,0
small,소,gso,UGG_Classic_Tall_Womens_Boots_Chestnut_7,0.11,0.291,0.332,0.332,17234,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/UGG_Classic_Tall_Womens_Boots_Chestnut_7,small/gso__UGG_Classic_Tall_Womens_Boots_Chestnut_7/meshes/model.obj,,0.5195,0.261,0.087,0.7863,hybrid,1,0,0
small,소,gso,US_Army_Stash_Lunch_Bag,0.225,0.161,0.274,0.274,16422,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/US_Army_Stash_Lunch_Bag,small/gso__US_Army_Stash_Lunch_Bag/meshes/model.obj,,0.5753,0.1761,0.2976,0.7803,hybrid,1,0,0
small,소,gso,U_By_Kotex_Sleek_Regular_Unscented_Tampons_36_Ct_Box,0.11,0.092,0.146,0.146,6972,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/U_By_Kotex_Sleek_Regular_Unscented_Tampons_36_Ct_Box,small/gso__U_By_Kotex_Sleek_Regular_Unscented_Tampons_36_Ct_Box/meshes/model.obj,,0.7116,0.3494,0.1293,0.9867,hybrid,1,0,0
small,소,gso,Vans_Cereal_Honey_Nut_Crunch_11_oz_box,0.203,0.056,0.282,0.282,1446,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/Vans_Cereal_Honey_Nut_Crunch_11_oz_box,small/gso__Vans_Cereal_Honey_Nut_Crunch_11_oz_box/meshes/model.obj,,0.9731,0.0092,0.964,0.9869,projected,1,0,0
small,소,gso,Vtech_Stack_Sing_Rings_636_Months,0.135,0.128,0.233,0.233,21056,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/Vtech_Stack_Sing_Rings_636_Months,small/gso__Vtech_Stack_Sing_Rings_636_Months/meshes/model.obj,,0.5358,0.0481,0.4872,0.5973,hybrid,1,0,0
small,소,gso,Weisshai_Great_White_Shark,0.144,0.167,0.075,0.167,5912,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/Weisshai_Great_White_Shark,small/gso__Weisshai_Great_White_Shark/meshes/model.obj,,0.4072,0.0576,0.3113,0.4524,hybrid,1,0,0
small,소,gso,Wooden_ABC_123_Blocks_50_pack,0.214,0.063,0.123,0.214,16908,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/Wooden_ABC_123_Blocks_50_pack,small/gso__Wooden_ABC_123_Blocks_50_pack/meshes/model.obj,,0.6819,0.3873,0.0147,0.9654,projected,1,0,0
small,소,polyhaven,adjustable_wrench,0.068,0.254,0.031,0.254,5390,yes,CC0-1.0,https://polyhaven.com/a/adjustable_wrench,small/ph__adjustable_wrench/adjustable_wrench_1k.gltf,,0.7088,0.0445,0.6541,0.7713,projected,1,1,1
small,소,polyhaven,bleach_bottle,0.088,0.294,0.061,0.294,4052,yes,CC0-1.0,https://polyhaven.com/a/bleach_bottle,small/ph__bleach_bottle/bleach_bottle_1k.gltf,,0.8405,0.0146,0.8284,0.8642,projected,1,1,1
small,소,polyhaven,can_rusted,0.125,0.151,0.125,0.151,3520,yes,CC0-1.0,https://polyhaven.com/a/can_rusted,small/ph__can_rusted/can_rusted_1k.gltf,,0.756,0.2267,0.4671,0.9812,hybrid,1,1,1
small,소,polyhaven,cardboard_box_01,0.387,0.342,0.516,0.516,16952,yes,CC0-1.0,https://polyhaven.com/a/cardboard_box_01,small/ph__cardboard_box_01/cardboard_box_01_1k.gltf,,0.9175,0.0226,0.8805,0.9418,hybrid,1,1,1
small,소,polyhaven,cement_bag,0.462,0.18,0.7,0.7,844,yes,CC0-1.0,https://polyhaven.com/a/cement_bag,small/ph__cement_bag/cement_bag_1k.gltf,,0.9225,0.0176,0.8922,0.9349,projected,1,1,1
small,소,polyhaven,crowbar_01,0.04,0.555,0.128,0.555,2300,yes,CC0-1.0,https://polyhaven.com/a/crowbar_01,small/ph__crowbar_01/crowbar_01_1k.gltf,,0.5483,0.0292,0.5248,0.5982,projected,1,1,1
small,소,polyhaven,metal_jerrycan,0.35,0.455,0.172,0.455,20022,yes,CC0-1.0,https://polyhaven.com/a/metal_jerrycan,small/ph__metal_jerrycan/metal_jerrycan_1k.gltf,,0.9464,0.0187,0.9237,0.9747,projected,1,1,1
small,소,polyhaven,oil_tin,0.115,0.205,0.154,0.205,2834,yes,CC0-1.0,https://polyhaven.com/a/oil_tin,small/ph__oil_tin/oil_tin_1k.gltf,,0.9495,0.0081,0.936,0.9571,projected,1,1,1
small,소,polyhaven,plastic_bottle_gallon,0.166,0.274,0.126,0.274,13728,yes,CC0-1.0,https://polyhaven.com/a/plastic_bottle_gallon,small/ph__plastic_bottle_gallon/plastic_bottle_gallon_1k.gltf,,0.8065,0.0755,0.6776,0.8628,projected,1,1,1
small,소,polyhaven,plastic_crate_01,0.298,0.264,0.408,0.408,18320,yes,CC0-1.0,https://polyhaven.com/a/plastic_crate_01,small/ph__plastic_crate_01/plastic_crate_01_1k.gltf,,0.8408,0.0922,0.7465,0.9329,projected,1,1,1
small,소,polyhaven,plastic_crate_03,0.481,0.266,0.265,0.481,21740,yes,CC0-1.0,https://polyhaven.com/a/plastic_crate_03,small/ph__plastic_crate_03/plastic_crate_03_1k.gltf,,0.8218,0.136,0.6777,0.9577,projected,1,1,1
small,소,polyhaven,russian_food_cans_01,0.142,0.085,0.046,0.142,1348,yes,CC0-1.0,https://polyhaven.com/a/russian_food_cans_01,small/ph__russian_food_cans_01/russian_food_cans_01_1k.gltf,multi-can set,0.5747,0.1042,0.4267,0.7213,projected,1,1,1
small,소,polyhaven,sledgehammer_01,0.208,1.006,0.09,1.006,2596,yes,CC0-1.0,https://polyhaven.com/a/sledgehammer_01,small/ph__sledgehammer_01/sledgehammer_01_1k.gltf,,0.6474,0.2033,0.4823,0.9957,projected,1,1,1
small,소,polyhaven,wicker_basket_01,0.383,0.117,0.295,0.383,22276,yes,CC0-1.0,https://polyhaven.com/a/wicker_basket_01,small/ph__wicker_basket_01/wicker_basket_01_1k.gltf,,0.868,0.0038,0.864,0.8724,projected,1,1,1
small,소,polyhaven,wine_bottles_01,0.676,0.331,0.081,0.676,28848,yes,CC0-1.0,https://polyhaven.com/a/wine_bottles_01,small/ph__wine_bottles_01/wine_bottles_01_1k.gltf,multi-bottle set,0.4876,0.1635,0.3217,0.7592,projected,1,1,1
small,소,polyhaven,wooden_crate_01,0.825,0.35,0.409,0.825,6576,yes,CC0-1.0,https://polyhaven.com/a/wooden_crate_01,small/ph__wooden_crate_01/wooden_crate_01_1k.gltf,,0.9288,0.0345,0.8745,0.9587,projected,1,1,1
road,도로,polyhaven,WetFloorSign_01,0.3,0.63,0.359,0.63,228,yes,CC0-1.0,https://polyhaven.com/a/WetFloorSign_01,road/ph__WetFloorSign_01/WetFloorSign_01_1k.gltf,,0.5897,0.2978,0.0936,0.8884,projected,0,1,1
road,도로,polyhaven,concrete_road_barrier,1.545,0.831,0.639,1.545,60928,yes,CC0-1.0,https://polyhaven.com/a/concrete_road_barrier,road/ph__concrete_road_barrier/concrete_road_barrier_1k.gltf,,0.7231,0.1714,0.5129,0.9479,hybrid,0,1,1
road,도로,polyhaven,concrete_road_barrier_02,1.565,1.112,0.442,1.565,23822,yes,CC0-1.0,https://polyhaven.com/a/concrete_road_barrier_02,road/ph__concrete_road_barrier_02/concrete_road_barrier_02_1k.gltf,,0.7784,0.1141,0.5832,0.8637,projected,0,1,1
road,도로,polyhaven,fire_hydrant,0.875,0.799,0.318,0.875,86316,yes,CC0-1.0,https://polyhaven.com/a/fire_hydrant,road/ph__fire_hydrant/fire_hydrant_1k.gltf,,0.4902,0.0635,0.3969,0.5762,projected,0,1,1
road,도로,polyhaven,modular_chainlink_fence,8.115,2.523,2.149,8.115,89232,yes,CC0-1.0,https://polyhaven.com/a/modular_chainlink_fence,road/ph__modular_chainlink_fence/modular_chainlink_fence_1k.gltf,"modular fence, 8.1m-long segment set",0.5685,0.2678,0.1486,0.8874,projected,0,1,1
road,도로,polyhaven,power_box_01,0.461,0.503,0.399,0.503,21272,yes,CC0-1.0,https://polyhaven.com/a/power_box_01,road/ph__power_box_01/power_box_01_1k.gltf,,0.5976,0.2755,0.197,0.9756,projected,0,1,1
road,도로,polyhaven,street_lamp_01,0.704,3.871,0.386,3.871,30610,yes,CC0-1.0,https://polyhaven.com/a/street_lamp_01,road/ph__street_lamp_01/street_lamp_01_1k.gltf,,0.2753,0.0524,0.1965,0.345,projected,0,1,1
road,도로,polyhaven,utility_box_01,0.52,1.12,0.432,1.12,4404,yes,CC0-1.0,https://polyhaven.com/a/utility_box_01,road/ph__utility_box_01/utility_box_01_1k.gltf,,0.9166,0.0321,0.8664,0.9555,projected,0,1,1
indoor,실내,gso,Central_Garden_Flower_Pot_Goo_425,0.115,0.114,0.101,0.115,7768,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/Central_Garden_Flower_Pot_Goo_425,indoor/gso__Central_Garden_Flower_Pot_Goo_425/meshes/model.obj,,0.5854,0.3323,0.0099,0.7801,projected,1,0,0
indoor,실내,gso,Ecoforms_Plant_Container_URN_NAT,0.149,0.149,0.16,0.16,4926,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/Ecoforms_Plant_Container_URN_NAT,indoor/gso__Ecoforms_Plant_Container_URN_NAT/meshes/model.obj,,0.5953,0.3379,0.01,0.7918,projected,1,0,0
indoor,실내,gso,Snack_Catcher_Snack_Dispenser,0.135,0.091,0.088,0.135,16406,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/Snack_Catcher_Snack_Dispenser,indoor/gso__Snack_Catcher_Snack_Dispenser/meshes/model.obj,,0.6572,0.2161,0.3183,0.8538,hybrid,1,0,0
indoor,실내,gso,Squirt_Strain_Fruit_Basket,0.114,0.089,0.113,0.114,15612,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/Squirt_Strain_Fruit_Basket,indoor/gso__Squirt_Strain_Fruit_Basket/meshes/model.obj,,0.4901,0.0883,0.3817,0.5841,projected,1,0,0
indoor,실내,gso,Target_Basket_Medium,0.27,0.268,0.218,0.27,85812,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/Target_Basket_Medium,indoor/gso__Target_Basket_Medium/meshes/model.obj,,0.9125,0.0141,0.8927,0.9298,hybrid,1,0,0
indoor,실내,gso,Threshold_Porcelain_Teapot_White,0.187,0.184,0.136,0.187,8324,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/Threshold_Porcelain_Teapot_White,indoor/gso__Threshold_Porcelain_Teapot_White/meshes/model.obj,,0.5922,0.285,0.1052,0.8147,projected,1,0,0
indoor,실내,gso,TriStar_Products_PPC_Power_Pressure_Cooker_XL_in_Black,0.312,0.294,0.33,0.33,25054,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/TriStar_Products_PPC_Power_Pressure_Cooker_XL_in_Black,indoor/gso__TriStar_Products_PPC_Power_Pressure_Cooker_XL_in_Black/meshes/model.obj,,0.5892,0.1895,0.3284,0.7976,hybrid,1,0,0
indoor,실내,gso,Utana_5_Porcelain_Ramekin_Large,0.132,0.132,0.07,0.132,18670,yes,CC-BY-4.0,https://app.gazebosim.org/GoogleResearch/fuel/models/Utana_5_Porcelain_Ramekin_Large,indoor/gso__Utana_5_Porcelain_Ramekin_Large/meshes/model.obj,,0.4965,0.4177,0.0753,0.9201,projected,1,0,0
indoor,실내,polyhaven,Shelf_01,1.003,2.08,0.257,2.08,182,yes,CC0-1.0,https://polyhaven.com/a/Shelf_01,indoor/ph__Shelf_01/Shelf_01_1k.gltf,,0.9679,0.0088,0.953,0.9759,projected,1,0,0
indoor,실내,polyhaven,drawer_cabinet,1.141,1.881,0.488,1.881,26406,yes,CC0-1.0,https://polyhaven.com/a/drawer_cabinet,indoor/ph__drawer_cabinet/drawer_cabinet_1k.gltf,,0.4759,0.0216,0.4395,0.4964,projected,1,0,0
indoor,실내,polyhaven,dustpan,0.332,0.1,0.368,0.368,4332,yes,CC0-1.0,https://polyhaven.com/a/dustpan,indoor/ph__dustpan/dustpan_1k.gltf,,0.2417,0.1512,0.0728,0.4723,projected,1,0,0
indoor,실내,polyhaven,multi_cleaner_5_litre,0.219,0.3,0.106,0.3,4332,yes,CC0-1.0,https://polyhaven.com/a/multi_cleaner_5_litre,indoor/ph__multi_cleaner_5_litre/multi_cleaner_5_litre_1k.gltf,,0.8932,0.0052,0.8852,0.8995,projected,1,0,0
