folder,folder_ko,source,name,bx,by,bz,maxdim,faces,texture,license,url,mesh,notes,fill_ratio_mean,fill_ratio_std,fill_ratio_min,fill_ratio_max,fill_ratio_method,dp_indoor,dp_outdoor_day,dp_outdoor_night
large,대,polyhaven,barrel_stove,0.593,0.856,0.593,0.856,9216,yes,CC0-1.0,https://polyhaven.com/a/barrel_stove,large/ph__barrel_stove/barrel_stove_1k.gltf,,0.9707,0.0037,0.9659,0.9749,projected,1,1,1
large,대,polyhaven,chinese_screen_panels,1.294,1.603,0.377,1.603,784,yes,CC0-1.0,https://polyhaven.com/a/chinese_screen_panels,large/ph__chinese_screen_panels/chinese_screen_panels_1k.gltf,,0.921,0.0126,0.9047,0.9372,projected,1,1,1
large,대,polyhaven,covered_car,1.789,1.411,4.38,4.38,12592,yes,CC0-1.0,https://polyhaven.com/a/covered_car,large/ph__covered_car/covered_car_1k.gltf,,0.7299,0.027,0.6832,0.7483,projected,1,1,1
large,대,polyhaven,ladder_sectioned_01,0.662,2.135,0.178,2.135,29140,yes,CC0-1.0,https://polyhaven.com/a/ladder_sectioned_01,large/ph__ladder_sectioned_01/ladder_sectioned_01_1k.gltf,,0.4479,0.1689,0.2089,0.6867,projected,1,1,1
large,대,polyhaven,old_military_compressor,0.598,1.179,1.676,1.676,79042,yes,CC0-1.0,https://polyhaven.com/a/old_military_compressor,large/ph__old_military_compressor/old_military_compressor_1k.gltf,,0.4993,0.0287,0.45,0.519,projected,1,1,1
large,대,polyhaven,portable_generator,0.818,0.577,0.564,0.818,26419,yes,CC0-1.0,https://polyhaven.com/a/portable_generator,large/ph__portable_generator/portable_generator_1k.gltf,,0.8598,0.0153,0.837,0.88,projected,1,1,1
large,대,polyhaven,portable_welding_cart,0.838,1.563,0.655,1.563,29418,yes,CC0-1.0,https://polyhaven.com/a/portable_welding_cart,large/ph__portable_welding_cart/portable_welding_cart_1k.gltf,,0.5805,0.0475,0.5293,0.6572,projected,1,1,1
large,대,polyhaven,steel_frame_shelves_01,10.974,21.405,5.021,21.405,4348,yes,CC0-1.0,https://polyhaven.com/a/steel_frame_shelves_01,large/ph__steel_frame_shelves_01/steel_frame_shelves_01_1k.gltf,ANOMALY: single mesh scaled ~21m; rescale or replace before use,0.1997,0.0314,0.1482,0.225,projected,1,1,1
large,대,polyhaven,steel_frame_shelves_03,2.351,2.312,0.721,2.351,8396,yes,CC0-1.0,https://polyhaven.com/a/steel_frame_shelves_03,large/ph__steel_frame_shelves_03/steel_frame_shelves_03_1k.gltf,2-unit shelf set,0.2394,0.0575,0.1483,0.3079,projected,1,1,1
large,대,polyhaven,wine_barrel_01,0.742,0.871,0.756,0.871,10820,yes,CC0-1.0,https://polyhaven.com/a/wine_barrel_01,large/ph__wine_barrel_01/wine_barrel_01_1k.gltf,,0.9184,0.007,0.9063,0.9224,projected,1,1,1
large,대,polyhaven,wooden_ladder,0.959,1.335,0.5,1.335,8492,yes,CC0-1.0,https://polyhaven.com/a/wooden_ladder,large/ph__wooden_ladder/wooden_ladder_1k.gltf,,0.2179,0.0503,0.1382,0.2611,projected,1,1,1
large,대,polyhaven,worn_metal_rack,0.915,1.9,0.6,1.9,6372,yes,CC0-1.0,https://polyhaven.com/a/worn_metal_rack,large/ph__worn_metal_rack/worn_metal_rack_1k.gltf,,0.2123,0.031,0.1655,0.2402,projected,1,1,1
medium,중,polyhaven,SchoolChair_01,0.566,1.006,0.675,1.006,5072,yes,CC0-1.0,https://polyhaven.com/a/SchoolChair_01,medium/ph__SchoolChair_01/SchoolChair_01_1k.gltf,,0.2916,0.1177,0.1153,0.4468,projected,1,1,1
medium,중,polyhaven,SchoolDesk_01,0.712,0.883,0.546,0.883,4162,yes,CC0-1.0,https://polyhaven.com/a/SchoolDesk_01,medium/ph__SchoolDesk_01/SchoolDesk_01_1k.gltf,,0.2868,0.0172,0.2692,0.304,projected,1,1,1
medium,중,polyhaven,ammo_box,0.087,0.177,0.258,0.258,4382,yes,CC0-1.0,https://polyhaven.com/a/ammo_box,medium/ph__ammo_box/ammo_box_1k.gltf,,0.8575,0.0075,0.8445,0.8621,projected,1,1,1
medium,중,polyhaven,compost_bags,1.828,0.707,0.926,1.828,18708,yes,CC0-1.0,https://polyhaven.com/a/compost_bags,medium/ph__compost_bags/compost_bags_1k.gltf,4-bag pile; ~0.68m each (relocated small->medium),0.4508,0.0857,0.3024,0.5037,hybrid,1,1,1
medium,중,polyhaven,hand_truck,0.593,1.403,0.693,1.403,13220,yes,CC0-1.0,https://polyhaven.com/a/hand_truck,medium/ph__hand_truck/hand_truck_1k.gltf,,0.1616,0.0469,0.086,0.215,projected,1,1,1
medium,중,polyhaven,industrial_storage_cart,1.603,1.377,1.103,1.603,18902,yes,CC0-1.0,https://polyhaven.com/a/industrial_storage_cart,medium/ph__industrial_storage_cart/industrial_storage_cart_1k.gltf,,0.6134,0.0319,0.5771,0.6451,projected,1,1,1
medium,중,polyhaven,korean_fire_extinguisher_01,0.28,0.659,0.367,0.659,9913,yes,CC0-1.0,https://polyhaven.com/a/korean_fire_extinguisher_01,medium/ph__korean_fire_extinguisher_01/korean_fire_extinguisher_01_1k.gltf,,0.5119,0.0896,0.4456,0.6639,projected,1,1,1
medium,중,polyhaven,metal_office_desk,2.0,0.788,0.947,2.0,6898,yes,CC0-1.0,https://polyhaven.com/a/metal_office_desk,medium/ph__metal_office_desk/metal_office_desk_1k.gltf,,0.7573,0.0171,0.7279,0.769,projected,1,1,1
medium,중,polyhaven,metal_stool_01,0.352,0.883,0.355,0.883,8334,yes,CC0-1.0,https://polyhaven.com/a/metal_stool_01,medium/ph__metal_stool_01/metal_stool_01_1k.gltf,,0.2529,0.0046,0.2484,0.2593,projected,1,1,1
medium,중,polyhaven,metal_tool_chest,0.685,0.652,0.407,0.685,13360,yes,CC0-1.0,https://polyhaven.com/a/metal_tool_chest,medium/ph__metal_tool_chest/metal_tool_chest_1k.gltf,,0.7723,0.1708,0.4902,0.9506,projected,1,1,1
medium,중,polyhaven,metal_toolbox,0.4,0.305,0.271,0.4,14228,yes,CC0-1.0,https://polyhaven.com/a/metal_toolbox,medium/ph__metal_toolbox/metal_toolbox_1k.gltf,,0.8231,0.1456,0.5868,0.985,projected,1,1,1
medium,중,polyhaven,metal_trash_can,1.778,0.906,0.556,1.778,13960,yes,CC0-1.0,https://polyhaven.com/a/metal_trash_can,medium/ph__metal_trash_can/metal_trash_can_1k.gltf,2-can set + lids; per-can ~0.6m,0.8349,0.1147,0.6541,0.9727,projected,1,1,1
medium,중,polyhaven,old_military_crate,1.815,0.301,0.976,1.815,10476,yes,CC0-1.0,https://polyhaven.com/a/old_military_crate,medium/ph__old_military_crate/old_military_crate_1k.gltf,crate + open lid + strap; single crate ~0.8m (relocated small->medium),0.7468,0.1293,0.5495,0.9101,projected,1,1,1
medium,중,polyhaven,old_tyre,0.6,0.6,0.165,0.6,2880,yes,CC0-1.0,https://polyhaven.com/a/old_tyre,medium/ph__old_tyre/old_tyre_1k.gltf,,0.9677,0.0,0.9677,0.9677,projected,1,1,1
