candidates_after_prefilter,candidates_before_prefilter,diagnostic_mode,lowres_render_count,prefilter_reject_count,proposal_prepare_s,realization_attempt_count,runtime_s,stage_anchor,stage_background,stage_cargo,stage_collision_audit,stage_context,stage_explicit,usable_id
,,context-rich,61,,,0,31.968942880630493,0.122979,0.017868,4.787077,0.29089,21.332568,3.6e-05,54
129,207,controlled-occlusion,63,78,1.790634,2,49.160359382629395,0.058504,0.015475,5.099745,0.127649,15.785945,21.699827,55
,,clean-static,0,,,0,5.589379549026489,0.20473,0.032786,0.008406,0.137043,0.001026,1.9e-05,56
,,cargo-only,8,,,0,10.181244134902954,0.054661,0.014255,5.033415,0.060808,0.001245,2.2e-05,57
,,context-rich,27,,,0,41.29872751235962,0.050717,0.016923,11.828888,0.601223,22.875057,4e-05,58
168,217,controlled-occlusion,71,49,1.723199,9,88.09187388420105,1.678133,0.018558,0.019156,0.149178,56.36854,24.037886,59
,,clean-static,0,,,0,6.329390287399292,0.124305,0.017609,0.010364,0.08534,0.000716,1.8e-05,60
,,cargo-only,12,,,0,9.696679592132568,0.121205,0.017143,4.623997,0.132547,0.001015,2.9e-05,61
,,context-rich,15,,,0,15.922851800918579,0.047086,0.016357,0.00777,0.070653,9.610956,4.6e-05,62
148,225,controlled-occlusion,74,77,1.67531,4,42.384862661361694,0.158946,0.017381,6.140389,0.284661,8.166595,22.489588,63
,,context-rich,23,,,0,39.33379936218262,4.594878,0.025662,8.548018,2.746085,16.930676,3.5e-05,64
116,226,controlled-occlusion,57,110,1.664605,2,46.47523212432861,0.049349,0.016544,5.049086,0.127502,12.881936,22.131578,65
,,clean-static,0,,,0,4.811168432235718,0.050925,0.014634,0.007888,0.017626,0.00102,3.2e-05,66
,,cargo-only,12,,,0,12.12747049331665,0.047664,0.013892,7.021037,0.042409,0.000917,1.8e-05,67
,,context-rich,23,,,0,25.82875084877014,1.754271,0.018583,5.764225,0.434216,10.994308,3.6e-05,68
83,132,controlled-occlusion,57,49,1.810368,6,54.1078143119812,1.686359,0.018425,9.398946,0.366735,11.211143,25.426892,69
,,clean-static,0,,,0,5.11918568611145,0.049317,0.018041,0.007625,0.026381,0.000977,1.8e-05,70
,,cargo-only,8,,,0,9.146003007888794,0.169932,0.018788,3.93493,0.2099,0.001185,1.9e-05,71
,,context-rich,23,,,0,20.34869933128357,0.047721,0.018896,5.043402,0.100801,9.757768,4.1e-05,72
143,204,controlled-occlusion,50,61,1.744867,2,31.100996017456055,0.135778,0.017556,4.032035,0.466171,8.708104,12.513082,73
,,context-rich,15,,,0,40.96791958808899,0.050563,0.017746,0.008456,0.589131,34.049494,4.3e-05,74
118,165,controlled-occlusion,99,47,0.424184,16,53.78386306762695,0.12502,0.018293,0.018112,0.289761,9.11454,37.865679,75
,,clean-static,0,,,0,5.396332263946533,0.148252,0.02531,0.008067,0.121852,0.000931,1.8e-05,76
,,cargo-only,8,,,0,10.468349933624268,0.048686,0.014336,5.409488,0.054389,0.000929,1.9e-05,77
,,context-rich,15,,,0,16.104641914367676,0.052932,0.014448,0.008565,0.054716,10.875313,3.8e-05,78
106,192,controlled-occlusion,53,86,1.717793,1,31.886475324630737,0.13287,0.017195,0.020074,0.345036,22.320655,4.070215,79
,,clean-static,0,,,0,5.414189100265503,0.147653,0.018742,0.010339,0.086217,0.000739,1.8e-05,80
,,cargo-only,8,,,0,14.303483486175537,1.685112,0.017328,5.631986,0.185871,0.000952,1.9e-05,81
,,context-rich,14,,,0,43.38288593292236,0.202696,0.02487,0.008076,0.574832,37.238714,4.6e-05,82
71,108,controlled-occlusion,60,37,1.854362,8,58.78199124336243,0.04939,0.016932,8.888536,0.041413,15.77924,27.718965,83
,,context-rich,17,,,0,13.509897232055664,0.234456,0.043015,0.011726,0.279151,7.451891,3.6e-05,84
84,156,controlled-occlusion,49,72,1.774987,3,45.04691958427429,1.790636,0.044606,0.020328,0.293482,15.48127,20.881452,85
,,clean-static,0,,,0,5.1283652782440186,0.04802,0.017433,0.007415,0.026521,0.000908,1.8e-05,86
,,cargo-only,8,,,0,8.647484540939331,0.12406,0.018023,3.394039,0.213172,0.000849,1.9e-05,87
,,context-rich,23,,,0,16.10608696937561,0.135204,0.018978,3.694668,0.397911,6.328217,3.7e-05,88
194,242,controlled-occlusion,121,48,1.837283,3,94.5425968170166,1.680793,0.017841,0.01923,0.285947,65.510292,20.24691,89
,,clean-static,0,,,0,5.133692502975464,0.055215,0.017894,0.008141,0.031852,0.001201,2.2e-05,90
,,cargo-only,8,,,0,10.057368993759155,0.125073,0.018776,3.608559,0.183962,0.000898,1.9e-05,91
,,context-rich,23,,,0,27.666950702667236,0.052768,0.016413,7.778996,0.105276,13.601319,3.7e-05,92
87,154,controlled-occlusion,223,67,1.74404,10,277.4955143928528,4.600568,0.023559,13.339982,2.169684,192.507571,58.676526,93
,,context-rich,19,,,0,14.892171859741211,0.13345,0.018604,0.030003,0.281706,9.288051,3.7e-05,94
66,179,controlled-occlusion,71,113,1.780315,2,36.6462299823761,0.145847,0.018034,0.01749,0.326551,17.828971,13.413387,95
,,clean-static,0,,,0,6.3101582527160645,0.072202,0.014746,0.008088,0.025758,0.000923,1.8e-05,96
,,cargo-only,8,,,0,12.079325199127197,0.153373,0.029993,6.111456,0.425446,0.000863,1.8e-05,97
,,context-rich,23,,,0,17.789541959762573,0.151726,0.018076,0.011003,0.280532,12.182076,3.6e-05,98
126,186,controlled-occlusion,29,60,1.787215,2,42.92759108543396,0.124176,0.017848,0.017789,0.134647,26.618707,10.994022,99
