usable_id,f_explicit_target,f_explicit_actual,abs_error,occluder_side_target,occluder_side_actual,occluder_side_match,explicit_occluder_visible_pixels,runtime_s
3,0.19537258492039322,,,left,left,True,228,41.190797328948975
5,0.27312834436863037,,,right,right,True,12513,53.542211055755615
9,0.14684539908486832,,,bottom,bottom,True,193,29.19108295440674
13,0.39950323821430234,,,left,left,True,455,32.514846324920654
15,0.4082084078182895,,,right,right,True,11123,44.293997049331665
19,0.2577233925098761,,,bottom,bottom,True,5284,76.24449396133423
23,0.23646578345592215,,,left,left,True,323,46.748077630996704
25,0.12697100401716757,,,bottom,bottom,True,187,82.286048412323
29,0.3343477429268502,,,right,right,True,5081,69.9708514213562
33,0.19524197566885365,,,left,left,True,4409,41.1987624168396
35,0.3350807686779613,,,left,left,True,2655,47.629260540008545
39,0.43973900871519656,,,left,left,True,6220,72.17171239852905
43,0.38540231592339785,,,right,right,True,368,24.649908781051636
45,0.3290793167680911,,,left,left,True,805,65.30609941482544
49,0.4495132565574447,,,left,left,True,2710,75.17262387275696
53,0.10291382724138247,,,right,right,True,2897,26.834275722503662
55,0.21177009451692813,,,right,right,True,424,49.160359382629395
59,0.1971867501066144,,,right,right,True,8024,88.09187388420105
63,0.20139072164260288,,,right,right,True,730,42.384862661361694
65,0.12240496389104516,,,right,right,True,991,46.47523212432861
69,0.18870592109118398,,,bottom,bottom,True,720,54.1078143119812
73,0.14832489796501136,,,right,right,True,895,31.100996017456055
75,0.3891861039916183,,,bottom,bottom,True,614,53.78386306762695
79,0.18002557219038512,,,bottom,bottom,True,514,31.886475324630737
83,0.4108783468383854,,,bottom,bottom,True,3422,58.78199124336243
85,0.3743046620576926,,,left,left,True,512,45.04691958427429
89,0.326120944012687,,,right,right,True,829,94.5425968170166
93,0.3255214460816687,,,bottom,bottom,True,229,277.4955143928528
95,0.18618485148677552,,,bottom,bottom,True,266,36.6462299823761
99,0.1919633793643682,,,right,right,True,2417,42.92759108543396
