usable_id,diagnostic_mode,semantics_pass,failed,unknown,recorded_pass,n_cargo_requested,n_cargo_placed,n_cargo_visible,cargo_visible_pixels,cargo_visible_pixel_ratio,n_context_requested,n_context_placed,n_context_visible,context_visible_pixel_ratio,explicit_occluder_placed,explicit_occluder_visible_pixels,occluder_side_target,occluder_side_actual,occluder_side_match,f_explicit_target,f_explicit_actual,runtime_s
19,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,0,0,0.0,True,5284,bottom,bottom,True,0.2577233925098761,,76.24449396133423
20,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,5.377952337265015
21,cargo-only,True,,,True,2,2,2,56,0.00341130604288499,0,0,0,0.0,False,0,,,,0.0,,10.249364137649536
22,context-rich,True,,,True,2,2,2,2590,0.1577729044834308,3,2,2,1.0,False,0,,,,0.0,,26.32210659980774
23,controlled-occlusion,True,,,True,2,1,1,20,0.002170138888888889,3,3,2,0.6666666666666666,True,323,left,left,True,0.23646578345592215,,46.748077630996704
24,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,15.372133016586304
25,controlled-occlusion,True,,,True,2,2,2,47,0.003399884259259259,3,3,3,1.0,True,187,bottom,bottom,True,0.12697100401716757,,82.286048412323
26,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,5.041877031326294
27,cargo-only,True,,,True,2,1,1,75,0.004568713450292397,0,0,0,0.0,False,0,,,,0.0,,11.035536527633667
28,context-rich,True,,,True,2,2,2,1366,0.08321150097465888,3,2,2,1.0,False,0,,,,0.0,,29.588533878326416
29,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,3,1.0,True,5081,right,right,True,0.3343477429268502,,69.9708514213562
30,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,5.658701181411743
31,cargo-only,True,,,True,2,2,1,53,0.003833912037037037,0,0,0,0.0,False,0,,,,0.0,,13.348838806152344
32,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,15.033658266067505
33,controlled-occlusion,True,,,True,2,1,1,78,0.004751461988304093,3,3,3,1.0,True,4409,left,left,True,0.19524197566885365,,41.1987624168396
34,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,62.18609833717346
35,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,3,1.0,True,2655,left,left,True,0.3350807686779613,,47.629260540008545
36,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,7.2507476806640625
37,cargo-only,True,,,True,2,2,2,237,0.014437134502923976,0,0,0,0.0,False,0,,,,0.0,,10.032957315444946
38,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,13.761957883834839
39,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,0,0,0.0,True,6220,left,left,True,0.43973900871519656,,72.17171239852905
40,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,5.764620780944824
41,cargo-only,True,,,True,2,2,2,511,0.031128167641325536,0,0,0,0.0,False,0,,,,0.0,,11.03565263748169
42,context-rich,True,,,True,0,0,0,0,0.0,3,1,1,1.0,False,0,,,,0.0,,29.110332250595093
43,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,3,1.0,True,368,right,right,True,0.38540231592339785,,24.649908781051636
44,context-rich,True,,,True,0,0,0,0,0.0,3,2,2,1.0,False,0,,,,0.0,,44.25121021270752
45,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,3,1.0,True,805,left,left,True,0.3290793167680911,,65.30609941482544
46,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,6.128347873687744
47,cargo-only,True,,,True,2,2,2,36,0.0029296875,0,0,0,0.0,False,0,,,,0.0,,13.251753807067871
48,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,17.253795385360718
49,controlled-occlusion,True,,,True,2,1,1,128,0.007797270955165692,3,0,0,0.0,True,2710,left,left,True,0.4495132565574447,,75.17262387275696
50,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,4.96255898475647
51,cargo-only,True,,,True,2,2,2,82,0.006673177083333333,0,0,0,0.0,False,0,,,,0.0,,8.53574013710022
52,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,23.432546377182007
53,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,3,1.0,True,2897,right,right,True,0.10291382724138247,,26.834275722503662
54,context-rich,True,,,True,2,1,1,37,0.00267650462962963,3,3,3,1.0,False,0,,,,0.0,,31.968942880630493
55,controlled-occlusion,True,,,True,2,2,1,36,0.0021929824561403508,3,3,3,1.0,True,424,right,right,True,0.21177009451692813,,49.160359382629395
56,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,5.589379549026489
57,cargo-only,True,,,True,2,2,2,448,0.032407407407407406,0,0,0,0.0,False,0,,,,0.0,,10.181244134902954
58,context-rich,True,,,True,2,1,1,527,0.042887369791666664,3,3,3,1.0,False,0,,,,0.0,,41.29872751235962
59,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,0,0,0.0,True,8024,right,right,True,0.1971867501066144,,88.09187388420105
60,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,6.329390287399292
61,cargo-only,True,,,True,2,1,1,16,0.0013020833333333333,0,0,0,0.0,False,0,,,,0.0,,9.696679592132568
62,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,15.922851800918579
63,controlled-occlusion,True,,,True,2,0,0,0,0.0,3,3,3,1.0,True,730,right,right,True,0.20139072164260288,,42.384862661361694
64,context-rich,True,,,True,2,2,2,910,0.09874131944444445,3,3,3,1.0,False,0,,,,0.0,,39.33379936218262
65,controlled-occlusion,True,,,True,2,2,2,46,0.0028021442495126704,3,3,3,1.0,True,991,right,right,True,0.12240496389104516,,46.47523212432861
66,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,4.811168432235718
67,cargo-only,True,,,True,2,1,1,63,0.004557291666666667,0,0,0,0.0,False,0,,,,0.0,,12.12747049331665
68,context-rich,True,,,True,2,2,2,514,0.031310916179337234,3,3,3,1.0,False,0,,,,0.0,,25.82875084877014
69,controlled-occlusion,True,,,True,2,1,1,212,0.017252604166666668,3,3,3,1.0,True,720,bottom,bottom,True,0.18870592109118398,,54.1078143119812
70,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,5.11918568611145
71,cargo-only,True,,,True,2,2,2,29,0.0023600260416666665,0,0,0,0.0,False,0,,,,0.0,,9.146003007888794
72,context-rich,True,,,True,2,2,2,901,0.06517650462962964,3,3,3,1.0,False,0,,,,0.0,,20.34869933128357
73,controlled-occlusion,True,,,True,2,2,2,259,0.01873553240740741,3,3,3,1.0,True,895,right,right,True,0.14832489796501136,,31.100996017456055
74,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,40.96791958808899
75,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,3,1.0,True,614,bottom,bottom,True,0.3891861039916183,,53.78386306762695
76,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,5.396332263946533
77,cargo-only,True,,,True,2,2,1,344,0.027994791666666668,0,0,0,0.0,False,0,,,,0.0,,10.468349933624268
78,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,16.104641914367676
79,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,3,1.0,True,514,bottom,bottom,True,0.18002557219038512,,31.886475324630737
80,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,5.414189100265503
81,cargo-only,True,,,True,2,2,2,173,0.01053849902534113,0,0,0,0.0,False,0,,,,0.0,,14.303483486175537
82,context-rich,True,,,True,0,0,0,0,0.0,3,2,2,1.0,False,0,,,,0.0,,43.38288593292236
83,controlled-occlusion,True,,,True,2,0,0,0,0.0,3,0,0,0.0,True,3422,bottom,bottom,True,0.4108783468383854,,58.78199124336243
84,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,13.509897232055664
85,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,3,1.0,True,512,left,left,True,0.3743046620576926,,45.04691958427429
86,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,5.1283652782440186
87,cargo-only,True,,,True,2,2,2,155,0.012613932291666666,0,0,0,0.0,False,0,,,,0.0,,8.647484540939331
88,context-rich,True,,,True,2,2,2,136,0.014756944444444444,3,3,3,1.0,False,0,,,,0.0,,16.10608696937561
89,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,3,1.0,True,829,right,right,True,0.326120944012687,,94.5425968170166
90,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,5.133692502975464
91,cargo-only,True,,,True,2,2,2,530,0.032285575048732945,0,0,0,0.0,False,0,,,,0.0,,10.057368993759155
92,context-rich,True,,,True,2,2,1,30,0.00244140625,3,3,3,1.0,False,0,,,,0.0,,27.666950702667236
93,controlled-occlusion,True,,,True,2,1,1,29,0.002097800925925926,3,3,3,1.0,True,229,bottom,bottom,True,0.3255214460816687,,277.4955143928528
94,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,14.892171859741211
95,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,3,1.0,True,266,bottom,bottom,True,0.18618485148677552,,36.6462299823761
96,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,6.3101582527160645
97,cargo-only,True,,,True,2,2,2,164,0.013346354166666666,0,0,0,0.0,False,0,,,,0.0,,12.079325199127197
98,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,17.789541959762573
99,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,0,0,0.0,True,2417,right,right,True,0.1919633793643682,,42.92759108543396
