config,path,cases,wall_baseline_s,wall_run_s,saving_s,actionable_cases,actionable_wall_baseline_s,actionable_wall_run_s,actionable_saving_s,rescue_triggered,rescue_won,rescue_eval_total,rescue_runtime_s,rescue_duplicate_skips,newly_accepted,newly_accepted_ids,stage_runtime_baseline_s,stage_runtime_run_s,score_callback_count,lowres_render_rejected,q_protected_accepted,q_recall,q_recall_ok,q_paired,q_median_base,q_median_run,q_p95_base,q_p95_run,q_metrics_ok,q_visible_ok,q_side_ok,q_quality_ok,q_post_context_regression,coverage_fraction,bound_conservative_s,bound_proportional_s,bound_half_haircut_s,micro_gate_pass,gate123_pass
A,data/pallet/runs/diagnostics/_g1p7_mech_configA2,24,1606.1,1872.1,-266.0,9,704.5,833.7,-129.2,12,1,58,64.4,0,1,[109],1569.1,1828.5,703,1293,11,11,True,11,0.05726243550914978,0.05726243550914978,0.11448389544178947,0.11448389544178947,11,11,11,True,0,0.5086,-129.2,-254.0,-127.0,False,True
B,data/pallet/runs/diagnostics/_g1p7_mech_configB,24,1606.1,1888.2,-282.1,9,704.5,853.6,-149.1,12,1,71,84.3,0,1,[109],1569.1,1844.9,716,1319,11,11,True,11,0.05726243550914978,0.05726243550914978,0.11448389544178947,0.11448389544178947,11,11,11,True,0,0.5086,-149.1,-293.2,-146.6,False,True
