case_id,raw_candidates,unique_geometry,duplicates,stage_crossing_duplicates,stages
3,44,41,3,3,"{""preprobe"": 3, ""primary"": 27, ""prealign-primary"": 6, ""target-seed"": 8}"
4,60,57,3,3,"{""preprobe"": 3, ""target-seed"": 24, ""primary"": 27, ""prealign-primary"": 6}"
7,12,11,1,1,"{""preprobe"": 1, ""primary"": 9, ""prealign-primary"": 2}"
8,9,9,0,0,"{""preprobe"": 1, ""target-seed"": 8}"
11,18,18,0,0,"{""preprobe"": 2, ""target-seed"": 16}"
18,27,27,0,0,"{""preprobe"": 2, ""target-seed"": 8, ""gate-overlap-refine"": 11, ""fine"": 6}"
26,18,18,0,0,"{""preprobe"": 2, ""target-seed"": 16}"
29,38,36,2,2,"{""preprobe"": 2, ""primary"": 18, ""prealign-primary"": 4, ""target-seed"": 8, ""fine"": 6}"
30,52,49,3,3,"{""preprobe"": 3, ""primary"": 27, ""rescue"": 2, ""target-seed"": 16, ""prealign-primary"": 4}"
32,60,55,5,5,"{""preprobe"": 3, ""target-seed"": 24, ""primary"": 27, ""prealign-primary"": 6}"
34,58,53,5,5,"{""preprobe"": 3, ""target-seed"": 16, ""primary"": 27, ""prealign-primary"": 6, ""fine"": 6}"
38,9,9,0,0,"{""preprobe"": 1, ""target-seed"": 8}"
46,35,34,1,1,"{""preprobe"": 2, ""target-seed"": 16, ""primary"": 9, ""prealign-primary"": 2, ""fine"": 6}"
54,36,33,3,3,"{""preprobe"": 3, ""primary"": 27, ""prealign-primary"": 4, ""rescue"": 2}"
55,44,42,2,2,"{""preprobe"": 3, ""primary"": 18, ""prealign-primary"": 4, ""target-seed"": 8, ""gate-overlap-refine"": 11}"
58,60,57,3,3,"{""preprobe"": 3, ""target-seed"": 24, ""primary"": 27, ""prealign-primary"": 6}"
59,21,20,1,1,"{""preprobe"": 2, ""primary"": 9, ""prealign-primary"": 2, ""target-seed"": 8}"
62,60,58,2,2,"{""preprobe"": 3, ""target-seed"": 24, ""primary"": 18, ""prealign-primary"": 4, ""gate-overlap-refine"": 11}"
65,9,9,0,0,"{""preprobe"": 1, ""target-seed"": 8}"
69,66,66,0,0,"{""preprobe"": 3, ""target-seed"": 24, ""corner-contact-refine"": 30, ""primary"": 3, ""fine"": 6}"
70,21,20,1,1,"{""preprobe"": 2, ""primary"": 9, ""prealign-primary"": 2, ""target-seed"": 8}"
76,9,9,0,0,"{""preprobe"": 1, ""target-seed"": 8}"
79,36,33,3,3,"{""preprobe"": 3, ""primary"": 27, ""rescue"": 2, ""prealign-primary"": 4}"
80,66,64,2,2,"{""preprobe"": 3, ""target-seed"": 24, ""primary"": 18, ""prealign-primary"": 4, ""gate-overlap-refine"": 11, ""fine"": 6}"
82,18,18,0,0,"{""preprobe"": 2, ""target-seed"": 16}"
91,60,57,3,3,"{""preprobe"": 3, ""target-seed"": 24, ""primary"": 27, ""prealign-primary"": 6}"
93,32,30,2,2,"{""preprobe"": 2, ""primary"": 18, ""prealign-primary"": 4, ""target-seed"": 8}"
98,60,57,3,3,"{""preprobe"": 3, ""target-seed"": 24, ""primary"": 27, ""prealign-primary"": 6}"
100,59,55,4,4,"{""preprobe"": 3, ""target-seed"": 23, ""primary"": 18, ""prealign-primary"": 4, ""gate-overlap-refine"": 11}"
