case_id,usable_slot,old_outcome,outcome,primary_binding_signature,case_class,budget_exhausted_with_near_feasible,min_violation_count,all_actionable_signatures,near_feasible_4of5,near_feasible_3of5,raw_candidates,unique_candidates,duplicate_candidates,stage_crossing_duplicates,hard_only_candidates,candidate_budget_exhausted,case_wall_time_s,stage_runtime_total_s,stage_explicit_s,lowres_render_count,winning_stage,projected_size,f_target,side
91,39,expensive_reject,rejected,TWO_MISS_G1_SIDE,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,2,TWO_MISS_G1_SIDE|TWO_MISS_G2_SIDE|TWO_MISS_G2_TARGET,0,7,60,57,3,3,0,9,63.784,62.02932929992676,59.923573,126,,0.09935461304438288,0.14280944862934175,bottom
93,39,accepted,accepted,ACCEPTED,ACCEPTED,False,0,,2,1,32,30,2,2,15,3,38.554,36.68250918388367,22.125493,61,primary,0.5316154620952647,0.43973900871519656,left
98,43,expensive_reject,rejected,ONE_MISS_G1,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,1,ONE_MISS_G1|TWO_MISS_G1_TARGET,22,7,60,57,3,3,3,9,137.012,135.13235354423523,128.202303,120,,0.1613355722507961,0.24634478013907238,left
100,43,expensive_reject,rejected,TWO_MISS_G1_SIDE,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,2,TWO_MISS_G1_SIDE|TWO_MISS_G1_TARGET|TWO_MISS_SIDE_TARGET,0,10,59,55,4,4,2,10,71.899,71.19149422645569,65.161008,132,,0.09591812620867338,0.4010295429731762,right
102,43,expensive_reject,rejected,MULTI_CONSTRAINT,NO_FEASIBLE_CANDIDATE_FOUND,False,3,,0,0,52,49,3,3,30,9,47.097,46.82507920265198,35.985733,76,,0.7975812203283549,0.1852509059040689,left
104,43,accepted,accepted,ACCEPTED,ACCEPTED,False,0,,6,0,9,9,0,0,0,0,17.756,16.981074571609497,7.468511,45,target-seed,0.072204918555971,0.38540231592339785,right
109,45,expensive_reject,rejected,ONE_MISS_G1,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,1,ONE_MISS_G1|ONE_MISS_SIDE|TWO_MISS_G1_SIDE|TWO_MISS_SIDE_TARGET,3,4,52,49,3,3,9,9,45.75,44.93433165550232,44.084794,91,,0.24560665379937663,0.3356562823526332,bottom
112,45,expensive_reject,rejected,ONE_MISS_G1,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,1,ONE_MISS_G1|TWO_MISS_G1_TARGET,2,10,52,49,3,3,12,9,32.52,31.80419945716858,28.05739,92,,0.5255443670771405,0.40366298099237796,right
113,45,accepted,accepted,ACCEPTED,ACCEPTED,False,0,,18,0,32,31,1,1,8,3,92.093,91.33534264564514,35.914346,131,gate-overlap-refine,0.28382261093391215,0.3290793167680911,left
118,49,expensive_reject,rejected,ONE_MISS_G1,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,1,ONE_MISS_G1|TWO_MISS_G1_TARGET,1,11,52,49,3,3,12,9,47.597,46.8750946521759,42.452686,92,,0.43762620573597755,0.2957990747707349,right
120,49,expensive_reject,rejected,MULTI_CONSTRAINT,NO_FEASIBLE_CANDIDATE_FOUND,False,4,,0,0,52,49,3,3,25,6,28.766,27.99085569381714,26.268773,84,,0.09673836897228094,0.17497335320751256,bottom
121,49,accepted,accepted,ACCEPTED,ACCEPTED,False,0,,12,4,40,39,1,1,0,3,61.136,60.303616523742676,42.383543,115,gate-overlap-refine,0.2054328926292026,0.4495132565574447,left
128,53,expensive_reject,rejected,ONE_MISS_SIDE,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,1,ONE_MISS_SIDE|TWO_MISS_SIDE_TARGET,5,11,52,49,3,3,10,9,69.246,68.46079397201538,57.499063,116,,0.5340155169561249,0.2706757082905613,right
132,53,accepted,accepted,ACCEPTED,ACCEPTED,False,0,,0,7,29,28,1,1,20,3,18.204,17.37221670150757,8.862303,41,target-seed,0.3540691845241032,0.10291382724138247,right
136,55,expensive_reject,accepted,ACCEPTED,ACCEPTED,False,0,,4,2,30,28,2,2,15,6,27.133,26.34560990333557,12.746728,60,fine,0.4821920800778217,0.16124306670200617,right
137,55,accepted,accepted,ACCEPTED,ACCEPTED,False,0,,0,1,9,9,0,0,0,0,33.503,32.712788105010986,13.556777,55,target-seed,0.07113505634435796,0.21177009451692813,right
142,59,expensive_reject,rejected,ONE_MISS_TARGET,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,1,ONE_MISS_TARGET|TWO_MISS_G2_TARGET|TWO_MISS_SIDE_TARGET,13,4,44,42,2,2,18,10,43.613,43.37118315696716,34.640473,66,,0.08729626591332634,0.3398625913123031,bottom
143,59,expensive_reject,rejected,MULTI_CONSTRAINT,NO_FEASIBLE_CANDIDATE_FOUND,False,3,,0,0,52,49,3,3,4,9,53.237,52.51582932472229,51.66976,119,,0.16103721540703184,0.165924172579748,left
146,59,expensive_reject,rejected,TWO_MISS_G1_SIDE,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,2,TWO_MISS_G1_SIDE|TWO_MISS_G2_SIDE,0,13,60,55,5,5,4,9,44.895,44.1548912525177,40.465057,134,,0.28305528439132166,0.24104336438610516,bottom
147,59,accepted,accepted,ACCEPTED,ACCEPTED,False,0,,7,0,29,28,1,1,9,3,72.767,72.0321695804596,23.001771,113,target-seed,0.526066947800193,0.1971867501066144,right
154,63,expensive_reject,rejected,ONE_MISS_G2,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,1,ONE_MISS_G2,53,0,60,60,0,0,0,12,63.082,62.37146830558777,60.095665,129,,0.22440173006486192,0.13714750827318622,left
155,63,accepted,accepted,ACCEPTED,ACCEPTED,False,0,,2,2,18,18,0,0,0,0,29.338,28.629651069641113,14.898511,78,target-seed,0.09598872660551264,0.20139072164260288,right
158,65,expensive_reject,rejected,ONE_MISS_G1,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,1,ONE_MISS_G1|TWO_MISS_G1_TARGET|TWO_MISS_G2_TARGET,3,25,60,57,3,3,3,9,40.025,39.250760078430176,37.962409,120,,0.29570855265420126,0.29693888819819236,right
159,65,accepted,accepted,ACCEPTED,ACCEPTED,False,0,,0,1,9,9,0,0,0,0,31.476,30.747579097747803,12.53618,55,target-seed,0.12565301602112766,0.12240496389104516,right
163,69,expensive_reject,rejected,ONE_MISS_G1,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,1,ONE_MISS_G1|ONE_MISS_G2|TWO_MISS_G2_TARGET,2,8,52,49,3,3,17,8,50.616,49.846922636032104,48.860394,95,,0.8049923202759377,0.27683038399999904,left
166,69,accepted,accepted,ACCEPTED,ACCEPTED,False,0,,14,0,31,30,1,1,12,1,55.042,54.24970531463623,29.596313,71,corner-contact-refine,0.23525376625478855,0.18870592109118398,bottom
173,73,expensive_reject,rejected,ONE_MISS_SIDE,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,1,ONE_MISS_SIDE|TWO_MISS_G2_SIDE|TWO_MISS_SIDE_TARGET,28,25,60,57,3,3,0,9,73.302,71.55662250518799,63.298858,144,,0.0942514050031087,0.1150761980439105,left
174,73,accepted,accepted,ACCEPTED,ACCEPTED,False,0,,0,0,9,9,0,0,0,0,40.749,38.855706214904785,13.466955,64,target-seed,0.2518769164014956,0.14832489796501136,right
176,75,accepted,accepted,ACCEPTED,ACCEPTED,False,0,,2,4,9,9,0,0,0,0,41.581,41.09993815422058,11.930959,73,target-seed,0.10207869199176992,0.3891861039916183,bottom
180,79,expensive_reject,rejected,MULTI_CONSTRAINT,NO_FEASIBLE_CANDIDATE_FOUND,False,4,,0,0,36,33,3,3,24,7,18.743,18.06465482711792,16.070904,33,,0.8427326106036971,0.20059055421810051,left
183,79,expensive_reject,accepted,ACCEPTED,ACCEPTED,False,0,,0,29,60,58,2,2,0,7,164.065,162.2138946056366,124.144331,160,primary,0.09932481890477544,0.17523444273776634,bottom
184,79,expensive_reject,rejected,ONE_MISS_G1,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,1,ONE_MISS_G1|ONE_MISS_TARGET|TWO_MISS_G1_TARGET,17,1,60,59,1,1,36,11,41.257,39.28633952140808,36.622518,55,,0.375071056510182,0.3836264574201448,left
187,79,accepted,accepted,ACCEPTED,ACCEPTED,False,0,,0,0,1,1,0,0,0,0,36.447,34.63578915596008,4.051242,63,preprobe,0.16045613114353252,0.18002557219038512,bottom
192,83,expensive_reject,rejected,ONE_MISS_G2,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,1,ONE_MISS_G2|TWO_MISS_G2_SIDE,46,9,60,60,0,0,0,12,67.676,65.86233186721802,60.322221,135,,0.23303177187599905,0.123365894996608,right
195,83,accepted,accepted,ACCEPTED,ACCEPTED,False,0,,15,6,32,31,1,1,7,3,72.358,70.32870626449585,40.02656,86,gate-overlap-refine,0.4245941999729545,0.4108783468383854,bottom
199,85,expensive_reject,rejected,ONE_MISS_SIDE,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,1,ONE_MISS_SIDE|TWO_MISS_SIDE_VISIBILITY,26,13,60,58,2,2,19,10,58.14,56.20206046104431,50.168261,110,,0.662335781758141,0.11092954169765702,right
201,85,expensive_reject,rejected,ACCEPTED,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,0,,0,16,29,29,0,0,11,4,59.789,57.73574733734131,32.287473,67,target-seed,0.29959005192826543,0.3417435681136394,left
202,85,accepted,accepted,ACCEPTED,ACCEPTED,False,0,,1,0,10,10,0,0,0,0,47.073,45.238823652267456,20.958557,49,preprobe,0.17972249129990822,0.3743046620576926,left
209,89,expensive_reject,rejected,ONE_MISS_G1,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,1,ONE_MISS_G1|ONE_MISS_G2|TWO_MISS_G1_SIDE|TWO_MISS_G1_TARGET|TWO_MISS_G2_SIDE|TWO_MISS_G2_TARGET,9,18,60,56,4,4,0,10,104.665,102.79627847671509,99.241037,126,,0.19429416337580507,0.3653783774023659,bottom
211,89,accepted,accepted,ACCEPTED,ACCEPTED,False,0,,5,0,10,10,0,0,0,0,115.083,112.96802473068237,20.836398,145,target-seed,0.07998937917856648,0.326120944012687,right
216,93,expensive_reject,rejected,TWO_MISS_SIDE_TARGET,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,2,TWO_MISS_SIDE_TARGET,0,2,12,11,1,1,4,3,17.216,16.44180965423584,15.212775,22,,0.5574638590246012,0.409656798583364,right
217,93,expensive_reject,rejected,MULTI_CONSTRAINT,NO_FEASIBLE_CANDIDATE_FOUND,False,3,,0,0,44,41,3,3,26,7,34.382,32.100520610809326,24.298689,68,,0.9522842770836762,0.22549744870994018,left
219,93,accepted,accepted,ACCEPTED,ACCEPTED,False,0,,13,15,29,29,0,0,0,5,380.998,379.10203742980957,81.603947,307,target-seed,0.09874025257567907,0.3255214460816687,bottom
222,95,expensive_reject,rejected,ONE_MISS_SIDE,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,1,ONE_MISS_SIDE|TWO_MISS_G1_TARGET|TWO_MISS_G2_SIDE|TWO_MISS_SIDE_TARGET,2,7,60,57,3,3,0,9,170.669,168.82180762290955,156.480559,126,,0.09983160511653726,0.17982903758551633,bottom
225,95,expensive_reject,rejected,ONE_MISS_SIDE,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,1,ONE_MISS_SIDE|ONE_MISS_TARGET|TWO_MISS_G2_TARGET|TWO_MISS_SIDE_TARGET,6,8,44,42,2,2,10,10,56.955,54.80134057998657,53.458428,76,,0.28961103520979786,0.3945422839274353,left
226,95,expensive_reject,rejected,MULTI_CONSTRAINT,NO_FEASIBLE_CANDIDATE_FOUND,False,4,,0,0,36,33,3,3,28,5,26.897,24.758002519607544,14.198032,36,,0.9330207963872553,0.22514819258691687,right
229,95,expensive_reject,rejected,ACCEPTED,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,0,,3,2,29,28,1,1,0,3,93.304,91.33343386650085,55.640971,114,target-seed,0.162540931173661,0.3952533977702545,right
231,95,accepted,accepted,ACCEPTED,ACCEPTED,False,0,,2,0,15,15,0,0,3,0,40.764,38.97640657424927,14.43997,77,corner-contact-refine,0.14710424869140692,0.18618485148677552,bottom
237,99,expensive_reject,rejected,ONE_MISS_G1,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,1,ONE_MISS_G1|ONE_MISS_TARGET|TWO_MISS_G1_TARGET,39,2,68,66,2,2,10,10,92.639,90.66149520874023,89.357619,122,,0.4039123437889626,0.39731230282551705,right
238,99,expensive_reject,rejected,ONE_MISS_SIDE,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,1,ONE_MISS_SIDE|TWO_MISS_G2_SIDE,1,17,44,41,3,3,21,9,41.911,39.99936866760254,36.270402,49,,0.1624351161932135,0.11961176855591678,right
242,99,expensive_reject,rejected,ONE_MISS_SIDE,BUDGET_EXHAUSTED_WITH_ACTIONABLE_CANDIDATE,True,1,ONE_MISS_SIDE|TWO_MISS_SIDE_TARGET,11,29,59,58,1,1,1,11,73.702,71.91025567054749,69.889478,122,,0.07515442334073334,0.3380639641511566,right
244,99,accepted,accepted,ACCEPTED,ACCEPTED,False,0,,1,0,9,9,0,0,1,0,28.134,26.340308904647827,10.957109,45,target-seed,0.20048431041687897,0.1919633793643682,right
