case_id,candidate_id,order,stage,asset,geometry_key,duplicate_geometry,reject_reason,hard_physical_pass,hard_fail_reason,reached_acceptance,side_pass,visible_pixels,visibility_margin_px,abs_error,target_margin,V_vis,G1_margin,ext_occ_corners,G2_margin,violated,unknown,violation_count,score,score_accept,u_offset,v_offset,depth_offset,yaw_offset
3,3:0,0,preprobe,Dist_utility_box_01,Dist_utility_box_01|None|0.705821|-0.167296|0.487851|0.000000|0.000000|0.000000|0.000000|0.000000,False,collision,False,collision,False,,,,,,,,,,,side|visibility|target|G1|G2,,,,0.0,0.0,0.0,0.0
3,3:1,1,primary,Dist_utility_box_01,Dist_utility_box_01|None|0.339125|-0.157694|0.767031|0.000000|-0.300000|0.000000|-0.350000|0.000000,False,collision,False,collision,False,,,,,,,,,,,side|visibility|target|G1|G2,,,,-0.3,0.0,-0.35,0.0
3,3:2,2,primary,Dist_utility_box_01,Dist_utility_box_01|None|0.465073|0.011702|0.487851|0.000000|-0.300000|0.000000|0.000000|0.000000,False,support,False,support,False,,,,,,,,,,,side|visibility|target|G1|G2,,,,-0.3,0.0,0.0,0.0
3,3:3,3,primary,Dist_utility_box_01,Dist_utility_box_01|None|0.591022|0.181099|0.208670|0.000000|-0.300000|0.000000|0.350000|0.000000,False,support,False,support,False,,,,,,,,,,,side|visibility|target|G1|G2,,,,-0.3,0.0,0.35,0.0
3,3:4,4,primary,Dist_utility_box_01,Dist_utility_box_01|right|0.579873|-0.336693|0.767031|0.000000|0.000000|0.000000|-0.350000|0.000000,False,score_callback,True,,True,False,423,415,0.20730570984469082,-0.08730570984469083,6,2,0,-1,side|target|G2,,3,-0.3114723765113575,False,0.0,0.0,-0.35,0.0
3,3:5,5,primary,Dist_utility_box_01,Dist_utility_box_01|None|0.705821|-0.167296|0.487851|0.000000|0.000000|0.000000|0.000000|0.000000,True,collision,False,collision,False,,,,,,,,,,,side|visibility|target|G1|G2,,,,0.0,0.0,0.0,0.0
3,3:6,6,primary,Dist_utility_box_01,Dist_utility_box_01|None|0.831770|0.002101|0.208670|0.000000|0.000000|0.000000|0.350000|0.000000,False,support,False,support,False,,,,,,,,,,,side|visibility|target|G1|G2,,,,0.0,0.0,0.35,0.0
3,3:7,7,primary,Dist_utility_box_01,Dist_utility_box_01|right|0.820621|-0.515692|0.767031|0.000000|0.300000|0.000000|-0.350000|0.000000,False,score_callback,True,,True,False,0,-8,0.20730570984469082,-0.08730570984469083,6,2,0,-1,side|visibility|target|G2,,4,-1.3114723765113574,False,0.3,0.0,-0.35,0.0
3,3:8,8,primary,Dist_utility_box_01,Dist_utility_box_01|right|0.946569|-0.346295|0.487851|0.000000|0.300000|0.000000|0.000000|0.000000,False,score_callback,True,,True,False,341,333,0.20730570984469082,-0.08730570984469083,6,2,0,-1,side|target|G2,,3,-0.3114723765113575,False,0.3,0.0,0.0,0.0
3,3:9,9,primary,Dist_utility_box_01,Dist_utility_box_01|None|1.072517|-0.176898|0.208670|0.000000|0.300000|0.000000|0.350000|0.000000,False,collision,False,collision,False,,,,,,,,,,,side|visibility|target|G1|G2,,,,0.3,0.0,0.35,0.0
