case_id,baseline_wall_s,primary_binding_signature,all_actionable_signatures,target_side,achieved_sides,target_side_ever_achieved,best_pass_count,best_constraint_vector,failure_reason,projected_size,f_target,unique_candidates,budget_exhausted,A_wall_s,A_rescue_triggered,A_rescue_evals,A_rescue_won,A_accepted,B_wall_s,B_rescue_triggered,B_rescue_evals,B_rescue_won,B_accepted
4,59.089,ONE_MISS_G1,ONE_MISS_G1|TWO_MISS_G1_TARGET,right,"{""right"": 15}",True,4,"{""side"": true, ""vis"": 2351, ""target"": 0.03821880855106341, ""G1"": -2, ""G2"": 1}",bounded_local_search_exhausted,0.2575001502880079,0.42654963055699835,57,9,65.78,True,6,False,False,67.213,True,8,False,False
98,137.012,ONE_MISS_G1,ONE_MISS_G1|TWO_MISS_G1_TARGET,left,"{""center"": 7, ""left"": 30, ""bottom"": 1, ""right"": 1}",True,4,"{""side"": true, ""vis"": 391, ""target"": 0.09865521986092762, ""G1"": -2, ""G2"": 1}",bounded_local_search_exhausted,0.1613355722507961,0.24634478013907238,57,9,158.446,True,6,False,False,167.77,True,8,False,False
109,45.75,ONE_MISS_G1,ONE_MISS_G1|ONE_MISS_SIDE|TWO_MISS_G1_SIDE|TWO_MISS_SIDE_TARGET,bottom,"{""center"": 34, ""bottom"": 1, ""left"": 3, ""right"": 3}",True,4,"{""side"": true, ""vis"": 10590, ""target"": 0.03160564944124078, ""G1"": -1, ""G2"": 0}",bounded_local_search_exhausted,0.24560665379937663,0.3356562823526332,49,9,66.595,True,2,True,True,64.322,True,2,True,True
112,32.52,ONE_MISS_G1,ONE_MISS_G1|TWO_MISS_G1_TARGET,right,"{""right"": 12}",True,4,"{""side"": true, ""vis"": 8554, ""target"": 0.03269602600953164, ""G1"": -4, ""G2"": 0}",bounded_local_search_exhausted,0.5255443670771405,0.40366298099237796,49,9,53.272,True,6,False,False,54.489,True,8,False,False
118,47.597,ONE_MISS_G1,ONE_MISS_G1|TWO_MISS_G1_TARGET,right,"{""right"": 12}",True,4,"{""side"": true, ""vis"": 4208, ""target"": 0.0099152109435508, ""G1"": -4, ""G2"": 0}",bounded_local_search_exhausted,0.43762620573597755,0.2957990747707349,49,9,75.408,True,6,False,False,77.513,True,8,False,False
158,40.025,ONE_MISS_G1,ONE_MISS_G1|TWO_MISS_G1_TARGET|TWO_MISS_G2_TARGET,right,"{""right"": 28}",True,4,"{""side"": true, ""vis"": 654, ""target"": 0.06638455393830614, ""G1"": -1, ""G2"": 0}",bounded_local_search_exhausted,0.29570855265420126,0.29693888819819236,57,9,,,,,,,,,,
163,50.616,ONE_MISS_G1,ONE_MISS_G1|ONE_MISS_G2|TWO_MISS_G2_TARGET,left,"{""left"": 10}",True,4,"{""side"": true, ""vis"": 3543, ""target"": 0.003610660104411384, ""G1"": 0, ""G2"": -1}",bounded_local_search_exhausted,0.8049923202759377,0.27683038399999904,49,8,,,,,,,,,,
184,41.257,ONE_MISS_G1,ONE_MISS_G1|ONE_MISS_TARGET|TWO_MISS_G1_TARGET,left,"{""left"": 18}",True,4,"{""side"": true, ""vis"": 5666, ""target"": -0.16381283141061898, ""G1"": 1, ""G2"": 1}",bounded_local_search_exhausted,0.375071056510182,0.3836264574201448,59,11,,,,,,,,,,
209,104.665,ONE_MISS_G1,ONE_MISS_G1|ONE_MISS_G2|TWO_MISS_G1_SIDE|TWO_MISS_G1_TARGET|TWO_MISS_G2_SIDE|TWO_MISS_G2_TARGET,bottom,"{""bottom"": 25, ""center"": 30, ""left"": 2, ""right"": 2}",True,4,"{""side"": true, ""vis"": 219, ""target"": 0.01287633957876616, ""G1"": 0, ""G2"": -1}",bounded_local_search_exhausted,0.19429416337580507,0.3653783774023659,56,10,109.348,True,6,False,False,108.819,True,6,False,False
237,92.639,ONE_MISS_G1,ONE_MISS_G1|ONE_MISS_TARGET|TWO_MISS_G1_TARGET,right,"{""right"": 41}",True,4,"{""side"": true, ""vis"": 3739, ""target"": -0.2761641971997995, ""G1"": 0, ""G2"": 1}",bounded_local_search_exhausted,0.4039123437889626,0.39731230282551705,66,10,,,,,,,,,,
