source,case_id,usable_id,proposal_index,case_accepted,case_selected_stage,proposal_had_accept,candidates,measured_candidates,stage_sequence,first_nonzero_ext_index,first_nonzero_ext_stage,all_ext_zero
locked77,8,3,0,True,target-seed,True,9,9,preprobe|target-seed,1,target-seed,False
locked77,26,13,0,True,target-seed,True,9,9,preprobe|target-seed,1,target-seed,False
locked77,26,13,1,True,target-seed,True,9,9,preprobe|target-seed,1,target-seed,False
locked77,29,15,1,True,fine,True,26,26,preprobe|target-seed|primary|prealign-primary|fine,1,target-seed,False
locked77,38,15,0,True,target-seed,True,9,9,preprobe|target-seed,1,target-seed,False
locked77,59,23,1,True,target-seed,True,9,9,preprobe|target-seed,1,target-seed,False
locked77,65,25,0,True,target-seed,True,9,9,preprobe|target-seed,1,target-seed,False
locked77,76,33,0,True,target-seed,True,9,9,preprobe|target-seed,1,target-seed,False
locked77,82,35,0,True,target-seed,True,9,9,preprobe|target-seed,7,target-seed,False
locked77,93,39,0,True,primary,True,12,3,preprobe|primary|prealign-primary,1,primary,False
locked77,104,43,0,True,target-seed,True,9,9,preprobe|target-seed,1,target-seed,False
locked77,132,53,0,True,target-seed,True,9,2,preprobe|target-seed,2,target-seed,False
locked77,136,55,0,True,fine,True,18,9,preprobe|primary|prealign-primary|fine,9,primary,False
locked77,147,59,1,True,target-seed,True,9,9,preprobe|target-seed,1,target-seed,False
locked77,155,63,0,True,target-seed,True,9,9,preprobe|target-seed,1,target-seed,False
locked77,155,63,1,True,target-seed,True,9,9,preprobe|target-seed,1,target-seed,False
locked77,166,69,1,True,corner-contact-refine,True,19,18,preprobe|target-seed|corner-contact-refine,12,corner-contact-refine,False
locked77,211,89,1,True,target-seed,True,9,9,preprobe|target-seed,1,target-seed,False
locked77,231,95,0,True,corner-contact-refine,True,15,12,preprobe|target-seed|corner-contact-refine,5,corner-contact-refine,False
locked77,244,99,0,True,target-seed,True,9,8,preprobe|target-seed,1,target-seed,False
smoke100b,8,3,0,True,target-seed,True,9,9,preprobe|target-seed,1,target-seed,False
smoke100b,26,13,0,True,target-seed,True,9,9,preprobe|target-seed,1,target-seed,False
smoke100b,26,13,1,True,target-seed,True,9,9,preprobe|target-seed,1,target-seed,False
smoke100b,38,15,0,True,target-seed,True,9,9,preprobe|target-seed,1,target-seed,False
smoke100b,59,23,1,True,target-seed,True,9,9,preprobe|target-seed,1,target-seed,False
smoke100b,65,25,0,True,target-seed,True,9,9,preprobe|target-seed,1,target-seed,False
smoke100b,76,33,0,True,target-seed,True,9,9,preprobe|target-seed,1,target-seed,False
smoke100b,82,35,0,True,target-seed,True,9,9,preprobe|target-seed,7,target-seed,False
smoke100b,93,39,0,True,primary,True,12,3,preprobe|primary|prealign-primary,1,primary,False
smoke100b,104,43,0,True,target-seed,True,9,9,preprobe|target-seed,1,target-seed,False
smoke100b,132,53,0,True,target-seed,True,9,2,preprobe|target-seed,2,target-seed,False
smoke100b,147,59,1,True,target-seed,True,9,9,preprobe|target-seed,1,target-seed,False
smoke100b,155,63,0,True,target-seed,True,9,9,preprobe|target-seed,1,target-seed,False
smoke100b,155,63,1,True,target-seed,True,9,9,preprobe|target-seed,1,target-seed,False
smoke100b,166,69,1,True,corner-contact-refine,True,19,18,preprobe|target-seed|corner-contact-refine,12,corner-contact-refine,False
smoke100b,211,95,1,True,target-seed,True,9,9,preprobe|target-seed,1,target-seed,False
