source,case_id,usable_id,proposal_index,case_accepted,case_selected_stage,proposal_had_accept,candidates,measured_candidates,stage_sequence,first_nonzero_ext_index,first_nonzero_ext_stage,all_ext_zero
locked77,3,3,0,False,,False,12,3,preprobe|primary|prealign-primary,,,True
locked77,3,3,1,False,,False,12,3,preprobe|primary|prealign-primary,,,True
locked77,4,3,1,False,,False,20,20,preprobe|target-seed|primary|prealign-primary,,,True
locked77,7,3,0,False,,False,12,3,preprobe|primary|prealign-primary,,,True
locked77,32,15,0,False,,False,20,6,preprobe|target-seed|primary|prealign-primary,,,True
locked77,32,15,1,False,,False,20,12,preprobe|target-seed|primary|prealign-primary,,,True
locked77,32,15,2,False,,False,20,13,preprobe|target-seed|primary|prealign-primary,,,True
locked77,54,23,0,False,,False,12,3,preprobe|primary|prealign-primary,,,True
locked77,54,23,1,False,,False,12,3,preprobe|primary|prealign-primary,,,True
locked77,59,23,0,True,target-seed,False,12,3,preprobe|primary|prealign-primary,,,True
locked77,62,25,1,False,,False,20,13,preprobe|target-seed|primary|prealign-primary,,,True
locked77,69,29,1,False,,False,20,20,preprobe|target-seed|corner-contact-refine|primary,,,True
locked77,79,35,0,False,,False,12,2,preprobe|primary|rescue,,,True
locked77,79,35,1,False,,False,12,2,preprobe|primary|prealign-primary,,,True
locked77,79,35,2,False,,False,12,4,preprobe|primary|prealign-primary,,,True
locked77,80,35,0,True,fine,False,20,13,preprobe|target-seed|primary|prealign-primary,,,True
locked77,80,35,1,True,fine,False,20,7,preprobe|target-seed|primary|prealign-primary,,,True
locked77,102,43,0,False,,False,12,4,preprobe|primary|prealign-primary,,,True
locked77,102,43,1,False,,False,20,8,preprobe|target-seed|primary|prealign-primary,,,True
locked77,102,43,2,False,,False,20,9,preprobe|target-seed|primary|prealign-primary,,,True
locked77,112,45,0,False,,False,20,15,preprobe|target-seed|primary|prealign-primary,,,True
locked77,120,49,0,False,,False,12,3,preprobe|primary|prealign-primary,,,True
locked77,120,49,1,False,,False,20,11,preprobe|target-seed|primary|prealign-primary,,,True
locked77,120,49,2,False,,False,20,12,preprobe|target-seed|primary|prealign-primary,,,True
locked77,132,53,1,True,target-seed,False,20,7,preprobe|target-seed|primary|prealign-primary,,,True
locked77,142,59,0,False,,False,12,1,preprobe|primary|rescue,,,True
locked77,143,59,1,False,,False,20,20,preprobe|target-seed|primary|prealign-primary,,,True
locked77,143,59,2,False,,False,20,20,preprobe|target-seed|primary|prealign-primary,,,True
locked77,146,59,2,False,,False,20,17,preprobe|target-seed|primary|prealign-primary,,,True
locked77,154,63,0,False,,False,20,20,preprobe|target-seed|corner-contact-refine|primary,,,True
locked77,154,63,1,False,,False,20,20,preprobe|target-seed|corner-contact-refine|primary,,,True
locked77,154,63,2,False,,False,20,20,preprobe|target-seed|corner-contact-refine|primary,,,True
locked77,163,69,0,False,,False,20,10,preprobe|target-seed|primary|prealign-primary,,,True
locked77,163,69,1,False,,False,12,6,preprobe|primary|prealign-primary,,,True
locked77,180,79,0,False,,False,12,3,preprobe|primary|rescue,,,True
locked77,180,79,1,False,,False,12,4,preprobe|primary|prealign-primary,,,True
locked77,180,79,2,False,,False,12,2,preprobe|primary|prealign-primary,,,True
locked77,192,83,0,False,,False,20,20,preprobe|target-seed|corner-contact-refine|primary,,,True
locked77,192,83,1,False,,False,20,20,preprobe|target-seed|corner-contact-refine|primary,,,True
locked77,192,83,2,False,,False,20,20,preprobe|target-seed|corner-contact-refine|primary,,,True
locked77,209,89,0,False,,False,20,20,preprobe|target-seed|corner-contact-refine|primary,,,True
locked77,217,93,0,False,,False,20,8,preprobe|target-seed|primary|prealign-primary,,,True
locked77,217,93,1,False,,False,12,6,preprobe|primary|prealign-primary,,,True
locked77,217,93,2,False,,False,12,2,preprobe|primary|prealign-primary,,,True
locked77,225,95,2,False,,False,12,6,preprobe|primary|prealign-primary,,,True
locked77,226,95,0,False,,False,12,1,preprobe|primary|rescue,,,True
locked77,226,95,1,False,,False,12,2,preprobe|primary|prealign-primary,,,True
locked77,226,95,2,False,,False,12,2,preprobe|primary|prealign-primary,,,True
locked77,229,95,0,False,target-seed,False,20,20,preprobe|target-seed|primary|prealign-primary,,,True
locked77,238,99,0,False,,False,12,4,preprobe|primary|prealign-primary,,,True
locked77,238,99,2,False,,False,20,13,preprobe|target-seed|primary|prealign-primary,,,True
smoke100b,59,23,0,True,target-seed,False,12,3,preprobe|primary|prealign-primary,,,True
smoke100b,132,53,1,True,target-seed,False,20,7,preprobe|target-seed|primary|prealign-primary,,,True
