target,blocker_kind,referencing_file,line,reference_form,note
data/pallet/distractors,CURRENT_RUNTIME,scripts/data_prep/compute_distractor_fill_ratio.py,49,os.path.join,stale — 이동이 아니라 참조 정정 대상
data/pallet/training_data,CURRENT_RUNTIME,scripts/data_prep/merge_and_validate.py,13,os.path.join,stale — 이동이 아니라 참조 정정 대상
data/pallet/training_data,CURRENT_RUNTIME,scripts/data_prep/merge_and_validate.py,14,os.path.join,stale — 이동이 아니라 참조 정정 대상
data/pallet/training_data,CURRENT_RUNTIME,scripts/data_prep/merge_and_validate.py,16,os.path.join,stale — 이동이 아니라 참조 정정 대상
data/pallet/training_data,CURRENT_RUNTIME,scripts/data_prep/merge_and_validate.py,17,os.path.join,stale — 이동이 아니라 참조 정정 대상
data/pallet/training_data,CURRENT_RUNTIME,scripts/data_prep/merge_and_validate.py,19,os.path.join,stale — 이동이 아니라 참조 정정 대상
data/pallet/models_usd,CURRENT_RUNTIME,scripts/data_prep/isaac_sim/debug_pallet_orientation.py,10,os.path.join,stale — 이동이 아니라 참조 정정 대상
data/pallet/_preview10,CURRENT_RUNTIME,scripts/data_prep/blender/gen_preview10.py,202,os.path.join,stale — 이동이 아니라 참조 정정 대상
data/pallet/_test_topview,CURRENT_RUNTIME,scripts/data_prep/blender/gen_topview_test.py,186,os.path.join,stale — 이동이 아니라 참조 정정 대상
data/pallet/training_data,CURRENT_RUNTIME,config/stage3_selftrain.yaml,81,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/real_unlabeled,CURRENT_RUNTIME,config/stage3_selftrain.yaml,82,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/training_data,CURRENT_RUNTIME,config/stage3_selftrain.yaml,85,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/training_data,CURRENT_RUNTIME,config/default.yaml,53,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/training_data,CURRENT_RUNTIME,config/default.yaml,54,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/training_data,CURRENT_RUNTIME,config/synthetic/blender_train_4000.yaml,20,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/hdri),CURRENT_RUNTIME,config/synthetic/pallet_paths.yaml,32,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/pallet_scene,CURRENT_RUNTIME,config/synthetic/isaac_sim.yaml,3,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/training_data,CURRENT_RUNTIME,config/synthetic/isaac_sim.yaml,6,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/_procedural_textures,CURRENT_RUNTIME,config/synthetic/isaac_sim.yaml,9,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/ndds3_pallet.pth,CURRENT_RUNTIME,scripts/dope/run_dope_live.py,160,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/training_data,CURRENT_RUNTIME,scripts/self_training/self_train.py,17,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/real_unlabeled,CURRENT_RUNTIME,scripts/self_training/self_train.py,18,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/training_data,CURRENT_RUNTIME,scripts/data_prep/evaluate_on_val.py,12,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/train_palletobj_v3_post_v1,CURRENT_RUNTIME,scripts/data_prep/gen_surface_fps_v1.py,14,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/train_palletobj_v1,CURRENT_RUNTIME,scripts/data_prep/blender/analyze_stats.py,7,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/train_palletobj_v3,CURRENT_RUNTIME,scripts/data_prep/postprocess_v3.py,198,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/train_palletobj_v3_post_v1,CURRENT_RUNTIME,scripts/data_prep/postprocess_v3.py,199,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/background,CURRENT_RUNTIME,scripts/data_prep/manage_pallet_data_layout.py,90,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/real_data,CURRENT_RUNTIME,scripts/data_prep/manage_pallet_data_layout.py,103,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/hdri,CURRENT_RUNTIME,scripts/data_prep/manage_pallet_data_layout.py,105,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/models_usd,CURRENT_RUNTIME,scripts/data_prep/manage_pallet_data_layout.py,107,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/pallets_v2_add,CURRENT_RUNTIME,scripts/data_prep/manage_pallet_data_layout.py,109,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/background,CURRENT_RUNTIME,scripts/data_prep/manage_pallet_data_layout.py,111,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/distractors,CURRENT_RUNTIME,scripts/data_prep/manage_pallet_data_layout.py,113,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/blender_scene,CURRENT_RUNTIME,scripts/data_prep/manage_pallet_data_layout.py,115,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/background,CURRENT_RUNTIME,scripts/data_prep/manage_pallet_data_layout.py,133,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/distractors,CURRENT_RUNTIME,scripts/data_prep/manage_pallet_data_layout.py,136,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/blender_scene,CURRENT_RUNTIME,scripts/data_prep/manage_pallet_data_layout.py,139,literal,stale — 이동이 아니라 참조 정정 대상
data/pallet/distractors,CURRENT_RUNTIME,scripts/data_prep/manage_pallet_data_layout.py,147,literal,stale — 이동이 아니라 참조 정정 대상
