referencing_file,line,reference_form,target,target_exists,reference_kind,verdict,text
scripts/data_prep/compute_distractor_fill_ratio.py,49,os.path.join,data/pallet/distractors,False,CURRENT_RUNTIME,STALE_REFERENCE,"DISTRACTOR_DIR = os.path.join(PROJECT_ROOT, ""data"", ""pallet"", ""distractors"")"
scripts/data_prep/blender/audit_v2_dryrun.py,39,os.path.join,data/pallet/v2_dryrun_audit,True,CURRENT_RUNTIME,OK,"DEFAULT_OUT = os.path.join(_PROJECT_ROOT, ""data"", ""pallet"", ""v2_dryrun_audit"")"
scripts/data_prep/merge_and_validate.py,13,os.path.join,data/pallet/training_data,False,CURRENT_RUNTIME,STALE_REFERENCE,"BASE_DIR = os.path.join(""data"", ""pallet"", ""training_data"")"
scripts/data_prep/merge_and_validate.py,14,os.path.join,data/pallet/training_data,False,CURRENT_RUNTIME,STALE_REFERENCE,"TRAIN_DIRS = sorted([d for d in os.listdir(os.path.join(""data"", ""pallet"", ""training_data""))"
scripts/data_prep/merge_and_validate.py,16,os.path.join,data/pallet/training_data,False,CURRENT_RUNTIME,STALE_REFERENCE,"and os.path.isdir(os.path.join(""data"", ""pallet"", ""training_data"", d))])"
scripts/data_prep/merge_and_validate.py,17,os.path.join,data/pallet/training_data,False,CURRENT_RUNTIME,STALE_REFERENCE,"VAL_BATCH_DIRS = sorted([d for d in os.listdir(os.path.join(""data"", ""pallet"", ""training_data""))"
scripts/data_prep/merge_and_validate.py,19,os.path.join,data/pallet/training_data,False,CURRENT_RUNTIME,STALE_REFERENCE,"and os.path.isdir(os.path.join(""data"", ""pallet"", ""training_data"", d))])"
scripts/data_prep/isaac_sim/debug_pallet_orientation.py,10,os.path.join,data/pallet/models_usd,False,CURRENT_RUNTIME,STALE_REFERENCE,"USD_DIR = os.path.join(PROJECT_ROOT, ""data"", ""pallet"", ""models_usd"")"
scripts/data_prep/blender/gen_preview10.py,202,os.path.join,data/pallet/_preview10,False,CURRENT_RUNTIME,STALE_REFERENCE,"OUT_BASE = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_preview10"")"
scripts/data_prep/blender/gen_topview_test.py,186,os.path.join,data/pallet/_test_topview,False,CURRENT_RUNTIME,STALE_REFERENCE,"OUT_BASE = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_test_topview"")"
scripts/data_prep/blender/_gen_wood_random_samples.py,32,os.path.join,data/pallet/_wood_skin_compare,False,LEGACY_RUNTIME,STALE_REFERENCE,"OUT_BASE = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_wood_skin_compare"", ""random_applied"")"
scripts/data_prep/blender/_make_compare_sheet.py,7,os.path.join,data/pallet/_material_compare,False,LEGACY_RUNTIME,STALE_REFERENCE,""".."", "".."", "".."", ""data"", ""pallet"", ""_material_compare"")"
scripts/data_prep/blender/_make_floor_uv_sheet.py,10,os.path.join,data/pallet/_floor_uv_test,False,LEGACY_RUNTIME,STALE_REFERENCE,"OUT = os.path.join(""data"", ""pallet"", ""_floor_uv_test"")"
scripts/data_prep/blender/_render_floor_applied14.py,39,os.path.join,data/pallet/_floor_applied14,False,LEGACY_RUNTIME,STALE_REFERENCE,"OUT_DIR = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_floor_applied14"")"
scripts/data_prep/blender/_render_floor_applied14.py,41,os.path.join,data/pallet/textures_floor,False,LEGACY_RUNTIME,STALE_REFERENCE,"FLOOR_TEX_DIR = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""textures_floor"")"
scripts/data_prep/blender/_render_floor_compare.py,37,os.path.join,data/pallet/_floor_compare,False,LEGACY_RUNTIME,STALE_REFERENCE,"OUT_DIR = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_floor_compare"")"
scripts/data_prep/blender/_render_floor_compare.py,39,os.path.join,data/pallet/textures_floor,False,LEGACY_RUNTIME,STALE_REFERENCE,"FLOOR_TEX_DIR = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""textures_floor"")"
scripts/data_prep/blender/_render_floor_fix_test.py,31,os.path.join,data/pallet/_floor_fix_test,False,LEGACY_RUNTIME,STALE_REFERENCE,"OUT = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_floor_fix_test"")"
scripts/data_prep/blender/_render_floor_uv_compare.py,31,os.path.join,data/pallet/_floor_uv_test,False,LEGACY_RUNTIME,STALE_REFERENCE,"OUT = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_floor_uv_test"")"
scripts/data_prep/blender/_render_material_compare.py,29,os.path.join,data/pallet/_material_compare,False,LEGACY_RUNTIME,STALE_REFERENCE,"OUT_DIR = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_material_compare"")"
scripts/data_prep/blender/_render_plastic_closeup.py,31,os.path.join,data/pallet/_mat_test10e,False,LEGACY_RUNTIME,STALE_REFERENCE,"OUT_DIR = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_mat_test10e"", ""closeup"")"
scripts/data_prep/blender/_render_wood_closeup.py,29,os.path.join,data/pallet/_mat_test10b,False,LEGACY_RUNTIME,STALE_REFERENCE,"OUT_DIR = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_mat_test10b"", ""closeup"")"
scripts/data_prep/blender/_render_wood_skin_compare.py,29,os.path.join,data/pallet/_wood_skin_compare,False,LEGACY_RUNTIME,STALE_REFERENCE,"OUT_DIR = os.path.join(cfg.PROJECT_ROOT, ""data"", ""pallet"", ""_wood_skin_compare"")"
config/stage3_selftrain.yaml,81,literal,data/pallet/training_data,False,CURRENT_RUNTIME,STALE_REFERENCE,data/pallet/training_data
config/stage3_selftrain.yaml,82,literal,data/pallet/real_unlabeled,False,CURRENT_RUNTIME,STALE_REFERENCE,data/pallet/real_unlabeled
config/stage3_selftrain.yaml,85,literal,data/pallet/training_data,False,CURRENT_RUNTIME,STALE_REFERENCE,data/pallet/training_data
config/default.yaml,53,literal,data/pallet/training_data,False,CURRENT_RUNTIME,STALE_REFERENCE,data/pallet/training_data
config/default.yaml,54,literal,data/pallet/training_data,False,CURRENT_RUNTIME,STALE_REFERENCE,data/pallet/training_data
config/synthetic/blender_train_4000.yaml,20,literal,data/pallet/training_data,False,CURRENT_RUNTIME,STALE_REFERENCE,data/pallet/training_data
config/synthetic/blender_train_4000.yaml,26,literal,data/pallet/assets,True,CURRENT_RUNTIME,OK,data/pallet/assets
config/synthetic/blender_train_4000.yaml,307,literal,data/pallet/assets,True,CURRENT_RUNTIME,OK,data/pallet/assets
config/synthetic/pallet_paths.yaml,18,literal,data/pallet/assets,True,CURRENT_RUNTIME,OK,data/pallet/assets
config/synthetic/pallet_paths.yaml,19,literal,data/pallet/assets,True,CURRENT_RUNTIME,OK,data/pallet/assets
config/synthetic/pallet_paths.yaml,20,literal,data/pallet/assets,True,CURRENT_RUNTIME,OK,data/pallet/assets
config/synthetic/pallet_paths.yaml,21,literal,data/pallet/assets,True,CURRENT_RUNTIME,OK,data/pallet/assets
config/synthetic/pallet_paths.yaml,22,literal,data/pallet/assets,True,CURRENT_RUNTIME,OK,data/pallet/assets
config/synthetic/pallet_paths.yaml,25,literal,data/pallet/assets,True,CURRENT_RUNTIME,OK,data/pallet/assets
config/synthetic/pallet_paths.yaml,26,literal,data/pallet/archive,True,CURRENT_RUNTIME,OK,data/pallet/archive
config/synthetic/pallet_paths.yaml,29,literal,data/pallet/assets,True,CURRENT_RUNTIME,OK,data/pallet/assets
config/synthetic/pallet_paths.yaml,30,literal,data/pallet/assets,True,CURRENT_RUNTIME,OK,data/pallet/assets
config/synthetic/pallet_paths.yaml,32,literal,data/pallet/hdri),False,CURRENT_RUNTIME,STALE_REFERENCE,data/pallet/hdri)
config/synthetic/pallet_paths.yaml,33,literal,data/pallet/assets,True,CURRENT_RUNTIME,OK,data/pallet/assets
config/synthetic/pallet_paths.yaml,36,literal,data/pallet/assets,True,CURRENT_RUNTIME,OK,data/pallet/assets
config/synthetic/pallet_paths.yaml,37,literal,data/pallet/assets,True,CURRENT_RUNTIME,OK,data/pallet/assets
config/synthetic/pallet_paths.yaml,41,literal,data/pallet/assets,True,CURRENT_RUNTIME,OK,data/pallet/assets
config/synthetic/pallet_paths.yaml,42,literal,data/pallet/assets,True,CURRENT_RUNTIME,OK,data/pallet/assets
config/synthetic/pallet_paths.yaml,44,literal,data/pallet/assets,True,CURRENT_RUNTIME,OK,data/pallet/assets
config/synthetic/pallet_paths.yaml,47,literal,data/pallet/reference,True,CURRENT_RUNTIME,OK,data/pallet/reference
config/synthetic/pallet_paths.yaml,48,literal,data/pallet/reference,True,CURRENT_RUNTIME,OK,data/pallet/reference
