path,size_bytes,archive_type,open_status,open_error,entry_count,compressed_bytes,uncompressed_bytes,duplicate_entry_paths,encrypted_entries,crc_available,compress_types,license_entries,manifest_entries
pallet.zip,16637698137,zip,yes,,60022,16625780137,16679343532,0,0,True,"{""8"": 60022}",,
test_blender_v64.zip,1781592200,zip,yes,,6000,1780732050,1786012650,0,0,True,"{""8"": 6000}",,
test_blender_v65.zip,86723195,zip,yes,,300,86680045,86945235,0,0,True,"{""8"": 300}",,
test_blender_v68.zip,906940260,zip,yes,,3000,906510110,909147448,0,0,True,"{""8"": 3000}",,
test_blender_v69.zip,3653659280,zip,yes,,12000,3651939054,3662471008,0,0,True,"{""8"": 12000}",,
test_blender_v70.zip,913350083,zip,yes,,3000,912919933,915545347,0,0,True,"{""8"": 3000}",,
test_indoor_v1.zip,587372076,zip,yes,,3000,586941926,588469993,0,0,True,"{""8"": 3000}",,
train_4pallet_mask_v1.zip,9675248635,zip,yes,,40040,9669021025,9845542580,0,0,True,"{""8"": 40040}",,
train_palletobj_addon_v1.zip,5648950621,zip,yes,,24002,5645507805,5752182582,0,0,True,"{""8"": 24002}",,
train_palletobj_v1 (2).zip,8316876455,zip,yes,,30012,8310365957,8337383185,0,0,True,"{""8"": 30012}",,
train_palletobj_v1.zip,4529431174,zip,NO,BadZipFile: File is not a zip file,0,0,0,0,0,True,{},,
train_palletobj_v2 (2).zip,8321314846,zip,yes,,30010,8314804258,8341960347,0,0,True,"{""8"": 30010}",,
train_palletobj_v2.zip,8346416419,zip,yes,,30010,8341960347,8341960347,0,0,True,"{""0"": 30010}",,
train_palletobj_v3.zip,10449502513,zip,yes,,40002,10442383119,10682796255,0,0,True,"{""8"": 40002}",,
trunc_addon_v1.zip,5435835407,zip,yes,,24010,5432403463,5544142126,0,0,True,"{""8"": 24010}",,
archive/packages/background_sources/modular_buildings_industrial_area..zip,28110712,zip,yes,,29,28106760,29569627,0,0,True,"{""8"": 9, ""0"": 20}",license.txt,
archive/packages/background_sources/modular_buildings_industrial_area.zip,28110712,zip,yes,,29,28106760,29569627,0,0,True,"{""8"": 9, ""0"": 20}",license.txt,
archive/packages/background_sources/parking_lot.zip,101186943,zip,yes,,44,101180887,103254269,0,0,True,"{""8"": 20, ""0"": 24}",license.txt,
archive/training_data_v4_emptywood/training_data_v4_emptywood.zip,2036982824,zip,yes,,6600,2035857458,2041906837,0,0,True,"{""8"": 6600}",,
archive/training_data_v4_split/training_data_v4_split.zip,3693107448,zip,yes,,12000,3691061270,3702088039,0,0,True,"{""8"": 12000}",,
