relative_path,type,file_count,total_bytes,modified_min,modified_max,role
archive/train_palletobj_v3,dir,40002,10682796255,2026-06-23,2026-06-24,LEGACY_DATASET_OR_RUN
archive/train_4pallet_mask_v1,dir,40040,9845542580,2026-07-06,2026-07-06,LEGACY_DATASET_OR_RUN
archive/train_palletobj_v2,dir,30010,8341960347,2026-05-20,2026-05-20,LEGACY_DATASET_OR_RUN
archive/train_palletobj_v1,dir,30012,8337383185,2026-05-20,2026-05-20,LEGACY_DATASET_OR_RUN
archive/training_data_v4_split,dir,15053,8321688089,2026-06-17,2026-07-24,LEGACY_DATASET_OR_RUN
archive/training_data,dir,34704,6435540124,2026-03-13,2026-03-29,LEGACY_DATASET_OR_RUN
archive/train_palletobj_addon_v1,dir,24002,5752182582,2026-06-25,2026-06-25,LEGACY_DATASET_OR_RUN
archive/trunc_addon_v1,dir,24015,5546660278,2026-07-03,2026-07-03,LEGACY_DATASET_OR_RUN
archive/training_data_v4_split_GREYBUG,dir,15051,5291018327,2026-06-17,2026-06-17,LEGACY_DATASET_OR_RUN
archive/training_data_v4_split_bg1bak,dir,15056,5288678749,2026-06-16,2026-06-16,LEGACY_DATASET_OR_RUN
archive/training_data_v4_emptywood,dir,9031,4820265222,2026-06-18,2026-06-18,LEGACY_DATASET_OR_RUN
archive/test_blender_v69,dir,12000,3662471008,2026-04-06,2026-04-06,LEGACY_DATASET_OR_RUN
archive/test_blender_v64,dir,6000,1786012650,2026-04-04,2026-04-04,LEGACY_DATASET_OR_RUN
archive/test_blender_v70,dir,3000,915545347,2026-04-06,2026-04-06,LEGACY_DATASET_OR_RUN
archive/test_blender_v68,dir,3000,909147448,2026-04-05,2026-04-05,LEGACY_DATASET_OR_RUN
archive/test_indoor_v1,dir,3000,588469993,2026-04-07,2026-04-07,LEGACY_DATASET_OR_RUN
archive/training_data_v4_pilotA,dir,482,188826895,2026-06-16,2026-06-16,LEGACY_DATASET_OR_RUN
archive/packages,dir,3,157408367,2026-03-25,2026-03-25,PACKAGE_STORE
archive/test_blender_v67,dir,501,150369725,2026-04-05,2026-04-05,LEGACY_DATASET_OR_RUN
archive/training_data_v4,dir,329,133302744,2026-06-16,2026-07-24,LEGACY_DATASET_OR_RUN
archive/test_blender_v65,dir,300,86945235,2026-04-05,2026-04-05,LEGACY_DATASET_OR_RUN
archive/train_palletobj_v3_post_v1,dir,17722,77884636,2026-06-25,2026-06-25,LEGACY_DATASET_OR_RUN
archive/_mask_test60,dir,241,65085895,2026-06-23,2026-06-23,LEGACY_DATASET_OR_RUN
archive/train_4pallet_mask_v1_pilot,dir,167,46507868,2026-07-06,2026-07-06,LEGACY_DATASET_OR_RUN
archive/_efront_12kp_check,dir,107,44909247,2026-07-23,2026-07-23,LEGACY_DATASET_OR_RUN
archive/_test_topview,dir,98,38020066,2026-06-15,2026-06-15,LEGACY_DATASET_OR_RUN
archive/test_blender_v66,dir,99,30126560,2026-04-05,2026-04-05,LEGACY_DATASET_OR_RUN
archive/_wood_skin_compare,dir,50,28426531,2026-06-16,2026-06-16,LEGACY_DATASET_OR_RUN
archive/test_blender_v6,dir,90,28174468,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v7,dir,90,28078134,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v32,dir,57,23413074,2026-03-26,2026-03-27,LEGACY_DATASET_OR_RUN
archive/test_blender_v33,dir,57,23012511,2026-03-27,2026-03-27,LEGACY_DATASET_OR_RUN
archive/_mat_test10b,dir,51,22847925,2026-06-16,2026-06-16,LEGACY_DATASET_OR_RUN
archive/_addon_pilot,dir,81,20886859,2026-06-25,2026-06-25,LEGACY_DATASET_OR_RUN
archive/_material_compare,dir,44,20303689,2026-06-16,2026-06-16,LEGACY_DATASET_OR_RUN
archive/_mat_test10e,dir,45,19972697,2026-06-16,2026-06-16,LEGACY_DATASET_OR_RUN
archive/_mat_test10c,dir,44,19425013,2026-06-16,2026-06-16,LEGACY_DATASET_OR_RUN
archive/_cam_test10,dir,42,17418114,2026-06-16,2026-06-16,LEGACY_DATASET_OR_RUN
archive/_mat_test10d,dir,41,17311918,2026-06-16,2026-06-16,LEGACY_DATASET_OR_RUN
archive/_floor_uv_test,dir,17,16625340,2026-06-17,2026-06-17,LEGACY_DATASET_OR_RUN
archive/_floor_test10b,dir,33,16487621,2026-06-16,2026-06-16,LEGACY_DATASET_OR_RUN
archive/_preview10,dir,43,16057584,2026-06-15,2026-06-15,LEGACY_DATASET_OR_RUN
archive/_mat_test10,dir,41,15915563,2026-06-16,2026-06-16,LEGACY_DATASET_OR_RUN
archive/_cam_test10b,dir,41,15745613,2026-06-16,2026-06-16,LEGACY_DATASET_OR_RUN
archive/test_iter7,dir,70,15098595,2026-03-11,2026-03-25,LEGACY_DATASET_OR_RUN
archive/_emptywood_test,dir,48,14951374,2026-06-18,2026-06-18,LEGACY_DATASET_OR_RUN
archive/test_blender_v1,dir,63,14124145,2026-03-25,2026-03-26,LEGACY_DATASET_OR_RUN
archive/_addon_pilot4,dir,50,13366774,2026-06-25,2026-06-25,LEGACY_DATASET_OR_RUN
archive/_floor_test10b_std,dir,32,13123779,2026-06-16,2026-06-16,LEGACY_DATASET_OR_RUN
archive/_mask_test10,dir,43,12354122,2026-06-23,2026-06-23,LEGACY_DATASET_OR_RUN
archive/_floor_test10,dir,31,11968317,2026-06-16,2026-06-16,LEGACY_DATASET_OR_RUN
archive/test_iter3,dir,60,11946459,2026-03-11,2026-03-11,LEGACY_DATASET_OR_RUN
archive/_procedural_textures,dir,22,11317364,2026-03-11,2026-03-11,LEGACY_DATASET_OR_RUN
archive/_floor_compare,dir,20,10247704,2026-06-16,2026-06-16,LEGACY_DATASET_OR_RUN
archive/_mat_test10d_scene3,dir,25,9942873,2026-06-16,2026-06-16,LEGACY_DATASET_OR_RUN
archive/test_blender_v19,dir,30,9775801,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v21,dir,30,9708826,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v30,dir,30,9682929,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v12,dir,30,9680287,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
archive/test_blender_v14,dir,30,9655600,2026-03-26,2026-03-26,LEGACY_DATASET_OR_RUN
