path,file_count,total_bytes,image_files,label_json,mask_files,overlay_files,records,top_dirs,batch_layout,zero_byte_files,noai_baked,license_status,classification,evidence
archive/train_palletobj_v3,40002,10682796255,30000,10002,10000,10000,_summary.json,batch_000;batch_001;batch_002;batch_003;batch_004;batch_005,True,0,False,미확정 — 개별 확인 필요,COMPLETE_LEGACY_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/train_4pallet_mask_v1,40040,9845542580,30000,10000,10000,10000,,logs;mask;overlay,False,0,True,"공개 불가 (NoAI baked, ledger:25/70, _DISTRIBUTION_EXCLUDE 등록)",NOAI_BAKED_DATASET,_DISTRIBUTION_EXCLUDE 등록 + ledger
archive/train_palletobj_v2,30010,8341960347,19996,10000,0,9996,_summary.json,logs;overlay,False,0,False,미확정 — 개별 확인 필요,COMPLETE_LEGACY_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/train_palletobj_v1,30012,8337383185,19999,10003,0,9999,_summary.json,logs;overlay,False,0,False,미확정 — 개별 확인 필요,COMPLETE_LEGACY_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/training_data_v4_split,15053,8321688089,10001,5025,0,5000,,logs;train_batch_000;train_batch_001;train_batch_002;train_batch_003;train_batch_004,True,0,True,"공개 불가 (NoAI baked, ledger:25/70, _DISTRIBUTION_EXCLUDE 등록)",NOAI_BAKED_DATASET,_DISTRIBUTION_EXCLUDE 등록 + ledger
archive/training_data,34704,6435540124,17300,17270,0,30,,_test_cargo_final;_test_cargo_scale;_test_cargo_scale2;_test_cargo_scale3;_test_cargo_scale4;_test_fix,False,3,True,"공개 불가 (NoAI baked, ledger:25/70, _DISTRIBUTION_EXCLUDE 등록)",NOAI_BAKED_DATASET,_DISTRIBUTION_EXCLUDE 등록 + ledger
archive/train_palletobj_addon_v1,24002,5752182582,18000,6002,6000,6000,_summary.json,mask;overlay,False,0,False,미확정 — 개별 확인 필요,COMPLETE_LEGACY_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/trunc_addon_v1,24015,5546660278,18012,6003,6000,6000,_summary.json,audit_eye;mask;overlay;새 폴더,False,0,False,미확정 — 개별 확인 필요,COMPLETE_LEGACY_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/training_data_v4_split_GREYBUG,15051,5291018327,10001,5025,0,5000,,logs;train_batch_000;train_batch_001;train_batch_002;train_batch_003;train_batch_004,True,0,False,미확정 — 개별 확인 필요,COMPLETE_LEGACY_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/training_data_v4_split_bg1bak,15056,5288678749,10000,5025,0,5000,,logs;train_batch_000;train_batch_001;train_batch_002;train_batch_003;train_batch_004,True,0,False,미확정 — 개별 확인 필요,COMPLETE_LEGACY_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/training_data_v4_emptywood,9031,4820265222,6000,3015,0,3000,,logs;train_batch_000;train_batch_001;train_batch_002;train_batch_003;train_batch_004,True,0,False,미확정 — 개별 확인 필요,COMPLETE_LEGACY_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v69,12000,3662471008,8000,4000,0,4000,,overlay,False,0,False,미확정 — 개별 확인 필요,COMPLETE_LEGACY_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v64,6000,1786012650,4000,2000,0,2000,,overlay,False,0,False,미확정 — 개별 확인 필요,COMPLETE_LEGACY_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v70,3000,915545347,2000,1000,0,1000,,overlay,False,0,False,미확정 — 개별 확인 필요,COMPLETE_LEGACY_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v68,3000,909147448,2000,1000,0,1000,,overlay,False,0,False,미확정 — 개별 확인 필요,COMPLETE_LEGACY_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_indoor_v1,3000,588469993,2000,1000,0,1000,,overlay,False,0,False,미확정 — 개별 확인 필요,COMPLETE_LEGACY_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/training_data_v4_pilotA,482,188826895,360,122,0,120,,train;val,False,0,False,미확정 — 개별 확인 필요,COMPLETE_LEGACY_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v67,501,150369725,334,167,0,167,,overlay,False,0,False,미확정 — 개별 확인 필요,COMPLETE_LEGACY_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/training_data_v4,329,133302744,242,82,0,80,,logs;train;val,False,0,True,"공개 불가 (NoAI baked, ledger:25/70, _DISTRIBUTION_EXCLUDE 등록)",NOAI_BAKED_DATASET,_DISTRIBUTION_EXCLUDE 등록 + ledger
archive/test_blender_v65,300,86945235,200,100,0,100,,overlay,False,0,False,미확정 — 개별 확인 필요,COMPLETE_LEGACY_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/train_palletobj_v3_post_v1,17722,77884636,8861,8859,8858,4,,_overlay12;batch_000;batch_001;batch_002;batch_003;batch_004,True,2,False,미확정 — 개별 확인 필요,COMPLETE_LEGACY_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_mask_test60,241,65085895,180,61,60,60,_summary.json,mask;overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/train_4pallet_mask_v1_pilot,167,46507868,125,40,40,40,,_verify;mask;overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_efront_12kp_check,107,44909247,77,8,2,0,,__pycache__;_smoke_4pallet;_smoke_v4;debug;kp12_validate;logs,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_test_topview,98,38020066,72,25,0,24,_summary.json,_crop;images;json;overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v66,99,30126560,66,33,0,33,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/_wood_skin_compare,50,28426531,38,9,0,8,,individual;random_applied,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v6,90,28174468,60,30,0,30,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
archive/test_blender_v7,90,28078134,60,30,0,30,,overlay,False,0,False,미확정 — 개별 확인 필요,PARTIAL_DATASET,레이아웃 지문(image/json/mask/overlay/records)
