relative_path,type,file_count_recursive,total_bytes_recursive,modified_min,modified_max,extension_counts,top_dirs,contains_dataset_layout,contains_rgb,contains_labels,contains_masks,contains_records,contains_overlay,contains_blend,contains_archive,contains_weight,contains_license,note
README.md,file,1,9141,2026-07-29 18:49:46,2026-07-29 18:49:46,"{"".md"": 1}",,,,,,,,False,False,False,,
_DISTRIBUTION_EXCLUDE.txt,file,1,2502,2026-07-29 18:32:53,2026-07-29 18:32:53,"{"".txt"": 1}",,,,,,,,False,False,False,,
_addon_pilot2.log,file,1,3388,2026-06-25 14:02:01,2026-06-25 14:02:01,"{"".log"": 1}",,,,,,,,False,False,False,,
_addon_pilot3.log,file,1,2429,2026-06-25 14:03:19,2026-06-25 14:03:19,"{"".log"": 1}",,,,,,,,False,False,False,,
_addon_pilot4.log,file,1,4282,2026-06-25 14:06:37,2026-06-25 14:06:37,"{"".log"": 1}",,,,,,,,False,False,False,,
_addon_pilot_gen.log,file,1,6167,2026-06-25 13:56:40,2026-06-25 13:56:40,"{"".log"": 1}",,,,,,,,False,False,False,,
_copy_and_zip_c.py,file,1,2597,2026-05-20 13:50:33,2026-05-20 13:50:33,"{"".py"": 1}",,,,,,,,False,False,False,,
_copy_c.log,file,1,2559,2026-05-20 13:56:39,2026-05-20 13:56:39,"{"".log"": 1}",,,,,,,,False,False,False,,
_finalize_c_zip.py,file,1,3305,2026-05-20 14:14:06,2026-05-20 14:14:06,"{"".py"": 1}",,,,,,,,False,False,False,,
_floor_applied14_render.log,file,1,3511,2026-06-16 21:10:19,2026-06-16 21:10:19,"{"".log"": 1}",,,,,,,,False,False,False,,
_floor_catalog.png,file,1,999776,2026-06-16 20:51:48,2026-06-16 20:51:48,"{"".png"": 1}",,,,,,,,False,False,False,,
_floor_test10_render.log,file,1,5743,2026-06-16 19:56:32,2026-06-16 19:56:32,"{"".log"": 1}",,,,,,,,False,False,False,,
_make_split_zips.log,file,1,2580,2026-05-20 14:29:54,2026-05-20 14:29:54,"{"".log"": 1}",,,,,,,,False,False,False,,
