datablock_type,datablock_name,filepath_raw,abspath,is_relative,is_packed,exists,inside_blender_scene_directory,inside_data_pallet,intended_move_source,expected_destination,migration_safe_without_blend_rewrite,verdict,reason,extra
Image,adjustable_wrench_diff,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__adjustable_wrench\textures\adjustable_wrench_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__adjustable_wrench\textures\adjustable_wrench_diff_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,adjustable_wrench_metal-adjustable_wrench_rough,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__adjustable_wrench\textures\adjustable_wrench_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__adjustable_wrench\textures\adjustable_wrench_arm_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,adjustable_wrench_nor_gl,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__adjustable_wrench\textures\adjustable_wrench_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\small\ph__adjustable_wrench\textures\adjustable_wrench_nor_gl_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,ammo_box_diff,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__ammo_box\textures\ammo_box_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__ammo_box\textures\ammo_box_diff_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,ammo_box_metal-ammo_box_rough,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__ammo_box\textures\ammo_box_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__ammo_box\textures\ammo_box_arm_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,ammo_box_nor_gl,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__ammo_box\textures\ammo_box_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__ammo_box\textures\ammo_box_nor_gl_1k.jpg,False,False,True,False,True,distractors,assets/distractors/library,False,BLOCKED_ABSOLUTE,stored as an absolute path -> breaks when the asset moves,source=FILE users=1
Image,Asphalt_baseColor.png,//..\background\modular_buildings_industrial_area\textures\Asphalt_baseColor.png,E:\CODING\GitHub\FoundationPose\data\pallet\background\modular_buildings_industrial_area\textures\Asphalt_baseColor.png,True,True,True,False,True,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,Asphalt_normal.png,//..\background\modular_buildings_industrial_area\textures\Asphalt_normal.png,E:\CODING\GitHub\FoundationPose\data\pallet\background\modular_buildings_industrial_area\textures\Asphalt_normal.png,True,True,True,False,True,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,atlas_mat_diffuse.jpeg,//..\background\parking_lot\textures\atlas_mat_diffuse.jpeg,E:\CODING\GitHub\FoundationPose\data\pallet\background\parking_lot\textures\atlas_mat_diffuse.jpeg,True,True,True,False,True,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,atlas_mat_normal.png,//..\background\parking_lot\textures\atlas_mat_normal.png,E:\CODING\GitHub\FoundationPose\data\pallet\background\parking_lot\textures\atlas_mat_normal.png,True,True,True,False,True,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,Barrel_01_explosive_diff,//..\..\..\..\..\..\AppData\Local\Temp\tmpg7cv8vw7\textures\Barrel_01_explosive_diff_1k.jpg,E:\AppData\Local\Temp\tmpg7cv8vw7\textures\Barrel_01_explosive_diff_1k.jpg,True,True,False,False,False,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,Barrel_01_explosive_metallic-Barrel_01_explosive_roughness,//..\..\..\..\..\..\AppData\Local\Temp\tmpg7cv8vw7\textures\Barrel_01_explosive_arm_1k.jpg,E:\AppData\Local\Temp\tmpg7cv8vw7\textures\Barrel_01_explosive_arm_1k.jpg,True,True,False,False,False,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
Image,Barrel_01_explosive_nor_gl,//..\..\..\..\..\..\AppData\Local\Temp\tmpg7cv8vw7\textures\Barrel_01_explosive_nor_gl_1k.jpg,E:\AppData\Local\Temp\tmpg7cv8vw7\textures\Barrel_01_explosive_nor_gl_1k.jpg,True,True,False,False,False,blender_scene,(packed),True,SAFE_RELATIVE,packed into the .blend,source=FILE users=1
