source_key,source,cohort,referenced_path,reference_file,line,kind,classification
A,data/pallet/archive/textures_wood,B1_REFERENCE_MATERIALS,data/pallet/archive/textures_wood,_docs/data_pallet_layout.md,89,literal,CURRENT_DOC
A,data/pallet/archive/textures_wood,B1_REFERENCE_MATERIALS,data/pallet/archive/textures_wood,_docs/dataset_license_ledger.md,256,literal,CURRENT_DOC
A,data/pallet/archive/textures_wood,B1_REFERENCE_MATERIALS,data/pallet/archive/textures_wood,config/synthetic/pallet_paths.yaml,33,literal,CURRENT_RUNTIME
A,data/pallet/archive/textures_wood,B1_REFERENCE_MATERIALS,data/pallet/archive/textures_wood,scripts/data_prep/blender/v2_realize.py,769,literal,CURRENT_RUNTIME
A,data/pallet/archive/textures_wood,B1_REFERENCE_MATERIALS,data/pallet/archive/textures_wood,scripts/data_prep/manage_pallet_data_layout.py,84,literal,CURRENT_RUNTIME
A,data/pallet/archive/textures_wood,B1_REFERENCE_MATERIALS,data/pallet/archive/textures_wood,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,37,literal,CURRENT_TEST
A,data/pallet/archive/textures_wood,B1_REFERENCE_MATERIALS,data/pallet/archive/textures_wood,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,378,literal,CURRENT_TEST
A,data/pallet/archive/textures_wood,B1_REFERENCE_MATERIALS,data/pallet/archive/textures_wood,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,56,literal,CURRENT_TEST
A,data/pallet/archive/textures_wood,B1_REFERENCE_MATERIALS,data/pallet/archive/textures_wood/textures_floor,_docs/history/2026-07-28.md,931,join,HISTORY
B,data/pallet/archive/textures_floor,B1_REFERENCE_MATERIALS,data/pallet/archive/textures_floor,_docs/data_pallet_layout.md,90,literal,CURRENT_DOC
B,data/pallet/archive/textures_floor,B1_REFERENCE_MATERIALS,data/pallet/archive/textures_floor,_docs/dataset_license_ledger.md,257,literal,CURRENT_DOC
B,data/pallet/archive/textures_floor,B1_REFERENCE_MATERIALS,data/pallet/archive/textures_floor,config/synthetic/pallet_paths.yaml,32,literal,CURRENT_RUNTIME
B,data/pallet/archive/textures_floor,B1_REFERENCE_MATERIALS,data/pallet/archive/textures_floor,scripts/data_prep/manage_pallet_data_layout.py,86,literal,CURRENT_RUNTIME
B,data/pallet/archive/textures_floor,B1_REFERENCE_MATERIALS,data/pallet/archive/textures_floor,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,36,literal,CURRENT_TEST
B,data/pallet/archive/textures_floor,B1_REFERENCE_MATERIALS,data/pallet/archive/textures_floor,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,55,literal,CURRENT_TEST
B,data/pallet/archive/textures_floor,B1_REFERENCE_MATERIALS,data/pallet/archive/textures_floor,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,380,literal,CURRENT_TEST
C,data/pallet/hdri,B2_LIGHTING_MODELS,data/pallet/hdri,_docs/blender_mcp_onboarding.md,141,literal,CURRENT_DOC
C,data/pallet/hdri,B2_LIGHTING_MODELS,data/pallet/hdri,_docs/data_pallet_layout.md,88,literal,CURRENT_DOC
C,data/pallet/hdri,B2_LIGHTING_MODELS,data/pallet/hdri/SOURCES.txt,_docs/dataset_license_ledger.md,179,literal,CURRENT_DOC
C,data/pallet/hdri,B2_LIGHTING_MODELS,data/pallet/hdri,_docs/dataset_license_ledger.md,176,literal,CURRENT_DOC
C,data/pallet/hdri,B2_LIGHTING_MODELS,data/pallet/hdri,config/synthetic/blender.yaml,330,literal,CURRENT_RUNTIME
C,data/pallet/hdri,B2_LIGHTING_MODELS,data/pallet/hdri,config/synthetic/blender_train_4000.yaml,307,literal,CURRENT_RUNTIME
C,data/pallet/hdri,B2_LIGHTING_MODELS,data/pallet/hdri,config/synthetic/pallet_paths.yaml,29,literal,CURRENT_RUNTIME
C,data/pallet/hdri,B2_LIGHTING_MODELS,data/pallet/hdri,scripts/data_prep/blender/randomizers.py,1235,literal,CURRENT_RUNTIME
C,data/pallet/hdri,B2_LIGHTING_MODELS,data/pallet/hdri,scripts/data_prep/manage_pallet_data_layout.py,92,literal,CURRENT_RUNTIME
C,data/pallet/hdri,B2_LIGHTING_MODELS,data/pallet/hdri,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,131,literal,CURRENT_TEST
C,data/pallet/hdri,B2_LIGHTING_MODELS,data/pallet/hdri,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,252,literal,CURRENT_TEST
C,data/pallet/hdri,B2_LIGHTING_MODELS,data/pallet/hdri,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,53,literal,CURRENT_TEST
C,data/pallet/hdri,B2_LIGHTING_MODELS,data/pallet/hdri,scripts/data_prep/blender/tests/test_pallet_data_paths_unit.py,35,literal,CURRENT_TEST
C,data/pallet/hdri,B2_LIGHTING_MODELS,data/pallet/hdri,_docs/history/2026-03-27.md,68,literal,HISTORY
C,data/pallet/hdri,B2_LIGHTING_MODELS,data/pallet/hdri,_docs/history/2026-06-16.md,122,literal,HISTORY
C,data/pallet/hdri,B2_LIGHTING_MODELS,data/pallet/hdri,_docs/history/2026-07-24.md,12,literal,HISTORY
C,data/pallet/hdri,B2_LIGHTING_MODELS,data/pallet/hdri/_hdri_preview_montage.png,_docs/history/2026-07-24.md,42,literal,HISTORY
C,data/pallet/hdri,B2_LIGHTING_MODELS,data/pallet/hdri/factory_yard_2k.hdr,_docs/history/2026-07-26-v2-attempt-log.md,108,literal,HISTORY
C,data/pallet/hdri,B2_LIGHTING_MODELS,data/pallet/hdri,scripts/data_prep/blender/_probe_dist.py,31,literal,LEGACY_RUNTIME
C,data/pallet/hdri,B2_LIGHTING_MODELS,data/pallet/hdri,scripts/data_prep/blender/_probe_v.py,26,literal,LEGACY_RUNTIME
C,data/pallet/hdri,B2_LIGHTING_MODELS,data/pallet/hdri,scripts/data_prep/blender/gen_palletobj_v1.py,86,literal,LEGACY_RUNTIME
C,data/pallet/hdri,B2_LIGHTING_MODELS,data/pallet/hdri,scripts/data_prep/blender/run_addon_v1.sh,65,literal,LEGACY_RUNTIME
C,data/pallet/hdri,B2_LIGHTING_MODELS,data/pallet/hdri,scripts/data_prep/blender/run_mass_10k.py,52,literal,LEGACY_RUNTIME
C,data/pallet/hdri,B2_LIGHTING_MODELS,data/pallet/hdri,scripts/data_prep/blender/run_trunc_addon.py,61,literal,LEGACY_RUNTIME
C,data/pallet/hdri,B2_LIGHTING_MODELS,data/pallet/hdri,scripts/data_prep/isaac_sim/generate_all.sh,44,literal,LEGACY_RUNTIME
D,data/pallet/models_usd,B2_LIGHTING_MODELS,data/pallet/models_usd,AGENTS.md,41,literal,CURRENT_DOC
D,data/pallet/models_usd,B2_LIGHTING_MODELS,data/pallet/models_usd,CLAUDE.md,41,literal,CURRENT_DOC
D,data/pallet/models_usd,B2_LIGHTING_MODELS,data/pallet/models_usd,_docs/data_pallet_layout.md,91,literal,CURRENT_DOC
D,data/pallet/models_usd,B2_LIGHTING_MODELS,data/pallet/models_usd/scene_1.usd,_docs/dataset_license_ledger.md,119,literal,CURRENT_DOC
D,data/pallet/models_usd,B2_LIGHTING_MODELS,data/pallet/models_usd/scene.usd,_docs/dataset_license_ledger.md,118,literal,CURRENT_DOC
D,data/pallet/models_usd,B2_LIGHTING_MODELS,data/pallet/models_usd/scene_noemit,_docs/dataset_license_ledger.md,120,literal,CURRENT_DOC
