source,case_id,proposal_index,usable_slot,old_outcome,current_outcome,solver_fail_reason,winning_stage,candidates_logged,unique_candidates,duplicate_candidates,target_seed_candidate_count,target_seed_unique_candidate_count,target_seed_free_evals,target_seed_paid_evals,total_budgeted_evals,gate_overlap_evals,corner_contact_evals,primary_evals,rescue_evals,refine_evals,feedback_evals,fine_eval_count,candidate_budget_exhausted,score_callback_rejects,near_miss_candidates,best_near_miss_gap,runtime_s,stage_explicit_s,stage_context_s,stage_explicit_prep_s,projected_size,f_target,side,elevation_deg,camera_distance_m
locked_replay,locked_replay:3,3,3,expensive_reject,rejected,bounded_local_search_exhausted,,44,41,3,8,8,8,0,36,0,0,27,0,0,0,0,9,21,0,,72.2130057811737,63.998018,0.001597,0.114915,0.5505824081795355,0.20730570984469082,right,52.90708284128163,1.2609699370506304
locked_replay,locked_replay:4,4,3,expensive_reject,rejected,bounded_local_search_exhausted,,60,57,3,24,24,24,0,36,0,0,27,0,0,0,0,9,58,0,,57.258301973342896,55.122338,0.001622,0.196436,0.2575001502880079,0.42654963055699835,right,4.38273518067479,2.3163719422255102
locked_replay,locked_replay:7,7,3,expensive_reject,rejected,bounded_local_search_exhausted,,12,11,1,0,0,0,0,12,0,0,9,0,0,0,0,2,3,0,,18.904264450073242,8.669534,0.001212,0.015911,0.9008782028473707,0.2629645435228422,bottom,60.28642245884304,1.1559851193907036
locked_replay,locked_replay:8,8,3,accepted,accepted,,target-seed,9,9,0,8,8,8,0,1,0,0,0,0,0,0,0,0,3,1,0.07936425718486995,39.983359575271606,19.163548,12.693093,0.147977,0.08450913319032577,0.19537258492039322,left,2.962271122006416,7.323799118759979
locked_replay,locked_replay:11,11,5,accepted,accepted,,target-seed,18,18,0,16,16,16,0,2,0,0,0,0,0,0,0,0,16,2,0.006189568858426281,58.54264163970947,19.503198,27.250652,0.201939,0.12662179445888,0.27312834436863037,right,8.711781295350534,5.483004466571469
locked_replay,locked_replay:18,18,9,accepted,accepted,,preprobe,21,21,0,8,8,8,0,13,11,0,0,0,0,0,0,4,9,2,0.01342258029292201,28.76292109489441,14.730876,6.924301,0.176502,0.1358814663770036,0.14684539908486832,bottom,65.9858010901019,5.20196505599571
locked_replay,locked_replay:26,26,13,accepted,accepted,,target-seed,18,18,0,16,16,16,0,2,0,0,0,0,0,0,0,0,14,11,0.0025801612912254024,31.42587900161743,18.736515,6.607257,0.183702,0.09439136881623088,0.39950323821430234,left,3.462683678820705,8.61625821288446
locked_replay,locked_replay:29,29,15,expensive_reject,rejected,bounded_local_search_exhausted,,44,41,3,8,8,8,0,36,0,0,27,2,0,0,0,9,24,10,0.056377531403719844,34.6096932888031,32.681931,0.001803,0.180976,0.3995691078192138,0.42607351843249974,right,22.618060782944863,2.6382608352813337
locked_replay,locked_replay:30,30,15,expensive_reject,rejected,bounded_local_search_exhausted,,52,49,3,16,16,16,0,36,0,0,27,2,0,0,0,6,31,0,,64.22495460510254,57.004089,0.001328,0.099112,0.7993471181563221,0.21813793003112078,left,4.427951783379555,1.1580582016060776
locked_replay,locked_replay:32,32,15,expensive_reject,rejected,bounded_local_search_exhausted,,60,55,5,24,24,24,0,36,0,0,27,0,0,0,0,9,31,0,,68.85879421234131,67.539133,0.001493,0.124557,0.3331675541161875,0.17802966484806917,right,53.23170958929934,1.9850498297175045
