source,case_id,proposal_index,usable_slot,case_outcome,order,stage,proposal_object,canonical_key,duplicate_geometry,reject_reason,score,score_accept,abs_error,accept_threshold_abs_error,score_margin,abs_score_gap,blocking_conditions,unknown_conditions,is_near_miss,hard_reject,object_visible_pixels,occluder_side_match,candidate_G1_pass,candidate_G2_pass,object_screen_gap_px
locked_replay,locked_replay:3,3,3,rejected,0,preprobe,Dist_utility_box_01,5b983bb3afcc2b90,False,collision,,,,0.12,,,,side_match|visible_pixels_ge8|target_error_ok|corner_joint_pass,False,True,,,,,
locked_replay,locked_replay:3,3,3,rejected,1,primary,Dist_utility_box_01,e41327920d950483,False,collision,,,,0.12,,,,side_match|visible_pixels_ge8|target_error_ok|corner_joint_pass,False,True,,,,,
locked_replay,locked_replay:3,3,3,rejected,2,primary,Dist_utility_box_01,2504f211d0bd1aa1,False,support,,,,0.12,,,,side_match|visible_pixels_ge8|target_error_ok|corner_joint_pass,False,True,,,,,
locked_replay,locked_replay:3,3,3,rejected,3,primary,Dist_utility_box_01,84afec161915c863,False,support,,,,0.12,,,,side_match|visible_pixels_ge8|target_error_ok|corner_joint_pass,False,True,,,,,
locked_replay,locked_replay:3,3,3,rejected,4,primary,Dist_utility_box_01,c64cf7a22f3424ea,False,score_callback,-0.3114723765113575,False,0.20730570984469082,0.12,-0.08730570984469083,0.08730570984469083,side_match|target_error_ok|corner_joint_pass,,False,False,423,False,True,False,0.0
locked_replay,locked_replay:3,3,3,rejected,5,primary,Dist_utility_box_01,5b983bb3afcc2b90,True,collision,,,,0.12,,,,side_match|visible_pixels_ge8|target_error_ok|corner_joint_pass,False,True,,,,,
locked_replay,locked_replay:3,3,3,rejected,6,primary,Dist_utility_box_01,481d4f866e150e45,False,support,,,,0.12,,,,side_match|visible_pixels_ge8|target_error_ok|corner_joint_pass,False,True,,,,,
locked_replay,locked_replay:3,3,3,rejected,7,primary,Dist_utility_box_01,db7f2eded6539066,False,score_callback,-1.3114723765113574,False,0.20730570984469082,0.12,-0.08730570984469083,0.08730570984469083,side_match|visible_pixels_ge8|target_error_ok|corner_joint_pass,,False,False,0,False,True,False,0.0
locked_replay,locked_replay:3,3,3,rejected,8,primary,Dist_utility_box_01,e3ecb1c52cef4321,False,score_callback,-0.3114723765113575,False,0.20730570984469082,0.12,-0.08730570984469083,0.08730570984469083,side_match|target_error_ok|corner_joint_pass,,False,False,341,False,True,False,0.0
locked_replay,locked_replay:3,3,3,rejected,9,primary,Dist_utility_box_01,da9fa25ea79f22db,False,collision,,,,0.12,,,,side_match|visible_pixels_ge8|target_error_ok|corner_joint_pass,False,True,,,,,
locked_replay,locked_replay:3,3,3,rejected,10,prealign-primary,Dist_utility_box_01,f522fa962d4d6d17,False,support,,,,0.12,,,,side_match|visible_pixels_ge8|target_error_ok|corner_joint_pass,False,True,,,,,
locked_replay,locked_replay:3,3,3,rejected,11,prealign-primary,Dist_utility_box_01,aa7244458b2f74c9,False,support,,,,0.12,,,,side_match|visible_pixels_ge8|target_error_ok|corner_joint_pass,False,True,,,,,
locked_replay,locked_replay:3,3,3,rejected,12,preprobe,Dist_chinese_screen_panels,45c1841509507d15,False,camera_clearance,,,,0.12,,,,side_match|visible_pixels_ge8|target_error_ok|corner_joint_pass,False,True,,,,,
locked_replay,locked_replay:3,3,3,rejected,13,primary,Dist_chinese_screen_panels,d2da37d03213d76a,False,camera_clearance,,,,0.12,,,,side_match|visible_pixels_ge8|target_error_ok|corner_joint_pass,False,True,,,,,
locked_replay,locked_replay:3,3,3,rejected,14,primary,Dist_chinese_screen_panels,6d81d045f1205788,False,camera_clearance,,,,0.12,,,,side_match|visible_pixels_ge8|target_error_ok|corner_joint_pass,False,True,,,,,
locked_replay,locked_replay:3,3,3,rejected,15,primary,Dist_chinese_screen_panels,c7bb9a92a9048d0b,False,support,,,,0.12,,,,side_match|visible_pixels_ge8|target_error_ok|corner_joint_pass,False,True,,,,,
locked_replay,locked_replay:3,3,3,rejected,16,primary,Dist_chinese_screen_panels,e3528d336ac50524,False,camera_clearance,,,,0.12,,,,side_match|visible_pixels_ge8|target_error_ok|corner_joint_pass,False,True,,,,,
locked_replay,locked_replay:3,3,3,rejected,17,primary,Dist_chinese_screen_panels,45c1841509507d15,True,camera_clearance,,,,0.12,,,,side_match|visible_pixels_ge8|target_error_ok|corner_joint_pass,False,True,,,,,
locked_replay,locked_replay:3,3,3,rejected,18,primary,Dist_chinese_screen_panels,7935a62f4868831b,False,support,,,,0.12,,,,side_match|visible_pixels_ge8|target_error_ok|corner_joint_pass,False,True,,,,,
locked_replay,locked_replay:3,3,3,rejected,19,primary,Dist_chinese_screen_panels,978e80c7568e23ba,False,score_callback,-1.3114723765113574,False,0.20730570984469082,0.12,-0.08730570984469083,0.08730570984469083,side_match|visible_pixels_ge8|target_error_ok|corner_joint_pass,,False,False,0,False,True,False,0.0
locked_replay,locked_replay:3,3,3,rejected,20,primary,Dist_chinese_screen_panels,1db86b1945dfb2d9,False,score_callback,-1.3114723765113574,False,0.20730570984469082,0.12,-0.08730570984469083,0.08730570984469083,side_match|visible_pixels_ge8|target_error_ok|corner_joint_pass,,False,False,0,False,True,False,0.0
locked_replay,locked_replay:3,3,3,rejected,21,primary,Dist_chinese_screen_panels,3bceae3a6446ebc0,False,score_callback,-0.3114723765113575,False,0.20730570984469082,0.12,-0.08730570984469083,0.08730570984469083,side_match|target_error_ok|corner_joint_pass,,False,False,1199,False,True,False,0.0
locked_replay,locked_replay:3,3,3,rejected,22,prealign-primary,Dist_chinese_screen_panels,b09b206873bf6c34,False,camera_clearance,,,,0.12,,,,side_match|visible_pixels_ge8|target_error_ok|corner_joint_pass,False,True,,,,,
locked_replay,locked_replay:3,3,3,rejected,23,prealign-primary,Dist_chinese_screen_panels,c1aecf4517eabccd,False,camera_clearance,,,,0.12,,,,side_match|visible_pixels_ge8|target_error_ok|corner_joint_pass,False,True,,,,,
locked_replay,locked_replay:3,3,3,rejected,24,preprobe,Dist_concrete_road_barrier_02,78f645414c8ed02b,False,score_callback,-0.3114723765113575,False,0.20730570984469082,0.12,-0.08730570984469083,0.08730570984469083,side_match|target_error_ok|corner_joint_pass,,False,False,1360,False,True,False,0.0
locked_replay,locked_replay:3,3,3,rejected,25,target-seed,Dist_concrete_road_barrier_02,56b15321d7f59e42,False,score_callback,-0.3114723765113575,False,0.20730570984469082,0.12,-0.08730570984469083,0.08730570984469083,side_match|target_error_ok|corner_joint_pass,,False,False,1721,False,True,False,0.0
locked_replay,locked_replay:3,3,3,rejected,26,target-seed,Dist_concrete_road_barrier_02,b579ef935e2bc043,False,score_callback,-0.3114723765113575,False,0.20730570984469082,0.12,-0.08730570984469083,0.08730570984469083,side_match|target_error_ok|corner_joint_pass,,False,False,1533,False,True,False,0.0
locked_replay,locked_replay:3,3,3,rejected,27,target-seed,Dist_concrete_road_barrier_02,d90273b736f7fc9d,False,score_callback,-0.3114723765113575,False,0.20730570984469082,0.12,-0.08730570984469083,0.08730570984469083,side_match|target_error_ok|corner_joint_pass,,False,False,1619,False,True,False,0.0
locked_replay,locked_replay:3,3,3,rejected,28,target-seed,Dist_concrete_road_barrier_02,bc464deeb418aa83,False,score_callback,-0.3114723765113575,False,0.20730570984469082,0.12,-0.08730570984469083,0.08730570984469083,side_match|target_error_ok|corner_joint_pass,,False,False,1808,False,True,False,0.0
locked_replay,locked_replay:3,3,3,rejected,29,target-seed,Dist_concrete_road_barrier_02,4ab20466ab4f89f9,False,score_callback,-0.3114723765113575,False,0.20730570984469082,0.12,-0.08730570984469083,0.08730570984469083,side_match|target_error_ok|corner_joint_pass,,False,False,826,False,True,False,0.0
locked_replay,locked_replay:3,3,3,rejected,30,target-seed,Dist_concrete_road_barrier_02,273b496a058c0c7f,False,collision,,,,0.12,,,,side_match|visible_pixels_ge8|target_error_ok|corner_joint_pass,False,True,,,,,
locked_replay,locked_replay:3,3,3,rejected,31,target-seed,Dist_concrete_road_barrier_02,e6c8815c9415d942,False,score_callback,-0.20730570984469082,False,0.20730570984469082,0.12,-0.08730570984469083,0.08730570984469083,side_match|target_error_ok,,False,False,1986,False,True,True,0.0
locked_replay,locked_replay:3,3,3,rejected,32,target-seed,Dist_concrete_road_barrier_02,81b73056d00ee3c0,False,collision,,,,0.12,,,,side_match|visible_pixels_ge8|target_error_ok|corner_joint_pass,False,True,,,,,
locked_replay,locked_replay:3,3,3,rejected,33,primary,Dist_concrete_road_barrier_02,0748387534e10d3f,False,score_callback,-0.3114723765113575,False,0.20730570984469082,0.12,-0.08730570984469083,0.08730570984469083,side_match|target_error_ok|corner_joint_pass,,False,False,1453,False,True,False,0.0
locked_replay,locked_replay:3,3,3,rejected,34,primary,Dist_concrete_road_barrier_02,d2fe079f8dccf8f1,False,support,,,,0.12,,,,side_match|visible_pixels_ge8|target_error_ok|corner_joint_pass,False,True,,,,,
locked_replay,locked_replay:3,3,3,rejected,35,primary,Dist_concrete_road_barrier_02,a770bb48a658aa43,False,support,,,,0.12,,,,side_match|visible_pixels_ge8|target_error_ok|corner_joint_pass,False,True,,,,,
locked_replay,locked_replay:3,3,3,rejected,36,primary,Dist_concrete_road_barrier_02,d55425c6cad7f64b,False,score_callback,-0.3421741308973224,False,0.20730570984469082,0.12,-0.08730570984469083,0.08730570984469083,side_match|target_error_ok|corner_joint_pass,,False,False,66,False,True,False,7.0
locked_replay,locked_replay:3,3,3,rejected,37,primary,Dist_concrete_road_barrier_02,78f645414c8ed02b,True,score_callback,-0.3114723765113575,False,0.20730570984469082,0.12,-0.08730570984469083,0.08730570984469083,side_match|target_error_ok|corner_joint_pass,,False,False,1360,False,True,False,0.0
