proposal_index,g1p5_accepted,g1p6_accepted,g1p5_abs_error,g1p6_abs_error,g1p5_side_match,g1p6_side_match,g1p5_visible_px,g1p6_visible_px,g1p5_metrics,g1p6_metrics,g1p6_fine_triggered,g1p6_fine_won,g1p5_runtime_s,g1p6_runtime_s
8,True,True,0.03747784807828797,0.03747784807828797,True,True,228,228,True,True,False,False,39.983359575271606,39.45412302017212
11,True,True,0.11394467089924262,0.11394467089924262,True,True,12513,12513,True,True,False,False,58.54264163970947,58.35173225402832
18,True,True,0.1065769427090294,0.09986553331305624,True,True,193,81,True,True,True,True,28.76292109489441,33.983744382858276
26,True,True,0.09181093052199463,0.09181093052199463,True,True,455,455,True,True,False,False,31.42587900161743,31.033519506454468
38,True,True,0.028104150650609228,0.028104150650609228,True,True,11123,11123,True,True,False,False,46.969865798950195,45.98642110824585
46,True,True,0.044307811493656424,0.044307811493656424,True,True,5186,5186,True,True,True,False,79.55007910728455,86.1935122013092
59,True,True,0.022491984329284592,0.022491984329284592,True,True,323,323,True,True,False,False,46.45563507080078,46.38847231864929
65,True,True,0.008475681861794954,0.008475681861794954,True,True,218,218,True,True,False,False,68.05581879615784,66.7121524810791
70,True,True,0.027964764203445958,0.027964764203445958,True,True,5081,5081,True,True,False,False,57.019025802612305,53.4702365398407
76,True,True,0.019531381353608185,0.019531381353608185,True,True,4409,4409,True,True,False,False,39.847291231155396,44.642585039138794
82,True,True,0.03445878267977187,0.03445878267977187,True,True,2655,2655,True,True,False,False,55.76833367347717,58.33450484275818
93,True,True,0.09383771661606499,0.09383771661606499,True,True,6220,6220,True,True,False,False,35.58420276641846,36.68250918388367
104,True,True,0.020322950844032794,0.020322950844032794,True,True,368,368,True,True,False,False,25.136135816574097,16.981074571609497
113,True,True,0.05726243550914978,0.05726243550914978,True,True,805,805,True,True,False,False,132.90405535697937,91.33534264564514
121,True,True,0.0647122915393506,0.0647122915393506,True,True,2710,2710,True,True,False,False,87.61704897880554,60.303616523742676
132,True,True,0.08015422553441234,0.08015422553441234,True,True,2897,2897,True,True,False,False,25.239899396896362,17.37221670150757
137,True,True,0.005971840966942837,0.005971840966942837,True,True,454,454,True,True,False,False,43.293569803237915,32.712788105010986
147,True,True,0.0818521641837932,0.0818521641837932,True,True,8024,8024,True,True,False,False,121.2406370639801,72.0321695804596
155,True,True,0.009300326162376887,0.009300326162376887,True,True,730,730,True,True,False,False,41.63956594467163,28.629651069641113
159,True,True,0.005738297224378491,0.005738297224378491,True,True,991,991,True,True,False,False,45.715510845184326,30.747579097747803
166,True,True,0.033340549135950276,0.033340549135950276,True,True,732,732,True,True,False,False,62.852434396743774,54.24970531463623
174,True,True,0.001571651211764613,0.001571651211764613,True,True,895,895,True,True,False,False,38.571696758270264,38.855706214904785
176,True,True,0.0022651230651877796,0.0022651230651877796,True,True,7053,7053,True,True,False,False,40.623175859451294,41.09993815422058
187,True,True,0.043422703671683854,0.043422703671683854,True,True,514,514,True,True,False,False,34.235026597976685,34.63578915596008
195,True,True,0.11604323164489044,0.11604323164489044,True,True,3422,3422,True,True,False,False,68.6997709274292,70.32870626449585
202,True,True,0.11355443332942178,0.11355443332942178,True,True,512,512,True,True,False,False,45.04679894447327,45.238823652267456
211,True,True,0.04612094401268696,0.04612094401268696,True,True,829,829,True,True,False,False,109.85441970825195,112.96802473068237
219,True,True,0.047451526891304274,0.047451526891304274,True,True,229,229,True,True,False,False,376.0757598876953,379.10203742980957
231,True,True,0.016693326063046715,0.016693326063046715,True,True,266,266,True,True,False,False,40.103071212768555,38.97640657424927
244,True,True,0.019216744859234303,0.019216744859234303,True,True,2417,2417,True,True,False,False,26.361574172973633,26.340308904647827
