proposal_index,usable_slot,old_outcome,g1p5_outcome,g1p6_outcome,g1p5_runtime_s,g1p6_runtime_s,g1p5_sc_rej,g1p6_sc_rej,g1p5_budget_ex,g1p6_budget_ex,winning_stage,fine_triggered,fine_eval_count,fine_won,fine_margin_before,fine_margin_after,target_seed_free_used,target_seed_paid_used,explicit_abs_error_lowres,side_match,n_context_visible
147,59,accepted,accepted,accepted,121.2406370639801,72.0321695804596,19,19,3,3,target-seed,False,0,False,,,16,0,0.0818521641837932,True,2
154,63,expensive_reject,rejected,rejected,97.96363043785095,62.37146830558777,60,60,12,12,,False,0,False,,,24,0,,,0
155,63,accepted,accepted,accepted,41.63956594467163,28.629651069641113,7,7,0,0,target-seed,False,0,False,,,16,0,0.009300326162376887,True,3
158,65,expensive_reject,rejected,rejected,55.8395299911499,39.250760078430176,57,57,9,9,,False,0,False,,,24,0,,,0
159,65,accepted,accepted,accepted,45.715510845184326,30.747579097747803,1,1,0,0,target-seed,False,0,False,,,8,0,0.005738297224378491,True,3
163,69,expensive_reject,rejected,rejected,75.67885375022888,49.846922636032104,34,34,8,8,,False,0,False,,,16,0,,,0
166,69,accepted,accepted,accepted,62.852434396743774,54.24970531463623,14,14,1,1,corner-contact-refine,False,0,False,,,8,0,0.033340549135950276,True,3
173,73,expensive_reject,rejected,rejected,70.16618132591248,71.55662250518799,60,60,9,9,,False,0,False,,,24,0,,,0
174,73,accepted,accepted,accepted,38.571696758270264,38.855706214904785,1,1,0,0,target-seed,False,0,False,,,8,0,0.001571651211764613,True,3
176,75,accepted,accepted,accepted,40.623175859451294,41.09993815422058,6,6,0,0,target-seed,False,0,False,,,8,0,0.0022651230651877796,True,2
180,79,expensive_reject,rejected,rejected,17.528477907180786,18.06465482711792,9,9,7,7,,False,0,False,,,0,0,,,0
183,79,expensive_reject,accepted,accepted,173.85569858551025,162.2138946056366,58,58,7,7,primary,False,0,False,,,24,0,0.0876768390511304,True,3
184,79,expensive_reject,rejected,rejected,38.832597494125366,39.28633952140808,24,24,11,11,,False,0,False,,,24,0,,,0
187,79,accepted,accepted,accepted,34.235026597976685,34.63578915596008,0,0,0,0,preprobe,False,0,False,,,0,0,0.043422703671683854,True,3
192,83,expensive_reject,rejected,rejected,64.33874368667603,65.86233186721802,60,60,12,12,,False,0,False,,,24,0,,,0
195,83,accepted,accepted,accepted,68.6997709274292,70.32870626449585,22,22,3,3,gate-overlap-refine,False,0,False,,,8,0,0.11604323164489044,True,3
199,85,expensive_reject,rejected,rejected,55.44748854637146,56.20206046104431,41,41,10,10,,False,0,False,,,24,0,,,0
201,85,expensive_reject,rejected,rejected,57.576770305633545,57.73574733734131,17,17,4,4,target-seed,False,0,False,,,16,0,0.06570564181864053,True,3
202,85,accepted,accepted,accepted,45.04679894447327,45.238823652267456,8,8,0,0,preprobe,False,0,False,,,8,0,0.11355443332942178,True,3
209,89,expensive_reject,rejected,rejected,96.57241177558899,102.79627847671509,60,60,10,10,,False,0,False,,,24,0,,,0
211,89,accepted,accepted,accepted,109.85441970825195,112.96802473068237,6,6,0,0,target-seed,False,0,False,,,8,0,0.04612094401268696,True,3
216,93,expensive_reject,rejected,rejected,15.325283765792847,16.44180965423584,7,7,3,3,,False,0,False,,,0,0,,,0
217,93,expensive_reject,rejected,rejected,31.169378519058228,32.100520610809326,16,16,7,7,,False,0,False,,,8,0,,,0
