proposal_index,usable_slot,old_outcome,new_outcome,replayed,old_runtime_s,new_runtime_s,old_stage_context_s,new_stage_context_s,old_stage_explicit_s,new_stage_explicit_s,new_stage_explicit_prep_s,old_explicit_visible_pixels,new_explicit_visible_pixels,old_side_match,new_side_match,new_metrics_available,new_f_explicit_target,new_f_explicit_actual_lowres,new_explicit_abs_error_lowres,old_realization_attempt_count,new_realization_attempt_count,new_coarse_eval_count,new_fine_eval_count,new_search_winning_stage,new_solver_fail_reason,old_solver_fail_reason,new_context_skipped,new_reject_counts
3,3,expensive_reject,rejected,True,130.52551126480103,72.35855484008789,73.07156,0.001359,49.870431,64.271607,0.118762,0,0,,,False,0.20730570984469082,,,19,19,44,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""camera_clearance"": 7, ""candidate_budget_exhausted"": 9, ""collision"": 6, ""score_callback"": 21, ""support"": 10}"
4,3,expensive_reject,rejected,True,74.4275176525116,56.78598952293396,37.016078,0.001685,35.411834,54.666058,0.194465,0,0,,,False,0.42654963055699835,,,21,21,60,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 9, ""score_callback"": 58, ""support"": 2}"
7,3,expensive_reject,rejected,True,40.633838415145874,18.6163067817688,20.705099,0.001137,9.233334,8.617761,0.016607,0,0,,,False,0.2629645435228422,,,5,5,12,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 2, ""collision"": 6, ""score_callback"": 3, ""support"": 3}"
8,3,accepted,accepted,True,41.190797328948975,39.45412302017212,13.441722,12.792858,19.844992,18.67726,0.156699,228,228,True,True,True,0.19537258492039322,0.15789473684210525,0.03747784807828797,2,2,9,0,target-seed,,,False,"{""score_callback"": 3}"
11,5,accepted,accepted,True,53.542211055755615,58.35173225402832,17.686679,26.858158,23.865339,19.735551,0.173669,12513,12513,True,True,True,0.27312834436863037,0.15918367346938775,0.11394467089924262,9,4,18,0,target-seed,,,False,"{""score_callback"": 16}"
18,9,accepted,accepted,True,29.19108295440674,33.983744382858276,7.95999,7.034575,14.779701,19.913155,0.179057,193,81,True,True,True,0.14684539908486832,0.04697986577181208,0.09986553331305624,8,10,21,6,fine,,,False,"{""candidate_budget_exhausted"": 4, ""score_callback"": 12, ""support"": 12}"
26,13,accepted,accepted,True,32.514846324920654,31.033519506454468,6.783348,6.338648,19.862133,18.508038,0.184584,455,455,True,True,True,0.39950323821430234,0.3076923076923077,0.09181093052199463,4,4,18,0,target-seed,,,False,"{""score_callback"": 14}"
29,15,expensive_reject,accepted,True,43.14216208457947,57.07748222351074,16.047018,19.545232,25.084327,31.978214,0.184734,0,5544,,True,True,0.42607351843249974,0.40413457640859346,0.021938942023906283,19,15,32,6,fine,,bounded_local_search_exhausted,False,"{""camera_clearance"": 10, ""candidate_budget_exhausted"": 6, ""score_callback"": 25}"
30,15,expensive_reject,rejected,True,56.53138089179993,62.116459131240845,20.572548,0.001327,29.059582,55.084486,0.097522,0,0,,,False,0.21813793003112078,,,17,17,52,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""camera_clearance"": 6, ""candidate_budget_exhausted"": 6, ""score_callback"": 31, ""support"": 15}"
32,15,expensive_reject,rejected,True,49.7745840549469,67.13260412216187,22.36654,0.001419,26.176577,65.882192,0.128388,0,0,,,False,0.17802966484806917,,,20,21,60,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 9, ""collision"": 1, ""score_callback"": 31, ""support"": 28}"
34,15,expensive_reject,rejected,True,69.23617172241211,71.74582624435425,25.72855,0.001299,36.5374,64.480171,0.15625,0,0,,,False,0.2343686197213216,,,20,22,52,6,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""camera_clearance"": 11, ""candidate_budget_exhausted"": 9, ""score_callback"": 47}"
38,15,accepted,accepted,True,44.293997049331665,45.98642110824585,14.038016,15.428782,24.083392,24.117541,0.134991,11123,11123,True,True,True,0.4082084078182895,0.38010425716768026,0.028104150650609228,2,2,9,0,target-seed,,,False,"{""score_callback"": 8}"
46,19,accepted,accepted,True,76.24449396133423,86.1935122013092,32.655833,27.597488,37.973927,52.59156,0.093881,5284,5186,True,True,True,0.2577233925098761,0.3020312040035325,0.044307811493656424,9,11,29,6,target-seed,,,False,"{""candidate_budget_exhausted"": 3, ""collision"": 1, ""score_callback"": 33}"
54,23,expensive_reject,rejected,True,45.981489419937134,24.997325658798218,21.028372,0.001087,16.563303,16.418388,0.097776,0,0,,,False,0.29172857383466516,,,15,15,36,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 6, ""collision"": 4, ""score_callback"": 6, ""support"": 26}"
55,23,expensive_reject,rejected,True,68.83458995819092,49.15783500671387,31.392485,0.00078,36.297151,47.995661,0.048224,0,0,,,False,0.13080422137872902,,,19,19,44,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""camera_clearance"": 21, ""candidate_budget_exhausted"": 10, ""collision"": 1, ""score_callback"": 20, ""support"": 2}"
58,23,expensive_reject,rejected,True,50.215322494506836,63.42504334449768,9.498187,0.001608,38.809261,61.450673,0.169578,0,0,,,False,0.14775433727293127,,,21,21,60,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""camera_clearance"": 1, ""candidate_budget_exhausted"": 9, ""score_callback"": 59}"
59,23,accepted,accepted,True,46.748077630996704,46.38847231864929,10.413602,9.582627,23.614857,23.854718,0.101513,323,323,True,True,True,0.23646578345592215,0.21397379912663755,0.022491984329284592,8,8,21,0,target-seed,,,False,"{""candidate_budget_exhausted"": 3, ""collision"": 8, ""score_callback"": 5, ""support"": 1}"
62,25,expensive_reject,rejected,True,63.97418832778931,51.27395963668823,38.603657,0.001621,21.476127,47.158986,0.164328,0,0,,,False,0.3765922942059385,,,21,21,60,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 10, ""collision"": 10, ""score_callback"": 23, ""support"": 27}"
65,25,accepted,accepted,True,82.286048412323,66.7121524810791,28.929931,31.870595,39.245868,20.449856,0.209446,187,218,True,True,True,0.12697100401716757,0.13544668587896252,0.008475681861794954,4,2,9,0,target-seed,,,False,"{""score_callback"": 4}"
