proposal_index,usable_slot,selection_reasons,current_outcome,old_outcome,winning_stage,target_seed_free_evals,candidate_budget_exhausted,near_miss_candidates,best_near_miss_gap,score_callback_rejects,projected_size,f_target,side,runtime_s
7,3,reject_projected_size_high,rejected,expensive_reject,,0,2,0,,3,0.9008782028473707,0.2629645435228422,bottom,18.904264450073242
8,3,accepted_winning_stage:target-seed,accepted,accepted,target-seed,8,0,1,0.07936425718486995,3,0.08450913319032577,0.19537258492039322,left,39.983359575271606
18,9,accepted_winning_stage:preprobe,accepted,accepted,preprobe,8,4,2,0.01342258029292201,9,0.1358814663770036,0.14684539908486832,bottom,28.76292109489441
26,13,accepted_p75_target_seed_free,accepted,accepted,target-seed,16,0,11,0.0025801612912254024,14,0.09439136881623088,0.39950323821430234,left,31.42587900161743
29,15,reject_f_target_p95,rejected,expensive_reject,,8,9,10,0.056377531403719844,24,0.3995691078192138,0.42607351843249974,right,34.6096932888031
30,15,reject_f_target_p40,rejected,expensive_reject,,16,6,0,,31,0.7993471181563221,0.21813793003112078,left,64.22495460510254
55,23,reject_f_target_p10,rejected,expensive_reject,,8,10,0,,20,0.7695802147735195,0.13080422137872902,bottom,50.27544355392456
62,25,reject_near_miss_gap_p75,rejected,expensive_reject,,24,10,3,0.1147483225747328,23,0.2784652824470185,0.3765922942059385,right,51.79189467430115
93,39,accepted_winning_stage:primary,accepted,accepted,primary,8,3,2,0.03314718494904534,15,0.5316154620952647,0.43973900871519656,left,35.58420276641846
109,45,reject_median_budget_exhausted,rejected,expensive_reject,,16,9,0,,42,0.24560665379937663,0.3356562823526332,bottom,64.4170835018158
113,45,accepted_winning_stage:gate-overlap-refine|protected_previously_lost,accepted,accepted,gate-overlap-refine,8,3,16,0.04169734251916407,21,0.28382261093391215,0.3290793167680911,left,132.90405535697937
136,55,reject_near_miss_gap_p05,rejected,expensive_reject,,0,9,2,0.003493675362240156,14,0.4821920800778217,0.16124306670200617,right,22.642623901367188
166,69,accepted_winning_stage:corner-contact-refine|protected_previously_lost,accepted,accepted,corner-contact-refine,8,1,0,,14,0.23525376625478855,0.18870592109118398,bottom,62.852434396743774
173,73,reject_projected_size_low,rejected,expensive_reject,,24,9,0,,60,0.0942514050031087,0.1150761980439105,left,70.16618132591248
183,79,accepted_max_target_seed_free,accepted,expensive_reject,primary,24,7,0,,58,0.09932481890477544,0.17523444273776634,bottom,173.85569858551025
184,79,reject_near_miss_no_fine_p75,rejected,expensive_reject,,24,11,16,0.07352498713644215,24,0.375071056510182,0.3836264574201448,left,38.832597494125366
192,83,reject_max_budget_exhausted,rejected,expensive_reject,,24,12,0,,60,0.23303177187599905,0.123365894996608,right,64.33874368667603
201,85,reject_projected_size_mid,rejected,expensive_reject,target-seed,16,4,0,,17,0.29959005192826543,0.3417435681136394,left,57.576770305633545
225,95,reject_near_miss_no_fine_p25,rejected,expensive_reject,,8,10,1,0.18401498574731395,32,0.28961103520979786,0.3945422839274353,left,54.804380655288696
229,95,reject_near_miss_gap_p25,rejected,expensive_reject,target-seed,16,3,3,0.009956686263358994,24,0.162540931173661,0.3952533977702545,right,91.7277364730835
237,99,reject_near_miss_gap_p50,rejected,expensive_reject,,24,10,32,0.048839283307721415,50,0.4039123437889626,0.39731230282551705,right,76.60345816612244
242,99,reject_f_target_p70,rejected,expensive_reject,,23,11,0,,58,0.07515442334073334,0.3380639641511566,right,72.66754078865051
