datablock_name,old_filepath,old_absolute,old_sha256,new_filepath,new_absolute,new_sha256,same_file,users,owner_nodes,status,blocker
metal_stool_01_nor_gl,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_stool_01\textures\metal_stool_01_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_stool_01\textures\metal_stool_01_nor_gl_1k.jpg,0e7bb58644b309f6396f417ef35eeebb74db13fb3b8876c6eb79c882a0f407e8,//../distractors/medium/ph__metal_stool_01/textures/metal_stool_01_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_stool_01\textures\metal_stool_01_nor_gl_1k.jpg,0e7bb58644b309f6396f417ef35eeebb74db13fb3b8876c6eb79c882a0f407e8,True,1,material:metal_stool_01/Image Texture.002,PLANNED,
metal_tool_chest_diff,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_tool_chest\textures\metal_tool_chest_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_tool_chest\textures\metal_tool_chest_diff_1k.jpg,da37ba2a8d064637c7206cb091597275986e788ce379bee58a96c949cce06511,//../distractors/medium/ph__metal_tool_chest/textures/metal_tool_chest_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_tool_chest\textures\metal_tool_chest_diff_1k.jpg,da37ba2a8d064637c7206cb091597275986e788ce379bee58a96c949cce06511,True,1,material:metal_tool_chest/Image Texture,PLANNED,
metal_tool_chest_metal-metal_tool_chest_rough,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_tool_chest\textures\metal_tool_chest_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_tool_chest\textures\metal_tool_chest_arm_1k.jpg,d5552ee63ac9bc53527ee1bf19bcbd31d8424bcc15fe9861f79bba917e857828,//../distractors/medium/ph__metal_tool_chest/textures/metal_tool_chest_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_tool_chest\textures\metal_tool_chest_arm_1k.jpg,d5552ee63ac9bc53527ee1bf19bcbd31d8424bcc15fe9861f79bba917e857828,True,1,material:metal_tool_chest/Image Texture.001,PLANNED,
metal_tool_chest_nor_gl,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_tool_chest\textures\metal_tool_chest_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_tool_chest\textures\metal_tool_chest_nor_gl_1k.jpg,bc5a4009a544a9504849b951afd984d6ac7c5adb0d43c5a08c0a834f8e811a01,//../distractors/medium/ph__metal_tool_chest/textures/metal_tool_chest_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_tool_chest\textures\metal_tool_chest_nor_gl_1k.jpg,bc5a4009a544a9504849b951afd984d6ac7c5adb0d43c5a08c0a834f8e811a01,True,1,material:metal_tool_chest/Image Texture.002,PLANNED,
metal_toolbox_diff,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_toolbox\textures\metal_toolbox_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_toolbox\textures\metal_toolbox_diff_1k.jpg,21e1d21880e49db3fde0457d53b78a70db61234a201da9f0181dd0880b110473,//../distractors/medium/ph__metal_toolbox/textures/metal_toolbox_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_toolbox\textures\metal_toolbox_diff_1k.jpg,21e1d21880e49db3fde0457d53b78a70db61234a201da9f0181dd0880b110473,True,1,material:metal_toolbox/Image Texture,PLANNED,
metal_toolbox_metal-metal_toolbox_rough,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_toolbox\textures\metal_toolbox_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_toolbox\textures\metal_toolbox_arm_1k.jpg,97676b2324b105b710904b20bfdeb32bfce3c6b4ccaaf215827b37961fc22763,//../distractors/medium/ph__metal_toolbox/textures/metal_toolbox_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_toolbox\textures\metal_toolbox_arm_1k.jpg,97676b2324b105b710904b20bfdeb32bfce3c6b4ccaaf215827b37961fc22763,True,1,material:metal_toolbox/Image Texture.001,PLANNED,
metal_toolbox_nor_gl,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_toolbox\textures\metal_toolbox_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_toolbox\textures\metal_toolbox_nor_gl_1k.jpg,7ba19a233bcfff9c3d95b62c3a992c8e19cb2d6355c98d6e12bdc756a8af44cf,//../distractors/medium/ph__metal_toolbox/textures/metal_toolbox_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_toolbox\textures\metal_toolbox_nor_gl_1k.jpg,7ba19a233bcfff9c3d95b62c3a992c8e19cb2d6355c98d6e12bdc756a8af44cf,True,1,material:metal_toolbox/Image Texture.002,PLANNED,
metal_trash_can_diff,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_trash_can\textures\metal_trash_can_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_trash_can\textures\metal_trash_can_diff_1k.jpg,920c895a31b1cd2c000123c0592c70c33d46562752987da98070e7e0eebb662f,//../distractors/medium/ph__metal_trash_can/textures/metal_trash_can_diff_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_trash_can\textures\metal_trash_can_diff_1k.jpg,920c895a31b1cd2c000123c0592c70c33d46562752987da98070e7e0eebb662f,True,1,material:metal_trash_can/Image Texture,PLANNED,
metal_trash_can_metal-metal_trash_can_rough,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_trash_can\textures\metal_trash_can_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_trash_can\textures\metal_trash_can_arm_1k.jpg,b23dcdb2ed40c1c6cfbd2d2779c6f075025b7269bfbbed2a70c6bdb7167e47fb,//../distractors/medium/ph__metal_trash_can/textures/metal_trash_can_arm_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_trash_can\textures\metal_trash_can_arm_1k.jpg,b23dcdb2ed40c1c6cfbd2d2779c6f075025b7269bfbbed2a70c6bdb7167e47fb,True,1,material:metal_trash_can/Image Texture.001,PLANNED,
metal_trash_can_nor_gl,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_trash_can\textures\metal_trash_can_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_trash_can\textures\metal_trash_can_nor_gl_1k.jpg,b977f17aa9d4718ffc91a62868b7171b4479578b8cffd1d32001d92552af81a4,//../distractors/medium/ph__metal_trash_can/textures/metal_trash_can_nor_gl_1k.jpg,E:\CODING\GitHub\FoundationPose\data\pallet\distractors\medium\ph__metal_trash_can\textures\metal_trash_can_nor_gl_1k.jpg,b977f17aa9d4718ffc91a62868b7171b4479578b8cffd1d32001d92552af81a4,True,1,material:metal_trash_can/Image Texture.002,PLANNED,
