type,name,users,fake_user,filepath_raw,filepath_absolute,exists,is_absolute,is_relative,is_packed,source_kind,referenced_by,verdict
images,Asphalt_baseColor.png,1,False,//..\background\modular_buildings_industrial_area\textures\Asphalt_baseColor.png,E:\CODING\GitHub\FoundationPose\data\pallet\background\modular_buildings_industrial_area\textures\Asphalt_baseColor.png,True,False,True,True,FILE,material:Asphalt/이미지 텍스처,SAFE_PACKED_OR_GENERATED
images,Asphalt_normal.png,1,False,//..\background\modular_buildings_industrial_area\textures\Asphalt_normal.png,E:\CODING\GitHub\FoundationPose\data\pallet\background\modular_buildings_industrial_area\textures\Asphalt_normal.png,True,False,True,True,FILE,material:Asphalt/이미지 텍스처.001,SAFE_PACKED_OR_GENERATED
images,Barrel_01_explosive_diff,1,False,//..\..\..\..\..\..\AppData\Local\Temp\tmpg7cv8vw7\textures\Barrel_01_explosive_diff_1k.jpg,E:\AppData\Local\Temp\tmpg7cv8vw7\textures\Barrel_01_explosive_diff_1k.jpg,False,False,True,True,FILE,material:Barrel_01/이미지 텍스처,SAFE_PACKED_OR_GENERATED
images,Barrel_01_explosive_metallic-Barrel_01_explosive_roughness,1,False,//..\..\..\..\..\..\AppData\Local\Temp\tmpg7cv8vw7\textures\Barrel_01_explosive_arm_1k.jpg,E:\AppData\Local\Temp\tmpg7cv8vw7\textures\Barrel_01_explosive_arm_1k.jpg,False,False,True,True,FILE,material:Barrel_01/이미지 텍스처.001,SAFE_PACKED_OR_GENERATED
images,Barrel_01_explosive_nor_gl,1,False,//..\..\..\..\..\..\AppData\Local\Temp\tmpg7cv8vw7\textures\Barrel_01_explosive_nor_gl_1k.jpg,E:\AppData\Local\Temp\tmpg7cv8vw7\textures\Barrel_01_explosive_nor_gl_1k.jpg,False,False,True,True,FILE,material:Barrel_01/이미지 텍스처.002,SAFE_PACKED_OR_GENERATED
images,Blue_Metal_baseColor.png,1,False,//..\background\modular_buildings_industrial_area\textures\Blue_Metal_baseColor.png,E:\CODING\GitHub\FoundationPose\data\pallet\background\modular_buildings_industrial_area\textures\Blue_Metal_baseColor.png,True,False,True,True,FILE,material:Blue_Metal/이미지 텍스처,SAFE_PACKED_OR_GENERATED
images,Blue_Metal_normal.png,1,False,//..\background\modular_buildings_industrial_area\textures\Blue_Metal_normal.png,E:\CODING\GitHub\FoundationPose\data\pallet\background\modular_buildings_industrial_area\textures\Blue_Metal_normal.png,True,False,True,True,FILE,material:Blue_Metal/이미지 텍스처.001,SAFE_PACKED_OR_GENERATED
images,Brick_Wall_baseColor.png,1,False,//..\background\modular_buildings_industrial_area\textures\Brick_Wall_baseColor.png,E:\CODING\GitHub\FoundationPose\data\pallet\background\modular_buildings_industrial_area\textures\Brick_Wall_baseColor.png,True,False,True,True,FILE,material:Brick_Wall/이미지 텍스처,SAFE_PACKED_OR_GENERATED
images,Brick_Wall_normal.png,1,False,//..\background\modular_buildings_industrial_area\textures\Brick_Wall_normal.png,E:\CODING\GitHub\FoundationPose\data\pallet\background\modular_buildings_industrial_area\textures\Brick_Wall_normal.png,True,False,True,True,FILE,material:Brick_Wall/이미지 텍스처.001,SAFE_PACKED_OR_GENERATED
images,Carton_baseColor.png,1,False,//..\background\modular_buildings_industrial_area\textures\Carton_baseColor.png,E:\CODING\GitHub\FoundationPose\data\pallet\background\modular_buildings_industrial_area\textures\Carton_baseColor.png,True,False,True,True,FILE,material:Carton/이미지 텍스처,SAFE_PACKED_OR_GENERATED
