idx,frame_id,diagnostic_mode,stage,path,present,decode_ok,decode_error,sha256,content_sha256,width,height,area,all_black,rgb_sha256,within_frame_duplicate_group,cross_frame_duplicate_frame_count,cross_frame_duplicate_class
3,f0003,clean-static,m1,mask\f0003_m1.png,True,True,,851a776747cd5c03e31323376a70fb3826506dc9c07e27b3b48ce56b24d8507c,5dd7ae9a038e554cda3666e5226e93cab2969abf905f3167ba28525abbd2ddff,640,480,41972,False,3a62029fe79aa82794cf51d6d4857af6e8170bcbbbe6b61c56627adb53fb3431,m0+m1+m2+m3+m4 [expected_no_op],,
3,f0003,clean-static,m2,mask\f0003_m2.png,True,True,,3325df556767d021bfc7d3addcb69249fe9cadd87c84f7c32335a1885e8144d5,5dd7ae9a038e554cda3666e5226e93cab2969abf905f3167ba28525abbd2ddff,640,480,41972,False,3a62029fe79aa82794cf51d6d4857af6e8170bcbbbe6b61c56627adb53fb3431,m0+m1+m2+m3+m4 [expected_no_op],,
3,f0003,clean-static,m3,mask\f0003_m3.png,True,True,,751a233d07f190707c6dcfbce9616adf06cd24cfd92920086bee05b43221b286,5dd7ae9a038e554cda3666e5226e93cab2969abf905f3167ba28525abbd2ddff,640,480,41972,False,3a62029fe79aa82794cf51d6d4857af6e8170bcbbbe6b61c56627adb53fb3431,m0+m1+m2+m3+m4 [expected_no_op],,
3,f0003,clean-static,m4,mask\f0003_m4.png,True,True,,4717bb264486e65e6b7931b75d7bd9f2d8d189fabe440f2f884b7f733e955a5d,5dd7ae9a038e554cda3666e5226e93cab2969abf905f3167ba28525abbd2ddff,640,480,41972,False,3a62029fe79aa82794cf51d6d4857af6e8170bcbbbe6b61c56627adb53fb3431,m0+m1+m2+m3+m4 [expected_no_op],,
4,f0004,clean-static,m0,mask\f0004_m0.png,True,True,,8eb296df8a2fd45c05569aa47d390f794701870d08c7164f5f74e6658ff195a5,0de81b2ce2fd1d894448b47ff78f52cd9e4f051c152299608553a791e149ce24,640,480,30,False,f855d16913e7101be830ef63d70888eaa5c78a5f34af1e87c82077432232513a,m0+m1+m2+m3+m4 [expected_no_op],,
4,f0004,clean-static,m1,mask\f0004_m1.png,True,True,,b481f3151898ef307058ca263d957c66d9581854c2e1707eb48966c04cc2e51f,0de81b2ce2fd1d894448b47ff78f52cd9e4f051c152299608553a791e149ce24,640,480,30,False,f855d16913e7101be830ef63d70888eaa5c78a5f34af1e87c82077432232513a,m0+m1+m2+m3+m4 [expected_no_op],,
4,f0004,clean-static,m2,mask\f0004_m2.png,True,True,,b934a0b3918855b293690d466b0d39715e6a86f75082945014e636a60768fad3,0de81b2ce2fd1d894448b47ff78f52cd9e4f051c152299608553a791e149ce24,640,480,30,False,f855d16913e7101be830ef63d70888eaa5c78a5f34af1e87c82077432232513a,m0+m1+m2+m3+m4 [expected_no_op],,
4,f0004,clean-static,m3,mask\f0004_m3.png,True,True,,d456e2e0049bf1347728465b1c2de093140be5729ac97553068cd3eeb730c2b4,0de81b2ce2fd1d894448b47ff78f52cd9e4f051c152299608553a791e149ce24,640,480,30,False,f855d16913e7101be830ef63d70888eaa5c78a5f34af1e87c82077432232513a,m0+m1+m2+m3+m4 [expected_no_op],,
4,f0004,clean-static,m4,mask\f0004_m4.png,True,True,,cc6f155d794d9a3abc3a352500b11028dd62bda77c0573f5fae3f930fe6dcad8,0de81b2ce2fd1d894448b47ff78f52cd9e4f051c152299608553a791e149ce24,640,480,30,False,f855d16913e7101be830ef63d70888eaa5c78a5f34af1e87c82077432232513a,m0+m1+m2+m3+m4 [expected_no_op],,
5,f0005,cargo-only,m0,mask\f0005_m0.png,True,True,,c94d245de83edac90485773c6834a626116a62855d499546e31b0e27f144a333,ed1876b81988fd3344f4cb65c13c5d6a44244e6c9a74a9dd36133248d4f7055e,720,480,24596,False,e6b35b21ec85039b0a9768545ac13e965076da20efa910daf69ef479b25d041e,m0+m1 [expected_no_op],,
5,f0005,cargo-only,m1,mask\f0005_m1.png,True,True,,1d20cb9eed3248893efe48ce7a79652f2c9f5b0394e43e0f98cace25c65b2315,ed1876b81988fd3344f4cb65c13c5d6a44244e6c9a74a9dd36133248d4f7055e,720,480,24596,False,e6b35b21ec85039b0a9768545ac13e965076da20efa910daf69ef479b25d041e,m0+m1 [expected_no_op],,
5,f0005,cargo-only,m2,mask\f0005_m2.png,True,True,,af75171ac9f7addea9c5d87a4294fcb7a427c0a564af308d44b8cc00320098f2,ed2abe684040ae5f919013ee32e2e395bf5c2d6c55f0dcbfbb842a8c200c4ae5,720,480,23825,False,e6b35b21ec85039b0a9768545ac13e965076da20efa910daf69ef479b25d041e,m2+m3+m4 [expected_no_op],,
5,f0005,cargo-only,m3,mask\f0005_m3.png,True,True,,3b61d183e1171df546bc24d0fd865b762ccdceea8373c78cb4c241d33149bf29,ed2abe684040ae5f919013ee32e2e395bf5c2d6c55f0dcbfbb842a8c200c4ae5,720,480,23825,False,e6b35b21ec85039b0a9768545ac13e965076da20efa910daf69ef479b25d041e,m2+m3+m4 [expected_no_op],,
5,f0005,cargo-only,m4,mask\f0005_m4.png,True,True,,d3f9df0d133c3c9060bf474ab4700868d92765f9688c7af065cea0c07a5336ec,ed2abe684040ae5f919013ee32e2e395bf5c2d6c55f0dcbfbb842a8c200c4ae5,720,480,23825,False,e6b35b21ec85039b0a9768545ac13e965076da20efa910daf69ef479b25d041e,m2+m3+m4 [expected_no_op],,
6,f0006,controlled-occlusion,m0,mask\f0006_m0.png,True,True,,e84402c52fe5b5986189a6204e1b028b35a363b514912cea60465eab52d4896b,d409ff45d43522be71649a2fc421be5832962ce522273780fd92819c44cffd47,640,480,14277,False,27a17181922ff34ffcf62317ed7dd0277077036e42cc054a0987627d26af7705,m0+m1+m2+m3 [no_op_placed_but_not_occluding],,
6,f0006,controlled-occlusion,m1,mask\f0006_m1.png,True,True,,7ad991983f1557c16944dc745ba3828157e340f776a9d9cb646648686613fe4f,d409ff45d43522be71649a2fc421be5832962ce522273780fd92819c44cffd47,640,480,14277,False,27a17181922ff34ffcf62317ed7dd0277077036e42cc054a0987627d26af7705,m0+m1+m2+m3 [no_op_placed_but_not_occluding],,
6,f0006,controlled-occlusion,m2,mask\f0006_m2.png,True,True,,e90849e179fddd84e14ef1c5a1ffca9dadb6a2f6cde01f051e893d85dfefdf00,d409ff45d43522be71649a2fc421be5832962ce522273780fd92819c44cffd47,640,480,14277,False,27a17181922ff34ffcf62317ed7dd0277077036e42cc054a0987627d26af7705,m0+m1+m2+m3 [no_op_placed_but_not_occluding],,
6,f0006,controlled-occlusion,m3,mask\f0006_m3.png,True,True,,6648a8b239ac94c31833645e6dee13f7f55eff269d077813fb7a31aaf8ea1d0c,d409ff45d43522be71649a2fc421be5832962ce522273780fd92819c44cffd47,640,480,14277,False,27a17181922ff34ffcf62317ed7dd0277077036e42cc054a0987627d26af7705,m0+m1+m2+m3 [no_op_placed_but_not_occluding],,
6,f0006,controlled-occlusion,m4,mask\f0006_m4.png,True,True,,aa8d110ca4d5b5922dba20e4fdb91e784b0d999f4cb573a7af3c562679af144f,2ae9731418fb9066a836f697a76efb7384cd9b848acd0cabffa216e3d86d47f0,640,480,9725,False,27a17181922ff34ffcf62317ed7dd0277077036e42cc054a0987627d26af7705,,,
