move_id,source,leaf,ref_file,ref_line,ref_category,matched_token,parent,kind,line_text
D1-002,data/pallet/assets/scenes/production/blender_scene/_sandbox_palletobj_production.blend,_sandbox_palletobj_production.blend,config/synthetic/pallet_paths.yaml,22,runtime,data/pallet/assets/scenes/production/blender_scene/_sandbox_palletobj_production.blend,data/pallet/assets/scenes/production/blender_scene,path_current,"""experimental_scene"": ""data/pallet/assets/scenes/production/blender_scene/_sandbox_palletobj_production.blend"","
D1-002,data/pallet/assets/scenes/production/blender_scene/_sandbox_palletobj_production.blend,_sandbox_palletobj_production.blend,scripts/data_prep/blender/run_addon_v1.sh,8,runtime,data/pallet/blender_scene/_sandbox_palletobj_production.blend,data/pallet/blender_scene,path_other,#   blend   = data/pallet/blender_scene/_sandbox_palletobj_production.blend
D1-002,data/pallet/assets/scenes/production/blender_scene/_sandbox_palletobj_production.blend,_sandbox_palletobj_production.blend,scripts/data_prep/blender/run_chunks.sh,17,runtime,CODING/GitHub/FoundationPose/data/pallet/blender_scene/_sandbox_palletobj_production.blend,CODING/GitHub/FoundationPose/data/pallet/blender_scene,path_other,"SCENE=""E:/CODING/GitHub/FoundationPose/data/pallet/blender_scene/_sandbox_palletobj_production.blend"""
D1-002,data/pallet/assets/scenes/production/blender_scene/_sandbox_palletobj_production.blend,_sandbox_palletobj_production.blend,scripts/data_prep/blender/run_chunks_v2.sh,9,runtime,CODING/GitHub/FoundationPose/data/pallet/blender_scene/_sandbox_palletobj_production.blend,CODING/GitHub/FoundationPose/data/pallet/blender_scene,path_other,"SCENE=""E:/CODING/GitHub/FoundationPose/data/pallet/blender_scene/_sandbox_palletobj_production.blend"""
D1-002,data/pallet/assets/scenes/production/blender_scene/_sandbox_palletobj_production.blend,_sandbox_palletobj_production.blend,scripts/data_prep/blender/run_mass_10k.py,4,runtime,_sandbox_palletobj_production.blend,,leaf_only,blender -b _sandbox_palletobj_production.blend --python run_mass_10k.py -- --num_frames 10000 --out <dir> --seed 42
D1-003,data/pallet/assets/scenes/production/blender_scene/_sandbox_parking_lot_check.blend,_sandbox_parking_lot_check.blend,scripts/data_prep/blender/gen_palletobj_v1.py,4,runtime,data/pallet/assets/scenes/production/blender_scene/_sandbox_parking_lot_check.blend,data/pallet/assets/scenes/production/blender_scene,path_current,blender -b data/pallet/assets/scenes/production/blender_scene/_sandbox_parking_lot_check.blend \
D1-003,data/pallet/assets/scenes/production/blender_scene/_sandbox_parking_lot_check.blend,_sandbox_parking_lot_check.blend,scripts/data_prep/blender/gen_palletobj_v1.py,569,runtime,data/pallet/assets/scenes/production/blender_scene/_sandbox_parking_lot_check.blend,data/pallet/assets/scenes/production/blender_scene,path_current,"bpy.ops.wm.save_as_mainfile(filepath=""data/pallet/assets/scenes/production/blender_scene/_sandbox_parking_lot_check.blend"", copy=True)"
D1-009,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.blend,synth_data_scene.blend,config/synthetic/pallet_paths.yaml,20,runtime,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.blend,data/pallet/assets/scenes/production/blender_scene,path_current,"""production_scene_rollback_source"": ""data/pallet/assets/scenes/production/blender_scene/synth_data_scene.blend"","
D1-009,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.blend,synth_data_scene.blend,scripts/data_prep/blender/render_blender_data.py,6,runtime,synth_data_scene.blend,,leaf_only,blender synth_data_scene.blend --background --python render_blender_data.py
D1-009,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.blend,synth_data_scene.blend,scripts/data_prep/blender/_b3_asset_check.py,10,runtime,data/pallet/blender_scene/synth_data_scene.blend,data/pallet/blender_scene,path_other,blender -b data/pallet/blender_scene/synth_data_scene.blend \
D1-009,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.blend,synth_data_scene.blend,scripts/data_prep/blender/_diag_floor_occlusion.py,19,runtime,synth_data_scene.blend,,leaf_only,Run: blender -b synth_data_scene.blend --python _diag_floor_occlusion.py
D1-009,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.blend,synth_data_scene.blend,scripts/data_prep/blender/_g5_reverify.py,14,runtime,data/pallet/blender_scene/synth_data_scene.blend,data/pallet/blender_scene,path_other,blender -b data/pallet/blender_scene/synth_data_scene.blend \
D1-009,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.blend,synth_data_scene.blend,scripts/data_prep/blender/_gen_wood_random_samples.py,6,runtime,data/pallet/blender_scene/synth_data_scene.blend,data/pallet/blender_scene,path_other,blender -b data/pallet/blender_scene/synth_data_scene.blend \
D1-009,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.blend,synth_data_scene.blend,scripts/data_prep/blender/_render_floor_applied14.py,16,runtime,data/pallet/blender_scene/synth_data_scene.blend,data/pallet/blender_scene,path_other,data/pallet/blender_scene/synth_data_scene.blend \
D1-009,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.blend,synth_data_scene.blend,scripts/data_prep/blender/_render_floor_compare.py,14,runtime,data/pallet/blender_scene/synth_data_scene.blend,data/pallet/blender_scene,path_other,data/pallet/blender_scene/synth_data_scene.blend \
D1-009,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.blend,synth_data_scene.blend,scripts/data_prep/blender/_render_floor_fix_test.py,10,runtime,synth_data_scene.blend,,leaf_only,Run: blender -b synth_data_scene.blend --python _render_floor_fix_test.py
D1-009,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.blend,synth_data_scene.blend,scripts/data_prep/blender/_render_floor_uv_compare.py,12,runtime,synth_data_scene.blend,,leaf_only,Run: blender -b synth_data_scene.blend --python _render_floor_uv_compare.py
D1-009,data/pallet/assets/scenes/production/blender_scene/synth_data_scene.blend,synth_data_scene.blend,scripts/data_prep/blender/_render_material_compare.py,8,runtime,data/pallet/blender_scene/synth_data_scene.blend,data/pallet/blender_scene,path_other,data/pallet/blender_scene/synth_data_scene.blend \
