file,line,kind,target,resolved,io_role,exists,verdict
scripts/data_prep/compute_distractor_fill_ratio.py,59,registry_key,distractor_manifest,data/pallet/assets/distractors/library/distractors_manifest.csv,input,True,OK
scripts/data_prep/compute_distractor_fill_ratio.py,58,registry_key,distractor_root,data/pallet/assets/distractors/library,input,True,OK
scripts/data_prep/isaac_sim/debug_pallet_orientation.py,17,registry_key,pallet_model_roots,data/pallet/assets/pallets/models/models_usd,input,True,OK
scripts/data_prep/isaac_sim/debug_pallet_orientation.py,17,registry_key,pallet_model_roots,data/pallet/assets/pallets/source/pallets_v2_add/models,input,True,OK
scripts/data_prep/blender/run_addon_v1.sh,58,registry_key,experimental_scene,data/pallet/assets/scenes/production/blender_scene/_sandbox_palletobj_production.blend,input,True,OK
scripts/data_prep/blender/run_addon_v1.sh,61,literal,data/pallet/,data/pallet/,output,True,OK
scripts/data_prep/blender/run_addon_v1.sh,67,literal,data/pallet/assets/lighting/hdri/library,data/pallet/assets/lighting/hdri/library,input,True,OK
scripts/data_prep/blender/run_addon_v1.sh,68,literal,data/pallet/assets/materials/floor/textures_floor,data/pallet/assets/materials/floor/textures_floor,input,True,OK
scripts/data_prep/blender/run_addon_v1.sh,69,literal,data/pallet/assets/materials/pallet/textures_wood,data/pallet/assets/materials/pallet/textures_wood,input,True,OK
scripts/data_prep/blender/run_addon_v1.sh,39,literal,data/pallet/train_palletobj_addon_v1,data/pallet/train_palletobj_addon_v1,output,False,OK_OUTPUT_CREATED_AT_RUN
scripts/data_prep/blender/run_addon_v1.sh,79,literal,data/pallet/train_palletobj_addon_v2,data/pallet/train_palletobj_addon_v2,output,False,OK_OUTPUT_CREATED_AT_RUN
scripts/data_prep/isaac_sim/generate_all.sh,47,registry_key,hdri_root,data/pallet/assets/lighting/hdri/library,input,True,OK
scripts/data_prep/isaac_sim/generate_all.sh,44,literal,data/pallet/archive/training_data,data/pallet/archive/training_data,input,True,OK
scripts/data_prep/postprocess_v3.py,199,literal,data/pallet/archive/train_palletobj_v3,data/pallet/archive/train_palletobj_v3,input,True,OK
scripts/data_prep/postprocess_v3.py,202,literal,data/pallet/archive/train_palletobj_v3_post_v1,data/pallet/archive/train_palletobj_v3_post_v1,output,True,OK
scripts/data_prep/verify_keypoints.py,123,literal,data/pallet/archive/test_canonical,data/pallet/archive/test_canonical,input,True,OK
scripts/data_prep/visualize_inference.py,9,literal,data/pallet/archive/training_data/val,data/pallet/archive/training_data/val,input,True,OK
scripts/data_prep/visualize_inference.py,11,literal,data/pallet/eval_results/vis,data/pallet/eval_results/vis,output,True,OK
scripts/data_prep/visualize_inference.py,10,literal,data/pallet/reference/real_images/real_data,data/pallet/reference/real_images/real_data,input,True,OK
scripts/data_prep/visualize_inference.py,8,literal,weights,weights,input,True,OK
scripts/data_prep/visualize_inference.py,8,literal,weights/pallet_category/final_net_epoch_0060.pth,weights/pallet_category/final_net_epoch_0060.pth,input,True,OK
scripts/data_prep/visualize_pretrain.py,193,literal,data/pallet/archive/training_data/val/,data/pallet/archive/training_data/val/,input,True,OK
