usable_id,diagnostic_mode,overlay_rel,overlay_w,overlay_h,rgb_w,rgb_h,size_matches_rgb,panel_drawn,legend_drawn,differs_from_rgb,overlay_ok,cargo_visible_pixels,context_visible_pixel_ratio,explicit_occluder_visible_pixels,f_explicit_target,f_explicit_actual_lowres,abs_target_error,runtime_s
0,clean-static,all/f0000_overlay.png,960,540,960,540,True,True,True,True,True,0,0.0,0,0.0,,,20.192924976348877
1,cargo-only,all/f0001_overlay.png,640,480,640,480,True,True,True,True,True,31,0.0,0,0.0,,,21.76597285270691
2,context-rich,all/f0002_overlay.png,640,480,640,480,True,True,True,True,True,0,1.0,0,0.0,,,37.25778269767761
3,controlled-occlusion,all/f0003_overlay.png,640,480,640,480,True,True,True,True,True,258,1.0,861,0.21354745521048626,0.19753086419753085,0.01601659101295541,78.71400356292725
4,context-rich,all/f0004_overlay.png,720,480,720,480,True,True,True,True,True,0,1.0,0,0.0,,,45.96476650238037
5,controlled-occlusion,all/f0005_overlay.png,640,480,640,480,True,True,True,True,True,0,1.0,514,0.10266481543955253,0.1171303074670571,0.014465492027504578,80.45790982246399
6,clean-static,all/f0006_overlay.png,960,540,960,540,True,True,True,True,True,0,0.0,0,0.0,,,20.66853141784668
7,cargo-only,all/f0007_overlay.png,640,480,640,480,True,True,True,True,True,1513,0.0,0,0.0,,,33.012064933776855
8,context-rich,all/f0008_overlay.png,640,480,640,480,True,True,True,True,True,595,1.0,0,0.0,,,46.74213671684265
9,controlled-occlusion,all/f0009_overlay.png,720,480,720,480,True,True,True,True,True,0,1.0,393,0.22224075810306415,0.205607476635514,0.016633281467550137,56.678913593292236
10,clean-static,all/f0010_overlay.png,640,480,640,480,True,True,True,True,True,0,0.0,0,0.0,,,17.029271125793457
11,cargo-only,all/f0011_overlay.png,640,480,640,480,True,True,True,True,True,149,0.0,0,0.0,,,30.88238263130188
12,context-rich,all/f0012_overlay.png,960,540,960,540,True,True,True,True,True,0,1.0,0,0.0,,,115.37116146087646
13,controlled-occlusion,all/f0013_overlay.png,640,480,640,480,True,True,True,True,True,0,1.0,3262,0.11693854473320087,0.07517182130584192,0.041766723427358945,64.95761919021606
14,context-rich,all/f0014_overlay.png,640,480,640,480,True,True,True,True,True,0,1.0,0,0.0,,,36.920459032058716
15,controlled-occlusion,all/f0015_overlay.png,640,480,640,480,True,True,True,True,True,75,1.0,95,0.1286278937836324,0.24793388429752067,0.11930599051388827,78.91286945343018
16,clean-static,all/f0016_overlay.png,640,480,640,480,True,True,True,True,True,0,0.0,0,0.0,,,19.576420307159424
17,cargo-only,all/f0017_overlay.png,720,480,720,480,True,True,True,True,True,26,0.0,0,0.0,,,28.71086835861206
18,context-rich,all/f0018_overlay.png,640,480,640,480,True,True,True,True,True,0,1.0,0,0.0,,,87.4985523223877
19,controlled-occlusion,all/f0019_overlay.png,640,480,640,480,True,True,True,True,True,0,1.0,1035,0.3449671565688234,0.30303030303030304,0.041936853538520336,48.976439476013184
