idx,stem,rendered_both,reject_reason_a,reject_reason_b,framespec_sha_a,framespec_sha_b,framespec_match,plan_sha_a,plan_sha_b,plan_match,label_norm_sha_a,label_norm_sha_b,label_match,rgb_pixel_sha_a,rgb_pixel_sha_b,rgb_match,rgb_filebytes_sha_a,rgb_filebytes_sha_b,rgb_filebytes_match,record_norm_sha_a,record_norm_sha_b,record_match,m0_pixel_sha_a,m0_pixel_sha_b,m0_match,m0_filebytes_match,m1_pixel_sha_a,m1_pixel_sha_b,m1_match,m1_filebytes_match,m2_pixel_sha_a,m2_pixel_sha_b,m2_match,m2_filebytes_match,m3_pixel_sha_a,m3_pixel_sha_b,m3_match,m3_filebytes_match,m4_pixel_sha_a,m4_pixel_sha_b,m4_match,m4_filebytes_match,mask_match_all,mask_filebytes_match_all
0,f0000,True,accepted,accepted,7738cab03c5b659075a28dc78424a42fd9f5fe4002c70408e1aefeccd6668f34,7738cab03c5b659075a28dc78424a42fd9f5fe4002c70408e1aefeccd6668f34,True,0ae482ba6c8c9017a846d74e1f503c9599dea8f353ef1cfe1d27e872cf705d0c,0ae482ba6c8c9017a846d74e1f503c9599dea8f353ef1cfe1d27e872cf705d0c,True,908618c86e2b960719f78468b43a5c036d18099ef294c71f5d78eb4399ffc982,908618c86e2b960719f78468b43a5c036d18099ef294c71f5d78eb4399ffc982,True,a7d7b7ee0a9675604db66da06fe552db56f51df032cbb75bde58e57a8ecd6392,a7d7b7ee0a9675604db66da06fe552db56f51df032cbb75bde58e57a8ecd6392,True,a56bde39ff270c07f0154561c43fed060f8645bd3164bbcea2dafbea4d8cbefb,a56bde39ff270c07f0154561c43fed060f8645bd3164bbcea2dafbea4d8cbefb,True,b17469bed9eaf377b0657f3786d186398a634afcc291a65b72ace79afe5f3845,b17469bed9eaf377b0657f3786d186398a634afcc291a65b72ace79afe5f3845,True,2a564aa805d704eff42fc3bb08886ee3a8740e32f332b534a0eec52a8632c81d,2a564aa805d704eff42fc3bb08886ee3a8740e32f332b534a0eec52a8632c81d,True,False,2a564aa805d704eff42fc3bb08886ee3a8740e32f332b534a0eec52a8632c81d,2a564aa805d704eff42fc3bb08886ee3a8740e32f332b534a0eec52a8632c81d,True,False,2a564aa805d704eff42fc3bb08886ee3a8740e32f332b534a0eec52a8632c81d,2a564aa805d704eff42fc3bb08886ee3a8740e32f332b534a0eec52a8632c81d,True,False,2a564aa805d704eff42fc3bb08886ee3a8740e32f332b534a0eec52a8632c81d,2a564aa805d704eff42fc3bb08886ee3a8740e32f332b534a0eec52a8632c81d,True,False,2a564aa805d704eff42fc3bb08886ee3a8740e32f332b534a0eec52a8632c81d,2a564aa805d704eff42fc3bb08886ee3a8740e32f332b534a0eec52a8632c81d,True,False,True,False
1,f0001,True,accepted,accepted,8f71f8d6af0ef08325b7b331d2b10e564eb40b1abb380b0ee78a7299880369a6,8f71f8d6af0ef08325b7b331d2b10e564eb40b1abb380b0ee78a7299880369a6,True,af344826654d578b055e182ac5e0cb9b5d8910b6f3973a21c4bb4004183c2503,af344826654d578b055e182ac5e0cb9b5d8910b6f3973a21c4bb4004183c2503,True,4a26676840d072801785848b7cfb00758ae712552642c2340322facd1888ef39,4a26676840d072801785848b7cfb00758ae712552642c2340322facd1888ef39,True,efb4075518eeed1dd9fb8073e60282aa3abdd606a9c5587446ee710413f0964b,efb4075518eeed1dd9fb8073e60282aa3abdd606a9c5587446ee710413f0964b,True,3dc3e99832ff9209a204326011c2762f777c523351fe1595100b402310be9094,3dc3e99832ff9209a204326011c2762f777c523351fe1595100b402310be9094,True,b9426cc34c63422e0017dad39b72ebdcb2bee7a2673232125dcfed560fd43c26,b9426cc34c63422e0017dad39b72ebdcb2bee7a2673232125dcfed560fd43c26,True,aea098a121e31a3b0272d926da8bb86cc7ef80d36881bd14e32f1302782b46d4,aea098a121e31a3b0272d926da8bb86cc7ef80d36881bd14e32f1302782b46d4,True,False,aea098a121e31a3b0272d926da8bb86cc7ef80d36881bd14e32f1302782b46d4,aea098a121e31a3b0272d926da8bb86cc7ef80d36881bd14e32f1302782b46d4,True,False,aea098a121e31a3b0272d926da8bb86cc7ef80d36881bd14e32f1302782b46d4,aea098a121e31a3b0272d926da8bb86cc7ef80d36881bd14e32f1302782b46d4,True,False,aea098a121e31a3b0272d926da8bb86cc7ef80d36881bd14e32f1302782b46d4,aea098a121e31a3b0272d926da8bb86cc7ef80d36881bd14e32f1302782b46d4,True,False,aea098a121e31a3b0272d926da8bb86cc7ef80d36881bd14e32f1302782b46d4,aea098a121e31a3b0272d926da8bb86cc7ef80d36881bd14e32f1302782b46d4,True,False,True,False
2,f0002,True,accepted,accepted,3bd09ec4461e3506d6c54166669851ae0c112f97526ec09741e27b6b478f35e7,3bd09ec4461e3506d6c54166669851ae0c112f97526ec09741e27b6b478f35e7,True,4b07a06d6a8dabfc4ff33cc0e75da19064767d0f553100d74c9d772aceb56aaa,4b07a06d6a8dabfc4ff33cc0e75da19064767d0f553100d74c9d772aceb56aaa,True,a4d07754ecaa9b5ec0108611fb217bb234205fdec7a817c867592d122456d31b,a4d07754ecaa9b5ec0108611fb217bb234205fdec7a817c867592d122456d31b,True,d17d80a0ab5081d6fcdd41b4204422e2c0d1572ac0542d01467f516763734bd3,d17d80a0ab5081d6fcdd41b4204422e2c0d1572ac0542d01467f516763734bd3,True,0277297579c2a0f00350996b8f8c1356bdadead73b84c66979abc95c2714f1a5,0277297579c2a0f00350996b8f8c1356bdadead73b84c66979abc95c2714f1a5,True,653538cfb6ec64bd79750b77d605406974d102870eaf5caf02333b5b148a8e7a,653538cfb6ec64bd79750b77d605406974d102870eaf5caf02333b5b148a8e7a,True,a0e1ed35c80e86940644913e45b48fc49f21061888b7f825aefe36c91c697e43,a0e1ed35c80e86940644913e45b48fc49f21061888b7f825aefe36c91c697e43,True,False,a0e1ed35c80e86940644913e45b48fc49f21061888b7f825aefe36c91c697e43,a0e1ed35c80e86940644913e45b48fc49f21061888b7f825aefe36c91c697e43,True,False,a0e1ed35c80e86940644913e45b48fc49f21061888b7f825aefe36c91c697e43,a0e1ed35c80e86940644913e45b48fc49f21061888b7f825aefe36c91c697e43,True,False,a0e1ed35c80e86940644913e45b48fc49f21061888b7f825aefe36c91c697e43,a0e1ed35c80e86940644913e45b48fc49f21061888b7f825aefe36c91c697e43,True,False,a0e1ed35c80e86940644913e45b48fc49f21061888b7f825aefe36c91c697e43,a0e1ed35c80e86940644913e45b48fc49f21061888b7f825aefe36c91c697e43,True,False,True,False
3,f0003,True,accepted,accepted,970d1bbe13ac763009ee637bd0f4323937ff5a26c64d09e7015c6c572777e93d,970d1bbe13ac763009ee637bd0f4323937ff5a26c64d09e7015c6c572777e93d,True,4f6e61c23f6c3271b8bbd892c9b1dcbf28848d947d774b54bd7a71e14288a0f5,4f6e61c23f6c3271b8bbd892c9b1dcbf28848d947d774b54bd7a71e14288a0f5,True,8a115da863c7659f2a505003b851155d8c938dbd16386e62df9012c6cdd8f05e,8a115da863c7659f2a505003b851155d8c938dbd16386e62df9012c6cdd8f05e,True,60cc05f13237614644e118b8a2eb58997ae8a86c1a74d7fe2e8d939d3da9b06f,60cc05f13237614644e118b8a2eb58997ae8a86c1a74d7fe2e8d939d3da9b06f,True,2c170e7242d51c87c187da86b8b2f8fc9e7f27231a750af0f08d7ab235214ec0,2c170e7242d51c87c187da86b8b2f8fc9e7f27231a750af0f08d7ab235214ec0,True,f6c72bfb17170352054ee3dc0cbb262b297d175f2a3b9ff0ebec0f0e9dbc196b,f6c72bfb17170352054ee3dc0cbb262b297d175f2a3b9ff0ebec0f0e9dbc196b,True,2fa96e1053939426de4d59d45b773bb9e01442c65ec1db6ae4a446b900c6e0dd,2fa96e1053939426de4d59d45b773bb9e01442c65ec1db6ae4a446b900c6e0dd,True,False,2fa96e1053939426de4d59d45b773bb9e01442c65ec1db6ae4a446b900c6e0dd,2fa96e1053939426de4d59d45b773bb9e01442c65ec1db6ae4a446b900c6e0dd,True,False,2fa96e1053939426de4d59d45b773bb9e01442c65ec1db6ae4a446b900c6e0dd,2fa96e1053939426de4d59d45b773bb9e01442c65ec1db6ae4a446b900c6e0dd,True,False,2fa96e1053939426de4d59d45b773bb9e01442c65ec1db6ae4a446b900c6e0dd,2fa96e1053939426de4d59d45b773bb9e01442c65ec1db6ae4a446b900c6e0dd,True,False,2fa96e1053939426de4d59d45b773bb9e01442c65ec1db6ae4a446b900c6e0dd,2fa96e1053939426de4d59d45b773bb9e01442c65ec1db6ae4a446b900c6e0dd,True,False,True,False
4,f0004,True,accepted,accepted,769ee52bc97268b7e0aed2122e7d9001f7e7aefdd2fc0c328a94af5e13bbd9d0,769ee52bc97268b7e0aed2122e7d9001f7e7aefdd2fc0c328a94af5e13bbd9d0,True,b2c7749fb8879d75eea7103b0d890125d2591cc15daadd05696e75003b38cd28,b2c7749fb8879d75eea7103b0d890125d2591cc15daadd05696e75003b38cd28,True,7a60103cfd9e4ecea41535e7ee828c89b6dc37e41d474cd11134938a255cfd36,7a60103cfd9e4ecea41535e7ee828c89b6dc37e41d474cd11134938a255cfd36,True,e30cfa12b8be14c765bad5ffc165102b596c87e0f9a7e454f08bcfcf0ad3813c,e30cfa12b8be14c765bad5ffc165102b596c87e0f9a7e454f08bcfcf0ad3813c,True,1ad254f2aa2961be3fa388a913204dca3658de9de6659871a8c505a3f12edae8,1ad254f2aa2961be3fa388a913204dca3658de9de6659871a8c505a3f12edae8,True,ebaade7c076920b5861e796d1d68209fc2ef542955826056d3a3f15f5a93a24c,ebaade7c076920b5861e796d1d68209fc2ef542955826056d3a3f15f5a93a24c,True,5ce96924ac8de59108c02971d0eca80358cc0dd9ad9a1e807412149154b37fd8,5ce96924ac8de59108c02971d0eca80358cc0dd9ad9a1e807412149154b37fd8,True,False,5ce96924ac8de59108c02971d0eca80358cc0dd9ad9a1e807412149154b37fd8,5ce96924ac8de59108c02971d0eca80358cc0dd9ad9a1e807412149154b37fd8,True,False,5ce96924ac8de59108c02971d0eca80358cc0dd9ad9a1e807412149154b37fd8,5ce96924ac8de59108c02971d0eca80358cc0dd9ad9a1e807412149154b37fd8,True,False,5ce96924ac8de59108c02971d0eca80358cc0dd9ad9a1e807412149154b37fd8,5ce96924ac8de59108c02971d0eca80358cc0dd9ad9a1e807412149154b37fd8,True,False,5ce96924ac8de59108c02971d0eca80358cc0dd9ad9a1e807412149154b37fd8,5ce96924ac8de59108c02971d0eca80358cc0dd9ad9a1e807412149154b37fd8,True,False,True,False
5,f0005,True,accepted,accepted,7d9e4270bb85538ddcde589eecfe52ab70eadedd4bcf2282171c5bd9a863a2cc,7d9e4270bb85538ddcde589eecfe52ab70eadedd4bcf2282171c5bd9a863a2cc,True,0ac6c4f8cce9909f5c35ace99a909c3e43a9c9e654c64fea4567df46c7eb5cc1,0ac6c4f8cce9909f5c35ace99a909c3e43a9c9e654c64fea4567df46c7eb5cc1,True,7ed5885141326695e9af2530b2d43fc9ac10b8879b6f7abf2379b854bba188d7,7ed5885141326695e9af2530b2d43fc9ac10b8879b6f7abf2379b854bba188d7,True,d0510d921ec6b0315cf0924fe0072425ca6e926bad4a4e35fff38669a5351914,d0510d921ec6b0315cf0924fe0072425ca6e926bad4a4e35fff38669a5351914,True,b7f1c808b97fee975fa7e45c2c0efa9c2b136052e1b674a28893d3938d4bcea3,b7f1c808b97fee975fa7e45c2c0efa9c2b136052e1b674a28893d3938d4bcea3,True,220df8c797a3ca9477607a09625b31a596522f792690feb0e3e635c7f790af72,220df8c797a3ca9477607a09625b31a596522f792690feb0e3e635c7f790af72,True,6296530947e15cb8242b0225818c76a58198fa62ebe4f340ff7afc8a87ad08e0,6296530947e15cb8242b0225818c76a58198fa62ebe4f340ff7afc8a87ad08e0,True,False,6296530947e15cb8242b0225818c76a58198fa62ebe4f340ff7afc8a87ad08e0,6296530947e15cb8242b0225818c76a58198fa62ebe4f340ff7afc8a87ad08e0,True,False,9ba57efd0a6fcfc51b7292c0bbbaacb6da267d6701db771a03c3b5b2c7df30a3,9ba57efd0a6fcfc51b7292c0bbbaacb6da267d6701db771a03c3b5b2c7df30a3,True,False,9ba57efd0a6fcfc51b7292c0bbbaacb6da267d6701db771a03c3b5b2c7df30a3,9ba57efd0a6fcfc51b7292c0bbbaacb6da267d6701db771a03c3b5b2c7df30a3,True,False,9ba57efd0a6fcfc51b7292c0bbbaacb6da267d6701db771a03c3b5b2c7df30a3,9ba57efd0a6fcfc51b7292c0bbbaacb6da267d6701db771a03c3b5b2c7df30a3,True,False,True,False
6,f0006,True,accepted,accepted,e15202a787929cc6df47cde5bf43909e2478eba4834dcd7584b087ef319e0737,e15202a787929cc6df47cde5bf43909e2478eba4834dcd7584b087ef319e0737,True,79c1f641f9fe45f6c03eda4b5ea94c72a7b8496774ea3a4f0280782cb66140ab,79c1f641f9fe45f6c03eda4b5ea94c72a7b8496774ea3a4f0280782cb66140ab,True,9c8e1f24ed7f3528e21a702394d6246e2d00f24732916f2f8f200fe0c2d50aea,9c8e1f24ed7f3528e21a702394d6246e2d00f24732916f2f8f200fe0c2d50aea,True,30e1c63616d43f17fdd92d871bfd183f40570fe42b3a9654de7db7d0f20ce40b,30e1c63616d43f17fdd92d871bfd183f40570fe42b3a9654de7db7d0f20ce40b,True,dcd3b4ee7693590e6f6717ee6b123553f72ba68404005ddd434298652f373ce3,dcd3b4ee7693590e6f6717ee6b123553f72ba68404005ddd434298652f373ce3,True,1941718f65aa72a94264b73f3c41953f3b1bbed8dec0739ef129bd403ef520b8,1941718f65aa72a94264b73f3c41953f3b1bbed8dec0739ef129bd403ef520b8,True,d178f0805f55089aaa2e76212f191753bd06f077579b3d9a9063a8cd51a315fb,d178f0805f55089aaa2e76212f191753bd06f077579b3d9a9063a8cd51a315fb,True,False,d178f0805f55089aaa2e76212f191753bd06f077579b3d9a9063a8cd51a315fb,d178f0805f55089aaa2e76212f191753bd06f077579b3d9a9063a8cd51a315fb,True,False,22e083eda7b0b3a9b18724426b265cab12be3f9babe19af29612f0e404884b34,22e083eda7b0b3a9b18724426b265cab12be3f9babe19af29612f0e404884b34,True,False,22e083eda7b0b3a9b18724426b265cab12be3f9babe19af29612f0e404884b34,22e083eda7b0b3a9b18724426b265cab12be3f9babe19af29612f0e404884b34,True,False,22e083eda7b0b3a9b18724426b265cab12be3f9babe19af29612f0e404884b34,22e083eda7b0b3a9b18724426b265cab12be3f9babe19af29612f0e404884b34,True,False,True,False
7,f0007,True,accepted,accepted,0bc22faedef310bb1de01108e44355397729a28b24ea2efeeec14ae8cf070af7,0bc22faedef310bb1de01108e44355397729a28b24ea2efeeec14ae8cf070af7,True,681b944326e786201cd78044f61d7adaa8c834a839d756ee547801d23b92e231,681b944326e786201cd78044f61d7adaa8c834a839d756ee547801d23b92e231,True,4f4963ad4be697f555561d4ba2363d39cf06a484f8b1bf1bbb92b771b22e84d6,4f4963ad4be697f555561d4ba2363d39cf06a484f8b1bf1bbb92b771b22e84d6,True,5998639f50bacfa81e00965f9039e0e30d836846b45a980e71977d73d0772b1b,5998639f50bacfa81e00965f9039e0e30d836846b45a980e71977d73d0772b1b,True,b25fedcb0d87e5db0aeff86cd8cb74f027d82b9482141b59c5e367eac397bbee,b25fedcb0d87e5db0aeff86cd8cb74f027d82b9482141b59c5e367eac397bbee,True,2778d308dacc50cd470a5d624bcb1ba90932c85c6551156da7a41d673f81b7fc,2778d308dacc50cd470a5d624bcb1ba90932c85c6551156da7a41d673f81b7fc,True,c7c5ea7d8204005a7be525d9e9449c1f5a81195227cb1d4dc7f8b424129e08a6,c7c5ea7d8204005a7be525d9e9449c1f5a81195227cb1d4dc7f8b424129e08a6,True,False,c7c5ea7d8204005a7be525d9e9449c1f5a81195227cb1d4dc7f8b424129e08a6,c7c5ea7d8204005a7be525d9e9449c1f5a81195227cb1d4dc7f8b424129e08a6,True,False,c7c5ea7d8204005a7be525d9e9449c1f5a81195227cb1d4dc7f8b424129e08a6,c7c5ea7d8204005a7be525d9e9449c1f5a81195227cb1d4dc7f8b424129e08a6,True,False,c7c5ea7d8204005a7be525d9e9449c1f5a81195227cb1d4dc7f8b424129e08a6,c7c5ea7d8204005a7be525d9e9449c1f5a81195227cb1d4dc7f8b424129e08a6,True,False,c7c5ea7d8204005a7be525d9e9449c1f5a81195227cb1d4dc7f8b424129e08a6,c7c5ea7d8204005a7be525d9e9449c1f5a81195227cb1d4dc7f8b424129e08a6,True,False,True,False
8,f0008,True,accepted,accepted,edd1f64676199fb77934a5150e603a5a78abe58f1f686d65b94018c28bcc2fbd,edd1f64676199fb77934a5150e603a5a78abe58f1f686d65b94018c28bcc2fbd,True,fa39836ddf1c81febc73371b3a6db59ed1608d893d8461992894cd17c62dcf18,fa39836ddf1c81febc73371b3a6db59ed1608d893d8461992894cd17c62dcf18,True,d6d1c4b3a56aec3ff89846891bf630666694b09fd4c49d33680aed04269b0cea,d6d1c4b3a56aec3ff89846891bf630666694b09fd4c49d33680aed04269b0cea,True,dee2ec48ce7cc001c872b7356ac696280dc1169a0f1e306da00e35fd157fc0dd,dee2ec48ce7cc001c872b7356ac696280dc1169a0f1e306da00e35fd157fc0dd,True,dd190f42369fb8a5ec3e6c6edd8930c065aab5b5e69adaf04ddec8396d451920,dd190f42369fb8a5ec3e6c6edd8930c065aab5b5e69adaf04ddec8396d451920,True,40c64977f11f24a634914968b97b551c32c8ae1eba6ecfa15bac5b7cb5b16048,40c64977f11f24a634914968b97b551c32c8ae1eba6ecfa15bac5b7cb5b16048,True,69c6598761e63e2b542585bdea5d0e59e4174806c9d82d4fccaade96ba7fb0c6,69c6598761e63e2b542585bdea5d0e59e4174806c9d82d4fccaade96ba7fb0c6,True,False,69c6598761e63e2b542585bdea5d0e59e4174806c9d82d4fccaade96ba7fb0c6,69c6598761e63e2b542585bdea5d0e59e4174806c9d82d4fccaade96ba7fb0c6,True,False,69c6598761e63e2b542585bdea5d0e59e4174806c9d82d4fccaade96ba7fb0c6,69c6598761e63e2b542585bdea5d0e59e4174806c9d82d4fccaade96ba7fb0c6,True,False,69c6598761e63e2b542585bdea5d0e59e4174806c9d82d4fccaade96ba7fb0c6,69c6598761e63e2b542585bdea5d0e59e4174806c9d82d4fccaade96ba7fb0c6,True,False,a82edb37059a3f5a45724928e7dff118087a2cb5a477a9fd8ad791da82bb5dea,a82edb37059a3f5a45724928e7dff118087a2cb5a477a9fd8ad791da82bb5dea,True,False,True,False
9,f0009,True,accepted,accepted,b44e3f2a0700f9831fca829dc7ffc0a012c389e4fe8c7399cf2e44ce5d4da82c,b44e3f2a0700f9831fca829dc7ffc0a012c389e4fe8c7399cf2e44ce5d4da82c,True,5eb36694c3eec07da9870e4fded4cfffa9a3037fbbe98054c04d0b2743f23650,5eb36694c3eec07da9870e4fded4cfffa9a3037fbbe98054c04d0b2743f23650,True,c77270f33e054f65f889cf0a77e8235fbfa0f1892025a33907505263c38dec8a,c77270f33e054f65f889cf0a77e8235fbfa0f1892025a33907505263c38dec8a,True,72a4791b84422b5d703a0c9edef4654e70285226cdf9e4f2ac75aeb918226d9c,72a4791b84422b5d703a0c9edef4654e70285226cdf9e4f2ac75aeb918226d9c,True,57c0b01375a126f4e8a40c36a9c4bdb1af4e9ff457c246a8c49e458a855168a3,57c0b01375a126f4e8a40c36a9c4bdb1af4e9ff457c246a8c49e458a855168a3,True,6ff34f1cf510f5150dd67fbb20e20f1b438e4ec5fa406bb6e943640f20f6b2a5,6ff34f1cf510f5150dd67fbb20e20f1b438e4ec5fa406bb6e943640f20f6b2a5,True,51710b1796ebb85eaac5094cf41356feea00c92a427541c52a74cc342980a317,51710b1796ebb85eaac5094cf41356feea00c92a427541c52a74cc342980a317,True,False,51710b1796ebb85eaac5094cf41356feea00c92a427541c52a74cc342980a317,51710b1796ebb85eaac5094cf41356feea00c92a427541c52a74cc342980a317,True,False,543234ed014ca02263d67fd9679f2c484df77aa15a03d5ca97bd5ccb683b6c88,543234ed014ca02263d67fd9679f2c484df77aa15a03d5ca97bd5ccb683b6c88,True,False,543234ed014ca02263d67fd9679f2c484df77aa15a03d5ca97bd5ccb683b6c88,543234ed014ca02263d67fd9679f2c484df77aa15a03d5ca97bd5ccb683b6c88,True,False,543234ed014ca02263d67fd9679f2c484df77aa15a03d5ca97bd5ccb683b6c88,543234ed014ca02263d67fd9679f2c484df77aa15a03d5ca97bd5ccb683b6c88,True,False,True,False
