usable_id,diagnostic_mode,overlay_rel,cargo_visible_pixels,context_visible_pixel_ratio,explicit_occluder_visible_pixels,f_explicit_target,f_explicit_actual,abs_target_error,runtime_s
70,clean-static,all/f0070_overlay.png,0,0.0,0,0.0,,,5.11918568611145
71,cargo-only,all/f0071_overlay.png,29,0.0,0,0.0,,,9.146003007888794
72,context-rich,all/f0072_overlay.png,901,1.0,0,0.0,,,20.34869933128357
73,controlled-occlusion,all/f0073_overlay.png,259,1.0,895,0.14832489796501136,,,31.100996017456055
74,context-rich,all/f0074_overlay.png,0,1.0,0,0.0,,,40.96791958808899
75,controlled-occlusion,all/f0075_overlay.png,0,1.0,614,0.3891861039916183,,,53.78386306762695
76,clean-static,all/f0076_overlay.png,0,0.0,0,0.0,,,5.396332263946533
77,cargo-only,all/f0077_overlay.png,344,0.0,0,0.0,,,10.468349933624268
78,context-rich,all/f0078_overlay.png,0,1.0,0,0.0,,,16.104641914367676
79,controlled-occlusion,all/f0079_overlay.png,0,1.0,514,0.18002557219038512,,,31.886475324630737
80,clean-static,all/f0080_overlay.png,0,0.0,0,0.0,,,5.414189100265503
81,cargo-only,all/f0081_overlay.png,173,0.0,0,0.0,,,14.303483486175537
82,context-rich,all/f0082_overlay.png,0,1.0,0,0.0,,,43.38288593292236
83,controlled-occlusion,all/f0083_overlay.png,0,0.0,3422,0.4108783468383854,,,58.78199124336243
84,context-rich,all/f0084_overlay.png,0,1.0,0,0.0,,,13.509897232055664
85,controlled-occlusion,all/f0085_overlay.png,0,1.0,512,0.3743046620576926,,,45.04691958427429
86,clean-static,all/f0086_overlay.png,0,0.0,0,0.0,,,5.1283652782440186
87,cargo-only,all/f0087_overlay.png,155,0.0,0,0.0,,,8.647484540939331
88,context-rich,all/f0088_overlay.png,136,1.0,0,0.0,,,16.10608696937561
89,controlled-occlusion,all/f0089_overlay.png,0,1.0,829,0.326120944012687,,,94.5425968170166
90,clean-static,all/f0090_overlay.png,0,0.0,0,0.0,,,5.133692502975464
91,cargo-only,all/f0091_overlay.png,530,0.0,0,0.0,,,10.057368993759155
92,context-rich,all/f0092_overlay.png,30,1.0,0,0.0,,,27.666950702667236
93,controlled-occlusion,all/f0093_overlay.png,29,1.0,229,0.3255214460816687,,,277.4955143928528
94,context-rich,all/f0094_overlay.png,0,1.0,0,0.0,,,14.892171859741211
95,controlled-occlusion,all/f0095_overlay.png,0,1.0,266,0.18618485148677552,,,36.6462299823761
96,clean-static,all/f0096_overlay.png,0,0.0,0,0.0,,,6.3101582527160645
97,cargo-only,all/f0097_overlay.png,164,0.0,0,0.0,,,12.079325199127197
98,context-rich,all/f0098_overlay.png,0,1.0,0,0.0,,,17.789541959762573
99,controlled-occlusion,all/f0099_overlay.png,0,0.0,2417,0.1919633793643682,,,42.92759108543396
