usable_id,diagnostic_mode,overlay_rel,overlay_w,overlay_h,rgb_w,rgb_h,size_matches_rgb,panel_drawn,legend_drawn,differs_from_rgb,overlay_ok,cargo_visible_pixels,context_visible_pixel_ratio,explicit_occluder_visible_pixels,f_explicit_target,f_explicit_actual_lowres,abs_target_error,runtime_s
0,clean-static,all/f0000_overlay.png,640,480,640,480,True,True,True,True,True,0,0.0,0,0.0,,,8.018558979034424
1,cargo-only,all/f0001_overlay.png,640,480,640,480,True,True,True,True,True,89,0.0,0,0.0,,,14.948360204696655
2,context-rich,all/f0002_overlay.png,960,540,960,540,True,True,True,True,True,459,1.0,0,0.0,,,33.86886477470398
3,controlled-occlusion,all/f0003_overlay.png,640,480,640,480,True,True,True,True,True,602,0.6666666666666666,8058,0.23841597266951697,0.25292656970556937,0.014510597036052397,49.28431439399719
4,context-rich,all/f0004_overlay.png,640,480,640,480,True,True,True,True,True,0,1.0,0,0.0,,,16.50839376449585
5,controlled-occlusion,all/f0005_overlay.png,640,480,640,480,True,True,True,True,True,0,0.6666666666666666,4874,0.19729726117221708,0.2051792828685259,0.007882021696308833,53.29394793510437
6,clean-static,all/f0006_overlay.png,960,540,960,540,True,True,True,True,True,0,0.0,0,0.0,,,14.372748851776123
7,cargo-only,all/f0007_overlay.png,640,480,640,480,True,True,True,True,True,791,0.0,0,0.0,,,9.73373007774353
8,context-rich,all/f0008_overlay.png,560,560,560,560,True,True,True,True,True,0,1.0,0,0.0,,,20.77377724647522
9,controlled-occlusion,all/f0009_overlay.png,960,540,960,540,True,True,True,True,True,1056,1.0,10126,0.15380072366715544,0.21137911986742772,0.057578396200272275,71.90200233459473
10,clean-static,all/f0010_overlay.png,640,480,640,480,True,True,True,True,True,0,0.0,0,0.0,,,5.473246335983276
11,cargo-only,all/f0011_overlay.png,720,480,720,480,True,True,True,True,True,358,0.0,0,0.0,,,13.920304298400879
12,context-rich,all/f0012_overlay.png,640,480,640,480,True,True,True,True,True,567,1.0,0,0.0,,,35.745872259140015
13,controlled-occlusion,all/f0013_overlay.png,640,480,640,480,True,True,True,True,True,0,0.6666666666666666,265,0.23460343283020751,0.23214285714285715,0.0024605756873503637,55.38606238365173
14,context-rich,all/f0014_overlay.png,720,480,720,480,True,True,True,True,True,0,1.0,0,0.0,,,12.56737470626831
15,controlled-occlusion,all/f0015_overlay.png,640,480,640,480,True,True,True,True,True,131,1.0,1671,0.13476290926564738,0.096,0.03876290926564738,36.14314293861389
16,clean-static,all/f0016_overlay.png,640,480,640,480,True,True,True,True,True,0,0.0,0,0.0,,,5.015846252441406
17,cargo-only,all/f0017_overlay.png,560,560,560,560,True,True,True,True,True,1021,0.0,0,0.0,,,8.917285919189453
18,context-rich,all/f0018_overlay.png,960,540,960,540,True,True,True,True,True,1258,1.0,0,0.0,,,32.85408163070679
19,controlled-occlusion,all/f0019_overlay.png,640,480,640,480,True,True,True,True,True,0,1.0,603,0.20882409673037297,0.2254335260115607,0.01660942928118772,61.498172998428345
