15, 2465, 17.46
11, 2465, 17.51
12, 2465, 17.25
13, 2465, 17.41
16, 2465, 17.41
18, 3491, 19.76
99, 6674, 62.19
79, 7119, 102.05
2, 5723, 99.01
3, 4088, 48.63
5, 2465, 41.33
7, 2465, 26.31
71, 2863, 36.31
33, 3767, 50.95
14, 3309, 53.39
59, 4233, 46.25
20, 4603, 57.36
26, 3015, 51.26
33, 3451, 47.69
47, 5439, 64.31
13, 3515, 53.08
13, 3417, 46.98
22, 3684, 37.69
40, 4396, 41.38
50, 3364, 49.56
73, 2950, 53.16
45, 2906, 53.28
40, 3562, 51.79
22, 4545, 38.73
25, 7512, 42.93
46, 6709, 81.02
17, 5600, 54.08
15, 3417, 47.60
7, 3797, 37.81
92, 4506, 66.13
28, 4462, 64.87
20, 3622, 50.49
3, 2690, 38.78
22, 3135, 37.63
24, 3713, 38.99
31, 2935, 48.25
30, 4545, 53.45
19, 4856, 52.99
23, 3628, 52.26
41, 4042, 52.30
5, 4516, 75.52
16, 3385, 50.51
5, 3821, 43.06
2, 4162, 76.66
7, 4462, 48.65
6, 2784, 44.52
11, 3710, 35.91
48, 3983, 37.62
27, 5920, 45.02
39, 4666, 46.28
32, 5839, 48.95
18, 6435, 71.75
6, 3878, 51.06
5, 3174, 40.83
18, 4579, 37.66
26, 3441, 38.12
10, 3761, 37.89
40, 4796, 45.43
32, 4419, 52.10
33, 3281, 53.18
23, 2854, 51.26
16, 3801, 38.91
10, 3757, 42.97
21, 3608, 51.51
23, 3305, 49.04
23, 3927, 38.53
28, 6243, 44.72
29, 4807, 52.67
17, 2980, 52.78
14, 3429, 45.49
46, 3409, 52.09
31, 2535, 48.47
36, 3612, 36.13
34, 2668, 47.07
27, 4209, 51.23
33, 3011, 50.81
37, 5745, 54.27
48, 3514, 54.72
5, 4106, 52.85
29, 3281, 51.73
15, 3913, 40.15
24, 3199, 48.36
17, 4830, 51.84
11, 5901, 42.24
28, 3513, 40.85
38, 4019, 42.40
29, 3431, 39.14
21, 3611, 37.97
2, 3060, 38.73
27, 3405, 42.58
41, 3359, 52.16
53, 3035, 47.94
53, 2600, 53.08
18, 2690, 51.56
20, 2947, 49.96
24, 3636, 37.15
20, 2594, 38.36
28, 2856, 38.83
42, 3225, 39.95
11, 2593, 40.76
12, 3003, 51.58
10, 4818, 48.09
22, 5294, 38.41
22, 4145, 45.19
7, 4091, 52.09
5, 4137, 43.08
15, 3735, 38.58
10, 2437, 37.79
30, 2578, 37.07
12, 2660, 36.85
29, 3446, 37.19
10, 2445, 37.29
26, 3094, 37.19
27, 2461, 37.40
3, 3580, 36.99
7, 2763, 38.15
16, 4260, 37.98
16, 3006, 38.83
22, 2639, 37.02
30, 2540, 38.34
21, 3214, 38.28
4, 2540, 35.55
4, 2518, 26.86
7, 2451, 21.26
8, 2455, 20.31
28, 2467, 18.63
15, 2466, 17.89
40, 2539, 18.02
15, 2537, 17.82
18, 2550, 17.85
17, 2524, 17.74
20, 2467, 17.73
17, 2463, 17.54
16, 2463, 17.46
16, 2438, 17.53
13, 2438, 17.48
13, 2438, 17.47
15, 2438, 17.34
16, 2438, 17.40
16, 2438, 17.37
16, 2438, 17.35
16, 2438, 17.37
17, 2438, 17.21
15, 2438, 17.20
14, 2438, 17.27
15, 2438, 17.36
14, 2438, 17.27
16, 2438, 17.37
14, 2486, 17.52
12, 2472, 17.28
13, 2470, 17.33
14, 2470, 17.44
19, 2470, 17.48
14, 2445, 17.38
19, 2448, 17.38
18, 2465, 17.48
19, 2465, 17.52
14, 2466, 17.34
17, 2466, 17.51
14, 2464, 17.29
16, 2451, 17.56
14, 2451, 17.54
16, 2449, 17.56
11, 2470, 17.73
31, 2484, 17.96
16, 2484, 17.80
48, 2491, 17.73
15, 2492, 19.65
8, 2491, 19.67
16, 2487, 18.32
15, 2488, 17.93
17, 2484, 17.91
17, 2482, 17.70
20, 2479, 17.80
16, 2470, 17.73
20, 2467, 17.91
65, 2467, 18.49
11, 2466, 19.85
28, 2456, 19.37
22, 2450, 18.04
25, 2450, 17.92
20, 2445, 17.69
27, 2475, 17.80
12, 2498, 18.70
11, 2483, 20.02
37, 2496, 19.97
9, 2496, 19.95
25, 2491, 18.80
19, 2487, 17.70
20, 2479, 17.62
8, 2467, 19.37
4, 2461, 34.48
6, 2461, 32.43
17, 2469, 26.95
10, 2469, 26.04
14, 2489, 23.43
15, 2484, 20.34
17, 2554, 20.00
9, 2535, 19.58
13, 2603, 19.64
12, 2595, 18.37
16, 2572, 17.49
13, 2551, 17.33
3, 2582, 17.61
4, 2579, 17.19
3, 2577, 17.19
3, 2567, 17.09
4, 2559, 17.17
4, 2559, 17.24
3, 2559, 17.23
3, 2559, 17.15
4, 2559, 17.16
3, 2559, 17.18
3, 2559, 17.11
3, 2559, 17.21
1, 2559, 17.37
4, 2559, 17.15
3, 2559, 17.01
4, 2559, 17.15
4, 2559, 17.04
4, 2559, 17.08
4, 2559, 16.90
3, 2559, 17.03
3, 2559, 17.11
4, 2559, 17.11
4, 2559, 16.89
4, 2559, 17.07
3, 2559, 16.97
4, 2559, 17.01
3, 2559, 16.97
4, 2559, 17.03
4, 2559, 16.87
0, 2559, 16.67
1, 2559, 16.65
6, 2559, 16.72
12, 2557, 16.87
7, 2525, 16.95
11, 2499, 16.86
19, 2484, 16.90
5, 2484, 16.76
7, 2483, 16.80
5, 2483, 16.86
3, 2483, 16.73
3, 2483, 16.87
3, 2483, 16.76
4, 2483, 16.88
3, 2481, 16.89
20, 2451, 17.05
3, 2451, 16.87
5, 2451, 16.94
0, 2464, 25.72
6, 2481, 33.80
1, 2485, 33.70
12, 2522, 32.50
7, 2518, 22.75
11, 2524, 20.01
14, 2465, 19.59
16, 2472, 17.13
15, 2507, 17.55
22, 2506, 17.03
26, 2514, 17.89
6, 2501, 19.47
7, 2490, 19.58
15, 2486, 18.05
16, 2485, 17.28
16, 2480, 17.28
14, 2475, 17.08
16, 2466, 17.12
15, 2461, 17.09
16, 2459, 17.11
16, 2459, 17.17
15, 2459, 17.26
12, 2449, 17.27
14, 2449, 17.24
15, 2449, 17.26
17, 2449, 17.30
16, 2449, 17.30
17, 2452, 17.35
16, 2452, 17.30
15, 2452, 17.20
15, 2452, 17.30
15, 2452, 17.15
15, 2449, 17.21
15, 2449, 17.25
18, 2449, 17.06
18, 2452, 16.99
16, 2452, 17.04
17, 2452, 17.00
17, 2452, 16.96
16, 2452, 17.01
