idx,frame_id,rendered,physical_valid,gate_valid,pnp_eligible_candidate_2cell,pnp_eligible_candidate_3cell,pnp_eligible_candidate_4cell,tiny_warning,pnp_stress,bbox_vis_min_side_px,mask_m0_area,visible_kp_count,pnp_exact_success,physical_unknown,gate_unknown_fields
0,f0000,True,True,True,True,False,False,False,True,17.996126,1471,9,True,,
1,f0001,True,True,True,True,False,False,False,True,17.026354,1360,7,True,,
2,f0002,True,True,True,True,True,True,False,False,52.723724,132814,5,True,,
3,f0003,True,True,True,True,True,True,False,False,335.37505,227891,7,True,,
4,f0004,True,True,True,True,True,False,False,False,31.079558,10478,5,True,,
5,f0005,True,True,True,True,True,True,False,True,70.527349,5417,7,True,,
6,f0006,True,True,True,True,True,True,False,False,112.3046,34215,7,True,,
7,f0007,True,True,True,True,True,True,False,False,303.9427,148490,5,True,,
8,f0008,True,True,True,False,False,False,True,True,11.374797,550,9,True,,
9,f0009,True,True,True,True,True,True,False,True,203.3235,19278,9,True,,
10,f0010,True,True,True,True,True,True,False,True,101.32752,9806,7,True,,
11,f0011,True,True,True,True,False,False,False,False,18.629193,4356,7,True,,
12,f0012,True,True,True,True,True,True,False,True,35.583927,1583,9,True,,
13,f0013,True,True,True,True,True,True,False,False,52.25151,27903,5,True,,
14,f0014,True,True,True,True,True,True,False,False,215.71716,73560,5,True,,
15,f0015,True,True,True,True,True,False,False,True,24.599283,1663,9,True,,
16,f0016,True,True,True,True,True,True,False,False,286.2583,147389,5,True,,
17,f0017,True,True,True,True,True,True,False,True,112.72434,5599,8,True,,
18,f0018,True,True,True,True,True,True,False,False,102.65137,25749,8,True,,
19,f0019,True,True,True,True,True,True,False,False,226.18751,56628,5,True,,
20,f0020,True,True,True,True,True,True,False,True,124.27518,18571,7,True,,
21,f0021,True,True,True,True,True,True,False,False,113.07298,22525,6,True,,
22,f0022,True,True,True,True,True,True,False,False,130.84444,136247,5,True,,
23,f0023,True,True,True,True,True,True,False,True,61.744405,6941,7,True,,
24,f0024,True,True,True,False,False,False,True,True,14.42487,944,9,True,,
25,f0025,True,True,True,False,False,False,True,True,14.874059,1451,8,True,,
26,f0026,True,True,True,True,True,True,False,False,311.44865,133604,5,True,,
27,f0027,True,True,True,True,True,True,False,False,176.50316,34550,9,True,,
28,f0028,True,True,True,True,True,True,False,False,217.02722,62433,7,True,,
29,f0029,True,True,True,True,True,True,False,True,42.681293,2976,7,True,,
30,f0030,True,True,True,True,True,True,False,False,228.27903,74927,7,True,,
31,f0031,True,True,True,True,True,True,False,True,120.12615,7471,8,True,,
32,f0032,True,True,True,True,False,False,False,True,16.426049,800,9,True,,
33,f0033,True,True,True,True,False,False,False,True,17.278088,1405,6,True,,
34,f0034,True,True,True,True,True,True,False,False,126.29649,32203,8,True,,
35,f0035,True,True,True,True,True,True,False,False,333.91018,102558,6,True,,
36,f0036,True,True,True,True,True,True,False,False,296.05541,95215,7,True,,
37,f0037,True,True,True,True,True,True,False,True,46.263836,4357,5,True,,
38,f0038,True,True,True,True,False,False,False,True,23.891884,31244,5,True,,
39,f0039,True,True,True,True,True,True,False,True,64.938392,4876,6,True,,
40,f0040,True,True,True,True,True,True,False,False,95.296455,33814,5,True,,
41,f0041,True,True,True,True,True,True,False,True,59.826024,9817,5,True,,
42,f0042,True,True,True,True,True,True,False,True,50.960369,7012,5,True,,
43,f0043,True,True,True,True,True,True,False,True,45.753157,2132,7,True,,
44,f0044,True,True,True,True,True,True,False,True,44.17921,11889,5,True,,
45,f0045,True,True,True,True,True,True,False,False,146.36942,21450,6,True,,
46,f0046,True,True,True,True,True,True,False,False,158.82479,66092,5,True,,
47,f0047,True,True,True,False,False,False,True,True,11.89968,881,5,True,,
48,f0048,True,True,True,True,True,True,False,False,240.75539,104310,6,True,,
49,f0049,True,True,True,True,True,True,False,True,44.437764,23497,5,True,,
