idx,frame_id,label_present,geometry_ok,rendered,pallet_type,diagnostic_mode,noise_tier,image_w,image_h,fx,fy,cx,cy,label_reproj_consistency_px,camera_distance_measured_m,camera_distance_used_m,camera_distance_source,camera_distance_limit_m,elevation_deg_actual,projected_size_actual,object_depth_z_m,mask_m0_area,mask_m0_bbox_w_px,mask_m0_bbox_h_px,mask_m0_min_side_px,bbox_all_w_px,bbox_all_h_px,bbox_all_min_side_px,bbox_all_diag_px,bbox_vis_w_px,bbox_vis_h_px,bbox_vis_min_side_px,bbox_vis_diag_px,bbox_vis_area_px2,visible_kp_min_pair_dist_px,visible_kp_hull_area_px2,inframe_corner_count,visible_corner_count,visible_kp_count,V_vis_label,visible_corner_count_matches_label,pnp_exact_success,pnp_exact_inliers,pnp_exact_reproj_mean_px,pnp_exact_reproj_max_px,pnp_exact_trans_err_cm,pnp_exact_rot_err_deg,canonical3d_exact_reproj_mean_px,mc1px_solve_fail_rate,mc1px_diverged_rate,mc1px_pose_fail_rate,mc1px_trans_cm_q50,mc1px_trans_cm_q90,mc1px_trans_cm_q95,mc1px_rot_deg_q50,mc1px_rot_deg_q90,mc1px_rot_deg_q95,mc1px_reproj_px_q50,mc1px_reproj_px_q90,mc1px_reproj_px_q95,mc2px_solve_fail_rate,mc2px_diverged_rate,mc2px_pose_fail_rate,mc2px_trans_cm_q50,mc2px_trans_cm_q90,mc2px_trans_cm_q95,mc2px_rot_deg_q50,mc2px_rot_deg_q90,mc2px_rot_deg_q95,mc2px_reproj_px_q50,mc2px_reproj_px_q90,mc2px_reproj_px_q95,mc3px_solve_fail_rate,mc3px_diverged_rate,mc3px_pose_fail_rate,mc3px_trans_cm_q50,mc3px_trans_cm_q90,mc3px_trans_cm_q95,mc3px_rot_deg_q50,mc3px_rot_deg_q90,mc3px_rot_deg_q95,mc3px_reproj_px_q50,mc3px_reproj_px_q90,mc3px_reproj_px_q95,physical_valid,physical_violations,physical_unknown,gate_valid,gate_valid_unknown,gate_unknown_fields,G1_pass,G2_pass,G3_pass,G4_pass,G5_pass,pnp_eligible_candidate_2cell,pnp_eligible_candidate_3cell,pnp_eligible_candidate_4cell,tiny_warning,pnp_stress
0,f0000,True,True,True,Pallet_1,clean-static,clean,640,480,454.23014,454.23014,320,240,5.6843419e-14,4.9737471,4.973747,record,10,1.891,0.17353475,4.7913854,1471,111,18,18,111.06224,17.996126,17.996126,112.51081,111.06224,17.996126,17.996126,112.51081,1998.6901,6.0057678,1889.9778,8,8,9,8,True,True,9,4.4141962e-06,7.1572722e-06,3.6617779e-05,3.6222548e-06,4.4262748e-06,0,0,0.24,2.5673306,6.4672058,9.0129184,0.59400963,0.95691943,1.0353614,1.0322896,1.3532878,1.4200129,0,0,0.505,5.0580075,12.956195,16.472949,1.2214681,1.9625073,2.1715242,2.0698156,2.7467742,2.8863795,0,0,0.685,9.0957453,21.893485,27.034224,2.0171256,3.2982155,3.6251302,3.063654,4.0483021,4.3511031,True,,,True,False,,True,True,True,True,True,True,False,False,False,True
1,f0001,True,True,True,Pallet_3,clean-static,clean,720,480,605.9065,605.9065,360,240,5.6843419e-14,9.3276502,9.3276502,record,10,3.012,0.16095758,8.3303709,1360,108,17,17,115.88946,17.026354,17.026354,117.13353,54.60545,17.026354,17.026354,57.198356,929.73174,2.4710678,743.19953,6,6,7,6,True,True,7,5.2668018e-06,1.04474e-05,3.6935161e-05,8.706817e-06,5.2720503e-06,0,0.11,0.78,11.415753,46.628822,66.725354,1.0333728,52.595328,53.568991,0.97173808,19.898638,27.820603,0,0.225,0.915,31.112822,105.14374,279.4503,2.420429,53.599046,55.147369,2.0812453,26.908809,27.911025,0,0.31,0.985,46.099492,269.20946,861.9996,3.6517532,54.678572,56.601463,3.1357165,27.364366,29.426763,True,,,True,False,,True,True,True,True,True,True,False,False,False,True
2,f0002,True,True,True,Pallet_2,clean-static,low,640,480,353.65952,353.65952,320,240,2.8421709e-14,0.8156221,0.81562179,record,10,8.833,2.6244715,0.77013158,132814,640,248,248,1679.6618,288.61548,288.61548,1704.2777,336.34415,52.723724,52.723724,340.45143,17733.316,50.093008,17035.995,4,4,5,4,True,True,5,4.2391054e-05,8.6779647e-05,6.2285394e-05,4.439623e-05,3.3136801e-05,0,0,0.005,1.0401684,2.1456954,2.6216194,0.55214766,1.1867911,1.3558675,2.207518,4.5707048,5.4884008,0,0,0.045,2.1113304,3.9566908,4.8852227,1.2898586,2.3526922,2.795105,4.1288714,8.540024,10.540283,0,0.005,0.195,2.8834441,6.5238136,7.6157001,1.7587904,3.6379584,4.1991757,6.0251193,13.510749,16.373614,True,,,True,False,,True,True,True,True,True,True,True,True,False,False
3,f0003,True,True,True,Pallet_0,clean-static,clean,960,540,605.9065,605.9065,480,270,2.2737368e-13,1.26097,1.2609699,record,10,52.907,0.79773499,1.26097,227891,749,506,506,765.82559,711.94812,711.94812,1045.6381,765.82559,335.37505,335.37505,836.04142,256838.79,46.406486,116330.34,6,6,7,6,True,True,7,1.8866885e-05,3.296454e-05,6.1627776e-06,2.9575587e-06,3.0378797e-05,0,0,0,1.1138968,2.2286889,2.5393569,1.0928746,2.3378187,2.8067691,2.4650016,4.4768992,5.4554233,0,0,0.07,1.9357097,4.0590938,4.7439253,2.057716,4.434816,5.2548966,4.4973906,8.414623,10.541568,0,0,0.265,2.9338954,6.2796405,7.0673588,3.0035502,6.9646836,7.7338174,6.1367079,10.55991,12.258472,True,,,True,False,,True,True,True,True,True,True,True,True,False,False
4,f0004,True,True,True,Pallet_2,clean-static,low,960,540,520.55225,520.55225,480,270,1.1368684e-13,2.3163719,2.3163719,record,10,4.383,0.40287996,2.0565168,10478,376,31,31,386.76476,92.869322,92.869322,397.75834,373.25189,31.079558,31.079558,374.54361,11600.504,52.450122,6263.6594,4,4,5,4,True,True,5,1.8643136e-05,3.9537039e-05,3.643106e-06,8.706817e-06,1.8685063e-05,0,0,0,0.74436459,1.4595063,1.9338985,0.33703569,0.59306655,0.66635399,0.89700888,1.4054229,1.5756652,0,0.03,0.035,1.4106335,3.21851,3.9197179,0.63519401,1.1051776,1.4201427,1.6004302,2.7116238,2.9563192,0,0.05,0.1,1.8573721,4.9565891,6.5360874,1.0067657,1.9106124,2.9048496,2.8370277,4.8480299,7.6961746,True,,,True,False,,True,True,True,True,True,True,True,False,False,False
5,f0005,True,True,True,Pallet_0,clean-static,low,640,480,517.26025,517.26025,320,240,5.6843419e-14,6.6929959,6.6929961,record,10,29.298,0.21868927,5.7865086,5417,92,74,74,139.96113,77.098459,77.098459,159.7914,87.478998,70.527349,70.527349,112.36851,6169.6619,10.672994,3360.0573,6,6,7,6,True,True,7,1.1142466e-05,3.6081886e-05,5.4073558e-05,3.1945285e-06,1.135662e-05,0,0,0.555,6.0464616,15.174214,18.851587,0.98690028,1.8137755,2.0715876,0.95095118,1.2625618,1.3567451,0,0.015,0.81,12.720529,30.641806,36.905408,1.8696402,3.3275317,3.6807011,1.91447,2.5440835,2.8389817,0,0.04,0.865,20.579729,47.26521,68.701287,3.098782,5.2073863,5.9936075,2.8784527,4.056632,4.9143648,True,,,True,False,,True,True,True,True,True,True,True,True,False,True
6,f0006,True,True,True,Pallet_3,clean-static,clean,560,560,553.96307,553.96307,280,280,5.6843419e-14,2.4157456,2.4157456,record,10,23.319,0.65479719,2.2395506,34215,364,119,119,366.68643,170.7913,170.7913,404.51033,362.9145,112.3046,112.3046,379.89375,40756.969,29.719358,24092.544,6,6,7,6,True,True,7,1.6575898e-05,4.7627388e-05,7.3340262e-06,1.0245284e-05,1.6661889e-05,0,0,0,0.74170892,1.5367335,1.8796048,0.53803821,0.92609821,1.0755402,0.9889824,1.3051381,1.3811002,0,0,0.01,1.291049,3.1417799,3.4861669,0.96169334,1.8052212,2.0217836,2.0593015,2.6491539,2.8997446,0,0,0.11,2.0366926,5.1719754,5.8499687,1.6435344,2.8648231,3.2843386,2.9737452,4.0968474,4.395301,True,,,True,False,,True,True,True,True,True,True,True,True,False,False
7,f0007,True,True,True,Pallet_1,clean-static,clean,640,480,605.9065,605.9065,320,240,5.6843419e-14,1.1559851,1.1559851,record,10,60.286,1.451714,1.091511,148490,545,435,435,929.09693,1003.1051,929.09693,1367.275,412.42419,303.9427,303.9427,512.32302,125353.32,42.614914,67503.403,4,4,5,4,True,True,5,1.0696018e-05,1.3621296e-05,4.3499781e-06,5.6632937e-06,1.3134492e-05,0,0,0,0.45056123,1.0181271,1.1686959,0.4939882,1.0721172,1.2326757,0.7890414,1.2851069,1.4285654,0,0,0.005,1.0419621,2.01187,2.3684444,0.98774702,2.2399277,2.7146295,1.6144771,2.4875804,2.6580903,0,0,0.015,1.3854951,3.0699789,3.5594383,1.5407977,3.0709263,3.7538547,2.2846985,3.5624366,4.0756456,True,,,True,False,,True,True,True,True,True,True,True,True,False,False
8,f0008,True,True,True,Pallet_0,clean-static,low,640,480,360.10351,360.10351,320,240,1.1368684e-13,7.3237991,7.3237991,record,10,2.962,0.08616093,7.0582972,550,54,11,11,55.142995,11.374797,11.374797,56.30396,55.142995,11.374797,11.374797,56.30396,627.24037,2.6709836,603.90495,8,8,9,8,True,True,9,4.9928886e-06,7.0119069e-06,0.0001311424,4.0045534e-06,5.3355273e-06,0,0,0.63,7.0271932,18.802508,22.778103,1.0730087,1.8200533,1.9457543,1.017673,1.2804717,1.3556872,0,0,0.855,18.367823,39.195423,48.274913,2.0090007,3.2601198,3.6148828,2.0550469,2.6430082,2.8080488,0,0.015,0.965,26.067939,57.86358,72.722148,3.6518143,5.563468,6.3353964,3.1659384,4.1027364,4.3911046,True,,,True,False,,True,True,True,True,True,False,False,False,True,True
9,f0009,True,True,True,Pallet_3,clean-static,clean,720,480,335.44423,335.44423,360,240,5.6843419e-14,2.3936032,2.3936032,record,10,75.538,0.30559316,2.3936032,19278,217,200,200,220.02708,203.3235,203.3235,299.58698,220.02708,203.3235,203.3235,299.58698,44736.676,2.7777798,21927.567,8,8,9,8,True,True,9,9.9005173e-06,3.4064926e-05,7.0320912e-06,1.4787793e-05,1.0690809e-05,0,0,0.09,1.1765854,2.3301335,2.6445418,2.4511749,4.6652772,5.8233748,1.387398,2.0391742,2.3806525,0,0,0.54,2.5642183,5.4133483,5.9434025,5.2248661,11.38799,17.34238,2.6200966,4.481377,5.8049556,0,0,0.765,4.1215371,8.135682,9.8101078,6.979018,19.802252,22.709374,4.0190444,7.4588901,8.919401,True,,,True,False,,True,True,True,True,True,True,True,True,False,True
