rank,usable_id,frame_id,azimuth_deg,elevation_deg,camera_distance_m,projected_size_actual,diagnostic_mode,selection_rule
0,7320,f7320,272.5428490204424,5.896065137763428,0.8185536440335568,279.6913915811211,clean-static,"deterministic maximin in z-scored (cos az, sin az, elevation, distance, projected size); tie-break = smallest usable_id; no random seed"
1,6645,f6645,90.79625129663518,77.14772093003104,9.958374912814921,0.05450481352978029,controlled-occlusion,"deterministic maximin in z-scored (cos az, sin az, elevation, distance, projected size); tie-break = smallest usable_id; no random seed"
2,8346,f8346,345.3422116136112,45.22065404076814,0.4854820336750939,123.24665196610026,clean-static,"deterministic maximin in z-scored (cos az, sin az, elevation, distance, projected size); tie-break = smallest usable_id; no random seed"
3,9426,f9426,338.0775074663389,5.263869120669311,0.8762753751693168,45.9319816725085,clean-static,"deterministic maximin in z-scored (cos az, sin az, elevation, distance, projected size); tie-break = smallest usable_id; no random seed"
4,106,f0106,296.4716235044403,25.794194336662752,0.7741220861535363,88.12938488076313,clean-static,"deterministic maximin in z-scored (cos az, sin az, elevation, distance, projected size); tie-break = smallest usable_id; no random seed"
5,3768,f3768,282.4244675510779,4.828230439939669,0.829040509293174,17.672730803773128,context-rich,"deterministic maximin in z-scored (cos az, sin az, elevation, distance, projected size); tie-break = smallest usable_id; no random seed"
6,3938,f3938,214.4961499969257,2.4153331770497015,1.4204764306340252,0.653549494435595,context-rich,"deterministic maximin in z-scored (cos az, sin az, elevation, distance, projected size); tie-break = smallest usable_id; no random seed"
7,6462,f6462,279.3234657864589,78.07331053424059,1.17668382146169,0.5940440428991118,context-rich,"deterministic maximin in z-scored (cos az, sin az, elevation, distance, projected size); tie-break = smallest usable_id; no random seed"
8,4412,f4412,27.310883300623026,2.14209195968087,9.928876926908242,0.09192946223707352,context-rich,"deterministic maximin in z-scored (cos az, sin az, elevation, distance, projected size); tie-break = smallest usable_id; no random seed"
9,5056,f5056,99.60320172689323,3.12433608054991,0.9062958943015376,25.93402290950878,clean-static,"deterministic maximin in z-scored (cos az, sin az, elevation, distance, projected size); tie-break = smallest usable_id; no random seed"
10,222,f0222,14.798334872554502,21.045580785520016,0.7113054201656268,5.548495264029433,context-rich,"deterministic maximin in z-scored (cos az, sin az, elevation, distance, projected size); tie-break = smallest usable_id; no random seed"
11,4669,f4669,215.77756493306342,34.34994251685571,9.744351690471714,0.1591741976384305,controlled-occlusion,"deterministic maximin in z-scored (cos az, sin az, elevation, distance, projected size); tie-break = smallest usable_id; no random seed"
