usable_id,keypoint_index,reprojection_error_px
0,0,6.703246762680666e-14
0,1,3.552713678800501e-14
0,2,6.07087979554246e-14
0,3,3.1776437161565096e-14
0,4,2.930988785010413e-14
0,5,2.1316282072803006e-14
0,6,1.1546319456101628e-14
0,7,2.1316282072803006e-14
0,8,7.105427357601002e-15
1,0,2.842170943040401e-14
1,1,5.684341886080802e-14
1,2,6.355287432313019e-14
1,3,2.842170943040401e-14
1,4,6.355287432313019e-14
1,5,5.684341886080802e-14
1,6,6.355287432313019e-14
1,7,0.0
1,8,6.355287432313019e-14
2,0,5.684341886080802e-14
2,1,3.552713678800501e-15
2,2,1.1368683772161603e-13
2,3,5.684341886080802e-14
2,4,3.1776437161565096e-14
2,5,1.4210854715202004e-14
2,6,1.4210854715202004e-14
2,7,2.842170943040401e-14
2,8,7.105427357601002e-15
3,0,0.0
3,1,0.0
3,2,0.0
3,3,5.684341886080802e-14
3,4,0.0
3,5,5.859285502108464e-14
3,6,0.0
3,7,5.684341886080802e-14
3,8,0.0
4,0,5.684341886080802e-14
4,1,5.684341886080802e-14
4,2,1.2710574864626038e-13
4,3,0.0
4,4,1.1368683772161603e-13
4,5,1.1368683772161603e-13
4,6,5.684341886080802e-14
4,7,1.1368683772161603e-13
4,8,0.0
5,0,1.7763568394002505e-15
5,1,3.552713678800501e-15
5,2,5.783398860650275e-14
5,3,3.03543989777123e-14
5,4,1.687538997430238e-14
5,5,4.440892098500626e-15
5,6,7.105427357601002e-15
5,7,6.217248937900877e-15
5,8,5.859285502108464e-14
6,0,4.0194366942304644e-14
6,1,2.842170943040401e-14
6,2,6.355287432313019e-14
6,3,1.4210854715202004e-14
6,4,0.0
6,5,3.1776437161565096e-14
6,6,0.0
6,7,3.1776437161565096e-14
6,8,2.842170943040401e-14
7,0,2.842170943040401e-14
7,1,8.038873388460929e-14
7,2,8.038873388460929e-14
7,3,6.703246762680666e-14
7,4,7.105427357601002e-15
7,5,8.659739592076221e-15
7,6,7.105427357601002e-15
7,7,9.769962616701378e-15
7,8,2.842170943040401e-14
8,0,1.1718571004216928e-13
8,1,5.684341886080802e-14
8,2,0.0
8,3,1.1718571004216928e-13
8,4,1.1457157353758233e-13
8,5,5.684341886080802e-14
8,6,0.0
8,7,1.2710574864626038e-13
8,8,0.0
9,0,2.842170943040401e-14
9,1,0.0
9,2,0.0
9,3,0.0
9,4,5.859285502108464e-14
9,5,2.842170943040401e-14
9,6,2.842170943040401e-14
9,7,5.684341886080802e-14
9,8,0.0
10,0,0.0
10,1,0.0
10,2,5.684341886080802e-14
10,3,5.684341886080802e-14
10,4,6.355287432313019e-14
10,5,2.842170943040401e-14
10,6,2.842170943040401e-14
10,7,6.355287432313019e-14
10,8,5.684341886080802e-14
11,0,5.684341886080802e-14
11,1,1.1368683772161603e-13
11,2,1.1368683772161603e-13
11,3,5.684341886080802e-14
11,4,5.684341886080802e-14
11,5,5.684341886080802e-14
11,6,0.0
11,7,0.0
11,8,0.0
12,0,6.355287432313019e-14
12,1,6.355287432313019e-14
12,2,0.0
12,3,0.0
12,4,5.684341886080802e-14
12,5,1.1718571004216928e-13
12,6,0.0
12,7,2.842170943040401e-14
12,8,6.355287432313019e-14
13,0,0.0
13,1,0.0
13,2,0.0
13,3,0.0
13,4,0.0
13,5,5.684341886080802e-14
13,6,0.0
13,7,5.684341886080802e-14
13,8,0.0
14,0,0.0
14,1,8.038873388460929e-14
14,2,0.0
14,3,5.684341886080802e-14
14,4,5.684341886080802e-14
14,5,1.2710574864626038e-13
14,6,5.684341886080802e-14
14,7,8.038873388460929e-14
14,8,0.0
15,0,5.684341886080802e-14
15,1,2.842170943040401e-14
15,2,6.355287432313019e-14
15,3,5.684341886080802e-14
15,4,5.684341886080802e-14
15,5,1.4210854715202004e-14
15,6,0.0
15,7,5.859285502108464e-14
15,8,7.105427357601002e-14
16,0,1.4210854715202004e-14
16,1,0.0
16,2,1.2710574864626038e-13
16,3,1.4210854715202004e-14
16,4,6.703246762680666e-14
16,5,0.0
16,6,2.842170943040401e-14
16,7,7.105427357601002e-15
16,8,5.684341886080802e-14
17,0,0.0
17,1,5.684341886080802e-14
17,2,1.2710574864626038e-13
17,3,0.0
17,4,2.842170943040401e-14
17,5,1.1368683772161603e-13
17,6,5.684341886080802e-14
17,7,0.0
17,8,0.0
18,0,4.0194366942304644e-14
18,1,5.684341886080802e-14
18,2,0.0
18,3,2.842170943040401e-14
18,4,2.842170943040401e-14
18,5,0.0
18,6,5.684341886080802e-14
18,7,0.0
18,8,2.842170943040401e-14
19,0,2.842170943040401e-14
19,1,8.038873388460929e-14
19,2,0.0
19,3,5.859285502108464e-14
19,4,0.0
19,5,6.355287432313019e-14
19,6,2.842170943040401e-14
19,7,5.684341886080802e-14
19,8,2.842170943040401e-14
20,0,0.0
20,1,5.684341886080802e-14
20,2,5.684341886080802e-14
20,3,5.684341886080802e-14
20,4,5.684341886080802e-14
20,5,0.0
20,6,5.684341886080802e-14
20,7,2.842170943040401e-14
20,8,0.0
21,0,5.684341886080802e-14
21,1,0.0
21,2,0.0
21,3,0.0
21,4,5.684341886080802e-14
21,5,5.684341886080802e-14
21,6,5.684341886080802e-14
21,7,5.684341886080802e-14
21,8,5.684341886080802e-14
22,0,0.0
22,1,5.684341886080802e-14
22,2,1.1368683772161603e-13
22,3,5.684341886080802e-14
22,4,2.842170943040401e-14
22,5,0.0
22,6,2.842170943040401e-14
22,7,0.0
22,8,5.684341886080802e-14
23,0,1.4210854715202004e-14
23,1,5.684341886080802e-14
23,2,0.0
23,3,5.859285502108464e-14
23,4,3.03543989777123e-14
23,5,2.842170943040401e-14
23,6,0.0
23,7,1.4210854715202004e-14
23,8,4.0194366942304644e-14
24,0,2.7533531010703882e-14
24,1,0.0
24,2,1.4210854715202004e-14
24,3,1.3322676295501878e-14
24,4,3.1776437161565096e-14
24,5,1.4210854715202004e-14
24,6,2.842170943040401e-14
24,7,0.0
24,8,4.263256414560601e-14
25,0,0.0
25,1,0.0
25,2,1.2710574864626038e-13
25,3,0.0
25,4,6.355287432313019e-14
25,5,2.842170943040401e-14
25,6,0.0
25,7,0.0
25,8,5.684341886080802e-14
26,0,2.842170943040401e-14
26,1,0.0
26,2,0.0
26,3,0.0
26,4,2.864289338439558e-14
26,5,1.4210854715202004e-14
26,6,1.9539925233402755e-14
26,7,1.4210854715202004e-14
26,8,1.4210854715202004e-14
27,0,4.973799150320701e-14
27,1,0.0
27,2,1.1368683772161603e-13
27,3,2.842170943040401e-14
27,4,2.842170943040401e-14
27,5,1.4210854715202004e-14
27,6,5.684341886080802e-14
27,7,1.4210854715202004e-14
27,8,0.0
28,0,4.618527782440651e-14
28,1,7.105427357601002e-15
28,2,3.552713678800501e-14
28,3,3.552713678800501e-14
28,4,2.929642751054232e-14
28,5,3.1776437161565096e-14
28,6,7.105427357601002e-15
28,7,3.108624468950438e-14
28,8,4.263256414560601e-14
29,0,1.1368683772161603e-13
29,1,1.2710574864626038e-13
29,2,1.1368683772161603e-13
29,3,0.0
29,4,2.842170943040401e-14
29,5,1.1368683772161603e-13
29,6,5.684341886080802e-14
29,7,0.0
29,8,5.684341886080802e-14
30,0,2.842170943040401e-14
30,1,5.684341886080802e-14
30,2,5.684341886080802e-14
30,3,0.0
30,4,5.684341886080802e-14
30,5,6.355287432313019e-14
30,6,5.684341886080802e-14
30,7,0.0
30,8,6.355287432313019e-14
31,0,2.842170943040401e-14
31,1,0.0
31,2,0.0
31,3,5.684341886080802e-14
31,4,2.1316282072803006e-14
31,5,2.842170943040401e-14
31,6,3.1776437161565096e-14
31,7,7.105427357601002e-15
31,8,4.0194366942304644e-14
32,0,1.4210854715202004e-14
32,1,0.0
32,2,1.1368683772161603e-13
32,3,1.4210854715202004e-14
32,4,5.728578676879116e-14
32,5,5.684341886080802e-14
32,6,5.684341886080802e-14
32,7,2.842170943040401e-14
32,8,0.0
33,0,0.0
33,1,0.0
33,2,5.684341886080802e-14
33,3,0.0
33,4,0.0
33,5,5.684341886080802e-14
33,6,0.0
33,7,1.2710574864626038e-13
33,8,5.684341886080802e-14
34,0,5.684341886080802e-14
34,1,0.0
34,2,1.1368683772161603e-13
34,3,5.684341886080802e-14
34,4,0.0
34,5,2.842170943040401e-14
34,6,1.1368683772161603e-13
34,7,5.684341886080802e-14
34,8,1.2710574864626038e-13
35,0,6.07087979554246e-14
35,1,0.0
35,2,2.842170943040401e-14
35,3,5.329070518200751e-15
35,4,2.864289338439558e-14
35,5,5.123796534383003e-14
35,6,1.4210854715202004e-14
35,7,7.105427357601002e-15
35,8,0.0
36,0,6.355287432313019e-14
36,1,0.0
36,2,0.0
36,3,4.263256414560601e-14
36,4,6.355287432313019e-14
36,5,1.1368683772161603e-13
36,6,1.2710574864626038e-13
36,7,0.0
36,8,0.0
37,0,5.684341886080802e-14
37,1,5.684341886080802e-14
37,2,5.684341886080802e-14
37,3,8.038873388460929e-14
37,4,0.0
37,5,8.038873388460929e-14
37,6,5.684341886080802e-14
37,7,0.0
37,8,5.684341886080802e-14
38,0,5.684341886080802e-14
38,1,5.684341886080802e-14
38,2,0.0
38,3,5.684341886080802e-14
38,4,5.684341886080802e-14
38,5,2.842170943040401e-14
38,6,6.355287432313019e-14
38,7,6.355287432313019e-14
38,8,0.0
39,0,1.3322676295501878e-15
39,1,1.5987211554602254e-14
39,2,2.1316282072803006e-14
39,3,6.277857184170547e-14
39,4,8.881784197001252e-15
39,5,5.929547246265982e-14
39,6,7.105427357601002e-15
39,7,5.684341886080802e-14
39,8,5.718241383625821e-14
40,0,5.859285502108464e-14
40,1,1.1718571004216928e-13
40,2,1.1368683772161603e-13
40,3,6.039613253960852e-14
40,4,6.025392187279929e-14
40,5,1.1371805845725668e-13
40,6,7.105427357601002e-15
40,7,1.4210854715202004e-14
40,8,1.4210854715202004e-14
41,0,2.842170943040401e-14
41,1,5.684341886080802e-14
41,2,5.684341886080802e-14
41,3,0.0
41,4,1.7319479184152442e-14
41,5,0.0
41,6,2.842170943040401e-14
