usable_id,frame_id,projected_size_actual,mask_area_visible,mask_area_target_only,visible_fraction,occlusion_fraction_from_mask,f_total_record,f_target,f_total_vs_mask_abs_diff,diagnostic_mode
0,f0000,0.3217768040872956,12168.0,12168.0,1.0,0.0,0.0,0.20683930851562699,0.0,clean-static
1,f0001,0.25766425363741335,3102.0,3421.0,0.9067524115755627,0.09324758842443726,0.09324758842443726,0.4170118387416465,0.0,cargo-only
2,f0002,0.6554408684512268,89662.0,95056.0,0.9432545026089884,0.056745497391011646,0.056745497391011646,0.18693244067555584,0.0,context-rich
3,f0003,0.4254937210700012,20220.0,29122.0,0.6943204450243802,0.3056795549756198,0.3056795549756198,0.25994179498628767,0.0,controlled-occlusion
4,f0004,0.18171889249292264,2755.0,2755.0,1.0,0.0,0.0,0.0,0.0,context-rich
5,f0005,0.2110606562530549,2262.0,2582.0,0.8760650658404338,0.12393493415956625,0.12393493415956625,0.14947882037944474,0.0,controlled-occlusion
6,f0006,0.8087801556025102,38521.0,38521.0,1.0,0.0,0.0,0.0,0.0,clean-static
7,f0007,0.7703253401171983,120413.0,155532.0,0.7742008075508577,0.22579919244914226,0.22579919244914226,0.0,0.0,cargo-only
8,f0008,0.2256724998579834,7185.0,9151.0,0.7851600917932466,0.21483990820675336,0.21483990820675336,0.41265676600021584,0.0,context-rich
9,f0009,0.6409485029086426,101521.0,107345.0,0.9457450277143788,0.05425497228562115,0.05425497228562115,0.1073863382296762,0.0,controlled-occlusion
10,f0010,0.13467408068872616,1401.0,1401.0,1.0,0.0,0.0,0.324335951266139,0.0,clean-static
11,f0011,0.3093714988882944,11866.0,13847.0,0.8569365205459666,0.14306347945403342,0.14306347945403342,0.16869212739175418,0.0,cargo-only
12,f0012,0.11071390296582664,4967.0,6411.0,0.7747621275931992,0.22523787240680082,0.22523787240680082,0.0,0.0,context-rich
13,f0013,0.06357547168579955,1028.0,1334.0,0.7706146926536732,0.22938530734632678,0.22938530734632678,0.10952790511823346,0.0,controlled-occlusion
14,f0014,0.2862852131500292,11524.0,14274.0,0.8073420204567745,0.1926579795432255,0.1926579795432255,0.39773863457062647,0.0,context-rich
15,f0015,0.10886980708528116,758.0,1290.0,0.5875968992248062,0.4124031007751938,0.4124031007751938,0.3024580556206624,0.0,controlled-occlusion
16,f0016,1.0376623734597674,123901.0,123901.0,1.0,0.0,0.0,0.0,0.0,clean-static
17,f0017,0.4424319134924273,33338.0,39341.0,0.8474110978368623,0.1525889021631377,0.1525889021631377,0.16189967671895367,0.0,cargo-only
18,f0018,0.23906148484233064,5354.0,6509.0,0.8225533876171455,0.17744661238285453,0.17744661238285453,0.2141115033917095,0.0,context-rich
19,f0019,0.5383431873116838,20785.0,28684.0,0.7246199972109887,0.2753800027890113,0.2753800027890113,0.2876549643685473,0.0,controlled-occlusion
20,f0020,0.14196918989289728,3026.0,3026.0,1.0,0.0,0.0,0.16475018174442665,0.0,clean-static
21,f0021,0.24693438084579905,4368.0,5615.0,0.7779162956366874,0.2220837043633126,0.2220837043633126,0.0,0.0,cargo-only
22,f0022,0.3518571308125492,47964.0,47964.0,1.0,0.0,0.0,0.1610327565951103,0.0,context-rich
23,f0023,0.6155104534985989,15862.0,19827.0,0.8000201745095072,0.19997982549049276,0.19997982549049276,0.12586160051282355,0.0,controlled-occlusion
24,f0024,0.1376811544502814,1371.0,1371.0,1.0,0.0,0.0,0.20348285522661086,0.0,context-rich
25,f0025,0.48555296580351115,26713.0,42011.0,0.6358572754754707,0.36414272452452934,0.36414272452452934,0.38425087321923523,0.0,controlled-occlusion
26,f0026,0.8426101180452348,77277.0,77277.0,1.0,0.0,0.0,0.10868017365000532,0.0,clean-static
27,f0027,0.9292899092585161,133216.0,159694.0,0.8341953987000138,0.1658046012999862,0.1658046012999862,0.20704487220028345,0.0,cargo-only
28,f0028,0.10926196091370584,516.0,516.0,1.0,0.0,0.0,0.12954358656476,0.0,context-rich
29,f0029,0.43603992842012823,13194.0,25094.0,0.5257830557105284,0.4742169442894716,0.4742169442894716,0.4385436576385537,0.0,controlled-occlusion
30,f0030,0.4539845622061156,33904.0,33904.0,1.0,0.0,0.0,0.30924121490528617,0.0,clean-static
31,f0031,0.6060444943012728,56762.0,62574.0,0.9071179723207722,0.09288202767922782,0.09288202767922782,0.0,0.0,cargo-only
32,f0032,1.2791818757917537,75648.0,96621.0,0.7829353867171733,0.21706461328282667,0.21706461328282667,0.0,0.0,context-rich
33,f0033,0.09286288200671429,1588.0,1937.0,0.8198244708311823,0.18017552916881774,0.18017552916881774,0.16727863967112402,0.0,controlled-occlusion
34,f0034,2.3915337748058043,122324.0,135009.0,0.9060433008169826,0.09395669918301741,0.09395669918301741,0.34722095902040784,0.0,context-rich
35,f0035,0.1616285629876507,1408.0,2273.0,0.6194456665200176,0.38055433347998235,0.38055433347998235,0.4334360920503906,0.0,controlled-occlusion
36,f0036,1.0018079392025947,157638.0,157638.0,1.0,0.0,0.0,0.0,0.0,clean-static
37,f0037,0.12413924321188005,2997.0,3709.0,0.8080345106497708,0.19196548935022917,0.19196548935022917,0.14488847171355185,0.0,cargo-only
38,f0038,0.4834870590142136,29359.0,37906.0,0.7745211839814278,0.22547881601857223,0.22547881601857223,0.0,0.0,context-rich
39,f0039,0.19890754771869545,1633.0,2029.0,0.8048299655002464,0.19517003449975356,0.19517003449975356,0.23850344903943124,0.0,controlled-occlusion
40,f0040,1.0543666822979494,121934.0,121934.0,1.0,0.0,0.0,0.370354528688933,0.0,clean-static
41,f0041,0.7205585246466165,37562.0,40186.0,0.9347036281291993,0.06529637187080073,0.06529637187080073,0.0,0.0,cargo-only
42,f0042,0.16529680296066607,4146.0,4958.0,0.836224283985478,0.163775716014522,0.163775716014522,0.2566145369407818,0.0,context-rich
43,f0043,0.14009101177802502,1275.0,1794.0,0.7107023411371237,0.2892976588628763,0.2892976588628763,0.129982436539155,0.0,controlled-occlusion
44,f0044,0.19430985778193044,1380.0,1380.0,1.0,0.0,0.0,0.0,0.0,context-rich
45,f0045,0.22848320107587014,13162.0,19742.0,0.6667004356194914,0.33329956438050856,0.33329956438050856,0.42536692798637177,0.0,controlled-occlusion
46,f0046,0.5875607373144983,20398.0,20398.0,1.0,0.0,0.0,0.0,0.0,clean-static
47,f0047,0.45580977202385464,28805.0,34697.0,0.8301870478715739,0.16981295212842606,0.16981295212842606,0.14546767985657375,0.0,cargo-only
48,f0048,0.12344485709286322,4207.0,4526.0,0.9295183384887318,0.07048166151126822,0.07048166151126822,0.0,0.0,context-rich
49,f0049,0.6854911734069368,67497.0,91814.0,0.7351493236325615,0.26485067636743853,0.26485067636743853,0.21729142296005421,0.0,controlled-occlusion
50,f0050,0.4686287972773119,8434.0,8434.0,1.0,0.0,0.0,0.4168147214525182,0.0,clean-static
51,f0051,0.10652604616465591,627.0,771.0,0.8132295719844358,0.1867704280155642,0.1867704280155642,0.0,0.0,cargo-only
52,f0052,1.2898214817972888,133591.0,133591.0,1.0,0.0,0.0,0.0,0.0,context-rich
53,f0053,0.8392017272666195,89396.0,116347.0,0.7683567260006704,0.2316432739993296,0.2316432739993296,0.27319812410849376,0.0,controlled-occlusion
54,f0054,0.78116410646381,90960.0,90961.0,0.9999890062774156,1.0993722584395904e-05,1.0993722584395904e-05,0.10634118216249178,0.0,context-rich
55,f0055,0.38423055138633705,20250.0,23750.0,0.8526315789473684,0.1473684210526316,0.1473684210526316,0.1511695445306897,0.0,controlled-occlusion
56,f0056,0.3380384299731453,7031.0,7031.0,1.0,0.0,0.0,0.0,0.0,clean-static
57,f0057,0.07416021636577544,1002.0,1248.0,0.8028846153846154,0.19711538461538458,0.19711538461538458,0.0,0.0,cargo-only
