usable_id,diagnostic_mode,cargo_on,n_cargo_requested,n_cargo_placed,cargo_placement_attempts,cargo_collision_count,cargo_support_pass,front_visibility_after_cargo,left_opening_visibility_after_cargo,right_opening_visibility_after_cargo,cargo_occludes_pallet,f_total_record,amodal_px,visible_px,runtime_s,rgb_rel
400,cargo-only,True,2,2,8,0,True,1.0,1.0,1.0,False,0.09481946624803772,6370,5766,6.1445512771606445,rgb/f0400_rgb.png
401,cargo-only,True,2,2,50,0,True,1.0,1.0,1.0,False,0.013666673548173969,48439,47777,6.006070852279663,rgb/f0401_rgb.png
402,cargo-only,True,2,0,30,0,True,1.0,1.0,1.0,False,0.0,134795,134795,9.451968908309937,rgb/f0402_rgb.png
403,cargo-only,True,2,2,12,0,True,1.0,1.0,1.0,False,0.142483660130719,1530,1312,7.14198899269104,rgb/f0403_rgb.png
404,cargo-only,True,2,1,117,0,True,1.0,1.0,1.0,False,0.13018819283320449,3879,3374,5.901691198348999,rgb/f0404_rgb.png
405,cargo-only,True,2,2,14,0,True,1.0,1.0,1.0,False,0.0,4608,4608,7.757601976394653,rgb/f0405_rgb.png
406,cargo-only,True,2,1,106,0,True,1.0,1.0,1.0,False,0.22948222320806133,78895,60790,10.477745294570923,rgb/f0406_rgb.png
407,cargo-only,True,2,2,70,0,True,1.0,1.0,1.0,False,0.20903875752063805,7147,5653,6.049811840057373,rgb/f0407_rgb.png
408,cargo-only,True,2,1,52,0,True,1.0,1.0,1.0,False,0.2138797763711131,21643,17014,6.216039419174194,rgb/f0408_rgb.png
409,cargo-only,True,2,1,112,0,True,1.0,1.0,1.0,False,0.17948717948717952,1911,1568,6.21716570854187,rgb/f0409_rgb.png
410,cargo-only,True,2,2,12,0,True,1.0,1.0,1.0,False,0.0,1226,1226,7.410800933837891,rgb/f0410_rgb.png
411,cargo-only,True,2,2,86,0,True,1.0,1.0,1.0,False,0.20364238410596025,1208,962,5.860755681991577,rgb/f0411_rgb.png
412,cargo-only,True,2,2,12,0,True,1.0,1.0,1.0,False,0.24290806475568094,13466,10195,6.8507750034332275,rgb/f0412_rgb.png
413,cargo-only,True,2,2,52,0,True,1.0,1.0,1.0,False,0.18627881448957195,9110,7413,7.645238637924194,rgb/f0413_rgb.png
414,cargo-only,True,2,0,38,0,True,1.0,1.0,1.0,False,0.0,145359,145359,7.805340766906738,rgb/f0414_rgb.png
415,cargo-only,True,2,1,117,0,True,1.0,1.0,1.0,False,0.11355425716961776,22421,19875,5.524791717529297,rgb/f0415_rgb.png
416,cargo-only,True,2,0,12,0,True,1.0,1.0,1.0,False,0.0,53294,53294,9.715850830078125,rgb/f0416_rgb.png
417,cargo-only,True,2,2,112,0,True,1.0,1.0,1.0,False,0.22316636851520577,26832,20844,5.397921800613403,rgb/f0417_rgb.png
418,cargo-only,True,2,2,86,0,True,1.0,1.0,1.0,False,0.18587276431967403,17668,14384,5.609996557235718,rgb/f0418_rgb.png
419,cargo-only,True,2,2,60,0,True,1.0,1.0,1.0,False,0.012961373390557918,46600,45996,6.013497591018677,rgb/f0419_rgb.png
420,cargo-only,True,2,0,102,0,True,1.0,1.0,1.0,False,0.0,44959,44959,7.629964590072632,rgb/f0420_rgb.png
