usable_id,explicit_occluder_placed,explicit_occluder_visible_pixels,explicit_selected_object,occluder_side_target,occluder_side_actual,occluder_side_match,amodal_px,visible_px,visible_fraction,f_total_from_mask,f_total_record,f_target,f_target_error,camera_distance_actual_m,elev_actual,projected_size_actual,explicit_proposal_count,occluder_feedback_iterations,runtime_s
1400,True,55,Dist_Closetmaid_Premium_Fabric_Cube_Red,left,left,True,803,625,0.7783312577833126,0.22166874221668742,0.22166874221668742,0.17465044472507862,0.047018297491608796,9.915984794827029,0.7423680015268953,0.17343395509855514,6,1,24.17514419555664
1401,True,3380,Dist_water_dispenser_01,right,right,True,40012,23422,0.5853743876836949,0.4146256123163051,0.4146256123163051,0.43309787532889565,-0.01847226301259053,2.9303577157859864,46.47461436602124,0.4564012732252083,6,36,50.17114043235779
1402,True,1486,Dist_utility_box_01,bottom,bottom,True,57963,48650,0.8393285371702638,0.1606714628297362,0.1606714628297362,0.14577405107444666,0.014897411755289552,2.930968301504536,66.46560736072371,0.5592936737605667,6,9,40.006958961486816
1403,True,43,Dist_water_dispenser_01,bottom,bottom,True,2673,2248,0.8410026187803965,0.1589973812196035,0.1589973812196035,0.15213742821325396,0.006859953006349534,9.274368728900152,16.303817360049337,0.14072412489093636,6,24,44.19861030578613
1404,True,1581,Dist_Shelf_01,right,right,True,11838,6781,0.5728163541138706,0.42718364588612945,0.42718364588612945,0.39568162326145584,0.03150202262467361,3.2028915484544984,8.41422805014621,0.4925650050305864,6,21,36.24650478363037
1405,True,152,Dist_utility_box_01,bottom,bottom,True,5233,2908,0.555704184979935,0.444295815020065,0.444295815020065,0.21417265058714882,0.23012316443291617,8.377704841937957,71.68079629659125,0.13836790281378347,6,23,40.36307692527771
1406,True,3273,Dist_water_dispenser_01,bottom,bottom,True,126154,112460,0.8914501323778874,0.1085498676221126,0.1085498676221126,0.11205601397225456,-0.0035061463501419587,1.9216661931234775,66.04771753341436,0.5543182373680778,6,10,41.25158214569092
1407,True,1587,Dist_metal_tool_chest,bottom,bottom,True,174060,157576,0.9052970240147076,0.09470297598529243,0.09470297598529243,0.12927811599317007,-0.03457514000787765,1.487138040263057,51.72960936942405,0.9942003358245979,6,35,38.19563364982605
1408,True,2059,Dist_chinese_screen_panels,left,left,True,2121,1156,0.545025931164545,0.454974068835455,0.454974068835455,0.384116739501305,0.07085732933415001,8.992944972024906,15.226051778724155,0.09300641369361244,6,10,30.425670862197876
1409,True,1850,Dist_utility_box_01,left,left,True,17135,14232,0.8305806828129559,0.16941931718704406,0.16941931718704406,0.19469823912813086,-0.0252789219410868,1.8980542675321215,4.088326592067158,0.5508755649419916,6,24,33.05774426460266
