usable_id,diagnostic_mode,n_context_requested,n_context_placed,n_context_visible,context_visible_pixel_ratio,context_screen_area_ratio,context_placement_attempts,context_reject_counts_by_reason,context_support_pass,cargo_on,n_cargo_placed,f_total_record,amodal_px,visible_px,runtime_s,rgb_rel
1279,context-rich,3,3,3,1.0,0.0793185763888889,6,"{""support"": 3}",True,True,2,0.004255319148936176,940,936,9.21316909790039,rgb/f1279_rgb.png
1280,context-rich,3,3,3,1.0,0.013264973958333334,6,"{""support"": 3}",True,False,0,0.0,2528,2528,8.20315670967102,rgb/f1280_rgb.png
1281,context-rich,3,3,3,1.0,0.36970029239766083,24,"{""support"": 17, ""camera_clearance"": 1, ""collision"": 3}",True,True,2,0.04698241482775645,52658,50184,11.390605211257935,rgb/f1281_rgb.png
1282,context-rich,3,3,3,1.0,0.3723958333333333,60,"{""occlusion_budget"": 9, ""collision"": 20, ""support"": 28}",True,False,0,0.0,1261,1261,26.017717838287354,rgb/f1282_rgb.png
1283,context-rich,3,3,3,1.0,0.08919270833333333,12,"{""support"": 4, ""collision"": 5}",True,True,1,0.2173785839672323,34180,26750,11.327511072158813,rgb/f1283_rgb.png
1284,context-rich,3,3,3,1.0,0.17008463541666666,47,"{""support"": 40, ""collision"": 4}",True,True,1,0.09827168796234032,148700,134087,16.79788088798523,rgb/f1284_rgb.png
1285,context-rich,3,3,3,1.0,0.21003898635477583,12,"{""collision"": 3, ""support"": 4, ""occlusion_budget"": 2}",True,False,0,1.3360410431761949e-05,74848,74847,11.905334949493408,rgb/f1285_rgb.png
1286,context-rich,3,3,3,1.0,0.018636067708333332,6,"{""support"": 2, ""collision"": 1}",True,False,0,0.0,11180,11180,12.115999460220337,rgb/f1286_rgb.png
1287,context-rich,3,3,3,1.0,0.10503472222222222,55,"{""camera_clearance"": 10, ""occlusion_budget"": 2, ""support"": 34, ""collision"": 6}",True,True,2,0.14311365298929313,15037,12885,15.777670860290527,rgb/f1287_rgb.png
1288,context-rich,3,1,1,1.0,0.2506510416666667,201,"{""occlusion_budget"": 53, ""support"": 104, ""collision"": 20, ""camera_clearance"": 23}",True,False,0,0.06864453302145734,41897,39021,71.02003598213196,rgb/f1288_rgb.png
1289,context-rich,3,3,3,1.0,0.15484892787524365,21,"{""occlusion_budget"": 6, ""support"": 12}",True,True,2,0.09642890530055159,21394,19331,19.245686054229736,rgb/f1289_rgb.png
1290,context-rich,3,3,3,1.0,0.3321940104166667,11,"{""occlusion_budget"": 5, ""support"": 2, ""collision"": 1}",True,True,2,0.042763157894736836,608,582,14.613085508346558,rgb/f1290_rgb.png
1291,context-rich,3,3,3,1.0,0.5199652777777778,25,"{""support"": 14, ""occlusion_budget"": 6, ""collision"": 2}",True,False,0,0.0,1427,1427,13.323164701461792,rgb/f1291_rgb.png
1292,context-rich,3,2,2,1.0,0.18330439814814814,188,"{""collision"": 14, ""support"": 167, ""camera_clearance"": 5}",True,True,0,0.0,162053,162053,16.531881093978882,rgb/f1292_rgb.png
1293,context-rich,3,3,3,1.0,0.11610623781676413,6,"{""support"": 3}",True,False,0,0.0,10881,10881,11.524487257003784,rgb/f1293_rgb.png
1294,context-rich,3,3,3,1.0,0.23551432291666666,45,"{""support"": 14, ""occlusion_budget"": 11, ""collision"": 9, ""camera_clearance"": 8}",True,True,2,0.08444317151176672,41898,38360,19.94416904449463,rgb/f1294_rgb.png
1295,context-rich,3,3,3,1.0,0.12801106770833334,116,"{""occlusion_budget"": 43, ""collision"": 27, ""support"": 41, ""camera_clearance"": 2}",True,False,0,0.0,14643,14643,62.8401460647583,rgb/f1295_rgb.png
1296,context-rich,3,3,3,1.0,0.08463541666666667,26,"{""support"": 15, ""collision"": 8}",True,False,0,0.013685957608902677,36753,36250,9.08881163597107,rgb/f1296_rgb.png
1297,context-rich,3,3,2,0.6666666666666666,0.2989156920077973,11,"{""support"": 2, ""collision"": 4, ""occlusion_budget"": 2}",True,True,2,0.21916299559471364,19976,15598,18.103891372680664,rgb/f1297_rgb.png
1298,context-rich,3,3,3,1.0,0.061279296875,11,"{""support"": 4, ""collision"": 4}",True,True,1,0.10267288926601614,2357,2115,16.501555919647217,rgb/f1298_rgb.png
1299,context-rich,3,3,3,1.0,0.036539713541666664,12,"{""support"": 8, ""collision"": 1}",True,True,2,0.22957198443579763,514,396,10.470523834228516,rgb/f1299_rgb.png
1300,context-rich,3,3,3,1.0,0.01547270955165692,18,"{""collision"": 2, ""support"": 13}",True,False,0,0.0,14025,14025,9.814486980438232,rgb/f1300_rgb.png
1301,context-rich,3,3,3,1.0,0.17854817708333334,102,"{""support"": 53, ""collision"": 29, ""occlusion_budget"": 17}",True,True,1,0.08179869546177432,130161,119514,46.32669806480408,rgb/f1301_rgb.png
1302,context-rich,3,3,3,1.0,0.038266782407407406,10,"{""occlusion_budget"": 7}",True,True,1,0.2265256538516507,6997,5412,23.181118726730347,rgb/f1302_rgb.png
1303,context-rich,3,3,3,1.0,0.11342592592592593,9,"{""support"": 4, ""collision"": 2}",True,False,0,0.0004247407777226986,268399,268285,8.602445840835571,rgb/f1303_rgb.png
1304,context-rich,3,0,0,0.0,0.0,0,{},True,False,0,0.0,2695,2695,4.9761481285095215,rgb/f1304_rgb.png
1305,context-rich,3,3,3,1.0,0.2995876736111111,24,"{""support"": 17, ""collision"": 4}",True,True,2,0.1631030217352889,16977,14208,12.783960342407227,rgb/f1305_rgb.png
1306,context-rich,3,3,3,1.0,0.12386067708333333,67,"{""support"": 22, ""collision"": 28, ""occlusion_budget"": 14}",True,True,2,0.21167911458534883,129205,101855,44.55507969856262,rgb/f1306_rgb.png
1307,context-rich,3,3,3,1.0,0.10678606237816764,6,"{""support"": 2, ""occlusion_budget"": 1}",True,False,0,0.0,26096,26096,11.794061422348022,rgb/f1307_rgb.png
1308,context-rich,3,3,3,1.0,0.02601120857699805,9,"{""occlusion_budget"": 6}",True,False,0,0.0,6610,6610,17.114150524139404,rgb/f1308_rgb.png
1309,context-rich,3,2,2,1.0,0.09285481770833333,183,"{""occlusion_budget"": 1, ""support"": 140, ""collision"": 40}",True,True,2,0.12042450097435087,75948,66802,17.704572200775146,rgb/f1309_rgb.png
1310,context-rich,3,3,3,1.0,0.016764322916666668,10,"{""occlusion_budget"": 5, ""support"": 2}",True,False,0,0.0,2369,2369,15.29545521736145,rgb/f1310_rgb.png
1311,context-rich,3,3,3,1.0,0.0978732638888889,44,"{""support"": 34, ""collision"": 7}",True,True,0,0.0608363649461513,27763,26074,14.007998943328857,rgb/f1311_rgb.png
1312,context-rich,3,3,3,1.0,0.04666179337231969,6,"{""support"": 3}",True,False,0,0.0,7173,7173,17.948941469192505,rgb/f1312_rgb.png
1313,context-rich,3,3,3,1.0,0.18375651041666666,8,"{""support"": 5}",True,False,0,0.037888233960553186,35288,33951,17.895939111709595,rgb/f1313_rgb.png
1314,context-rich,3,2,2,1.0,0.24013157894736842,192,"{""support"": 166, ""occlusion_budget"": 13, ""collision"": 11}",True,False,0,0.002164924821924319,117787,117532,27.433500051498413,rgb/f1314_rgb.png
1315,context-rich,3,3,1,0.3333333333333333,0.18538411458333334,17,"{""support"": 4, ""occlusion_budget"": 6, ""collision"": 4}",True,True,1,0.20432692307692313,2080,1655,24.809336185455322,rgb/f1315_rgb.png
1316,context-rich,3,3,3,1.0,0.0458984375,6,"{""collision"": 1, ""support"": 2}",True,True,2,0.14436707568781326,44089,37724,12.817947387695312,rgb/f1316_rgb.png
1317,context-rich,3,3,3,1.0,0.03027534113060429,9,"{""support"": 2, ""occlusion_budget"": 3, ""collision"": 1}",True,False,0,0.0,3080,3080,15.803153991699219,rgb/f1317_rgb.png
1318,context-rich,3,3,3,1.0,0.125,6,"{""support"": 3}",True,True,1,0.02956001925074092,78958,76624,16.636271476745605,rgb/f1318_rgb.png
1319,context-rich,3,0,0,0.0,0.0,0,{},True,False,0,0.0,3664,3664,5.6210410594940186,rgb/f1319_rgb.png
1320,context-rich,3,3,3,1.0,0.17578125,6,"{""support"": 3}",True,False,0,0.0,43049,43049,10.52715516090393,rgb/f1320_rgb.png
1321,context-rich,3,3,3,1.0,0.029378255208333332,9,"{""collision"": 5, ""support"": 1}",True,False,0,0.0,128134,128134,7.833358287811279,rgb/f1321_rgb.png
1322,context-rich,3,3,2,0.6666666666666666,0.13157894736842105,22,"{""occlusion_budget"": 18, ""support"": 1}",True,True,1,0.128495842781557,1323,1153,21.37970781326294,rgb/f1322_rgb.png
1323,context-rich,3,3,3,1.0,0.3051215277777778,36,"{""camera_clearance"": 7, ""support"": 7, ""collision"": 16, ""occlusion_budget"": 3}",True,True,2,0.1112769132381155,4691,4169,21.35915184020996,rgb/f1323_rgb.png
1324,context-rich,3,3,3,1.0,0.1918402777777778,6,"{""support"": 2, ""collision"": 1}",True,True,2,0.1551806766989361,10433,8814,12.778013706207275,rgb/f1324_rgb.png
1325,context-rich,3,3,3,1.0,0.20524088541666666,9,"{""support"": 5, ""collision"": 1}",True,False,0,0.0,59831,59831,7.885270595550537,rgb/f1325_rgb.png
1326,context-rich,3,0,0,0.0,0.0,0,{},True,False,0,0.0,1809,1809,7.041550397872925,rgb/f1326_rgb.png
1327,context-rich,3,3,3,1.0,0.047770182291666664,6,"{""support"": 3}",True,False,0,0.0,4822,4822,7.84964394569397,rgb/f1327_rgb.png
1328,context-rich,3,3,3,1.0,0.04672270955165692,63,"{""camera_clearance"": 18, ""collision"": 17, ""support"": 9, ""occlusion_budget"": 16}",True,False,0,0.0,133654,133654,31.219542264938354,rgb/f1328_rgb.png
1329,context-rich,3,3,3,1.0,0.21915690104166666,100,"{""support"": 84, ""camera_clearance"": 1, ""collision"": 12}",True,True,2,0.02860746840564532,42017,40815,18.2949001789093,rgb/f1329_rgb.png
1330,context-rich,3,3,3,1.0,0.13932291666666666,16,"{""occlusion_budget"": 12, ""support"": 1}",True,True,1,0.08763784097504357,1723,1572,29.200541734695435,rgb/f1330_rgb.png
1331,context-rich,3,3,3,1.0,0.09461805555555555,27,"{""support"": 18, ""collision"": 6}",True,False,0,0.051342554922701344,12290,11659,12.4483323097229,rgb/f1331_rgb.png
1332,context-rich,3,3,3,1.0,0.03155458089668616,6,"{""support"": 3}",True,True,0,0.0,4717,4717,13.178614616394043,rgb/f1332_rgb.png
1333,context-rich,3,3,3,1.0,0.10481770833333333,25,"{""support"": 22}",True,False,0,0.0,123769,123769,10.742588758468628,rgb/f1333_rgb.png
1334,context-rich,3,3,3,1.0,0.5077363547758285,78,"{""support"": 29, ""collision"": 41, ""occlusion_budget"": 5}",True,False,0,0.0,1515,1515,19.527138233184814,rgb/f1334_rgb.png
1335,context-rich,3,3,3,1.0,0.160400390625,60,"{""support"": 49, ""collision"": 8}",True,True,2,0.250653695841651,106701,79956,15.748095989227295,rgb/f1335_rgb.png
1336,context-rich,3,2,2,1.0,0.15413411458333334,43,"{""occlusion_budget"": 1, ""camera_clearance"": 1, ""collision"": 2, ""support"": 37}",True,True,2,0.005954349983460117,9069,9015,13.044055938720703,rgb/f1336_rgb.png
1337,context-rich,3,3,3,1.0,0.029541015625,6,"{""support"": 3}",True,False,0,0.0,1860,1860,11.182421445846558,rgb/f1337_rgb.png
1338,context-rich,3,3,3,1.0,0.1371527777777778,7,"{""support"": 3, ""collision"": 1}",True,False,0,0.0,2605,2605,7.83085823059082,rgb/f1338_rgb.png
1339,context-rich,3,3,3,1.0,0.4323221247563353,82,"{""occlusion_budget"": 18, ""collision"": 10, ""camera_clearance"": 9, ""support"": 42}",True,False,0,0.1027177844373256,29031,26049,41.735591411590576,rgb/f1339_rgb.png
1340,context-rich,3,3,3,1.0,0.11968315972222222,6,"{""support"": 2, ""occlusion_budget"": 1}",True,True,2,0.19613913676925876,5491,4414,13.436616659164429,rgb/f1340_rgb.png
1341,context-rich,3,3,3,1.0,0.040934244791666664,183,"{""collision"": 14, ""camera_clearance"": 4, ""support"": 143, ""occlusion_budget"": 19}",True,True,0,0.0,117931,117931,57.46453285217285,rgb/f1341_rgb.png
1342,context-rich,3,3,3,1.0,0.14982096354166666,6,"{""support"": 3}",True,False,0,0.0,1096,1096,10.00613260269165,rgb/f1342_rgb.png
