idx,frame_id,diagnostic_mode,stage,path,present,decode_ok,decode_error,sha256,content_sha256,width,height,area,all_black,rgb_sha256,within_frame_duplicate_group,cross_frame_duplicate_frame_count,cross_frame_duplicate_class
3,f0003,clean-static,m1,mask\f0003_m1.png,True,True,,bae467e8b923502955e77e1311e93fa1371a53cf1c7acc4c704ae608d8514345,5dd7ae9a038e554cda3666e5226e93cab2969abf905f3167ba28525abbd2ddff,640,480,41972,False,3a62029fe79aa82794cf51d6d4857af6e8170bcbbbe6b61c56627adb53fb3431,m0+m1+m2+m3+m4 [expected_no_op],,
3,f0003,clean-static,m2,mask\f0003_m2.png,True,True,,1ac2fd9446296991d407f879d3dc9cf6939a4d4e704b4777578a3185bc5fda99,5dd7ae9a038e554cda3666e5226e93cab2969abf905f3167ba28525abbd2ddff,640,480,41972,False,3a62029fe79aa82794cf51d6d4857af6e8170bcbbbe6b61c56627adb53fb3431,m0+m1+m2+m3+m4 [expected_no_op],,
3,f0003,clean-static,m3,mask\f0003_m3.png,True,True,,1c515722878a2f1da27c79f683f17ac04c3023c8da158009cac179bd89508c07,5dd7ae9a038e554cda3666e5226e93cab2969abf905f3167ba28525abbd2ddff,640,480,41972,False,3a62029fe79aa82794cf51d6d4857af6e8170bcbbbe6b61c56627adb53fb3431,m0+m1+m2+m3+m4 [expected_no_op],,
3,f0003,clean-static,m4,mask\f0003_m4.png,True,True,,bfe0fa12a0b4f2a644bf836b88d82134b5200d6bb2c17ab2f3fc817c7d0f112e,5dd7ae9a038e554cda3666e5226e93cab2969abf905f3167ba28525abbd2ddff,640,480,41972,False,3a62029fe79aa82794cf51d6d4857af6e8170bcbbbe6b61c56627adb53fb3431,m0+m1+m2+m3+m4 [expected_no_op],,
4,f0004,clean-static,m0,mask\f0004_m0.png,True,True,,6af7ac5a32fe407596ffe9e5a02b9fdc33905a296d1af96e3da97a6f907ad21b,0de81b2ce2fd1d894448b47ff78f52cd9e4f051c152299608553a791e149ce24,640,480,30,False,f855d16913e7101be830ef63d70888eaa5c78a5f34af1e87c82077432232513a,m0+m1+m2+m3+m4 [expected_no_op],,
4,f0004,clean-static,m1,mask\f0004_m1.png,True,True,,bc5d20d31d9375512020daf432e79ee8fd53caaaf1c48ffa533917936bcd400a,0de81b2ce2fd1d894448b47ff78f52cd9e4f051c152299608553a791e149ce24,640,480,30,False,f855d16913e7101be830ef63d70888eaa5c78a5f34af1e87c82077432232513a,m0+m1+m2+m3+m4 [expected_no_op],,
4,f0004,clean-static,m2,mask\f0004_m2.png,True,True,,bc5d20d31d9375512020daf432e79ee8fd53caaaf1c48ffa533917936bcd400a,0de81b2ce2fd1d894448b47ff78f52cd9e4f051c152299608553a791e149ce24,640,480,30,False,f855d16913e7101be830ef63d70888eaa5c78a5f34af1e87c82077432232513a,m0+m1+m2+m3+m4 [expected_no_op],,
4,f0004,clean-static,m3,mask\f0004_m3.png,True,True,,19548a12c6c77963c0e904af8b5369694ebfabca9877b5b027330609f75c8ce6,0de81b2ce2fd1d894448b47ff78f52cd9e4f051c152299608553a791e149ce24,640,480,30,False,f855d16913e7101be830ef63d70888eaa5c78a5f34af1e87c82077432232513a,m0+m1+m2+m3+m4 [expected_no_op],,
4,f0004,clean-static,m4,mask\f0004_m4.png,True,True,,356050a791d6c691fa145d071d23942694520ff73a0c2e4d3244bba4456cbf89,0de81b2ce2fd1d894448b47ff78f52cd9e4f051c152299608553a791e149ce24,640,480,30,False,f855d16913e7101be830ef63d70888eaa5c78a5f34af1e87c82077432232513a,m0+m1+m2+m3+m4 [expected_no_op],,
5,f0005,clean-static,m0,mask\f0005_m0.png,True,True,,44b7dbf3f3efd9a39587758b18034413b8e007276f5f6b88b63bd0325c20d957,ed1876b81988fd3344f4cb65c13c5d6a44244e6c9a74a9dd36133248d4f7055e,720,480,24596,False,a3f646d8821a0684f8d02037f8e4e64633bfd22e06210fe2fc5ccfb96ac8b974,m0+m1+m2+m3+m4 [expected_no_op],,
