idx,frame_id,label_present,geometry_ok,rendered,pallet_type,diagnostic_mode,noise_tier,image_w,image_h,fx,fy,cx,cy,label_reproj_consistency_px,camera_distance_measured_m,camera_distance_used_m,camera_distance_source,camera_distance_limit_m,elevation_deg_actual,projected_size_actual,object_depth_z_m,mask_m0_area,mask_m0_bbox_w_px,mask_m0_bbox_h_px,mask_m0_min_side_px,bbox_all_w_px,bbox_all_h_px,bbox_all_min_side_px,bbox_all_diag_px,bbox_vis_w_px,bbox_vis_h_px,bbox_vis_min_side_px,bbox_vis_diag_px,bbox_vis_area_px2,visible_kp_min_pair_dist_px,visible_kp_hull_area_px2,inframe_corner_count,visible_corner_count,visible_kp_count,V_vis_label,visible_corner_count_matches_label,pnp_exact_success,pnp_exact_inliers,pnp_exact_reproj_mean_px,pnp_exact_reproj_max_px,pnp_exact_trans_err_cm,pnp_exact_rot_err_deg,canonical3d_exact_reproj_mean_px,mc1px_solve_fail_rate,mc1px_diverged_rate,mc1px_pose_fail_rate,mc1px_trans_cm_q50,mc1px_trans_cm_q90,mc1px_trans_cm_q95,mc1px_rot_deg_q50,mc1px_rot_deg_q90,mc1px_rot_deg_q95,mc1px_reproj_px_q50,mc1px_reproj_px_q90,mc1px_reproj_px_q95,mc2px_solve_fail_rate,mc2px_diverged_rate,mc2px_pose_fail_rate,mc2px_trans_cm_q50,mc2px_trans_cm_q90,mc2px_trans_cm_q95,mc2px_rot_deg_q50,mc2px_rot_deg_q90,mc2px_rot_deg_q95,mc2px_reproj_px_q50,mc2px_reproj_px_q90,mc2px_reproj_px_q95,mc3px_solve_fail_rate,mc3px_diverged_rate,mc3px_pose_fail_rate,mc3px_trans_cm_q50,mc3px_trans_cm_q90,mc3px_trans_cm_q95,mc3px_rot_deg_q50,mc3px_rot_deg_q90,mc3px_rot_deg_q95,mc3px_reproj_px_q50,mc3px_reproj_px_q90,mc3px_reproj_px_q95,physical_valid,physical_violations,physical_unknown,gate_valid,gate_valid_unknown,gate_unknown_fields,G1_pass,G2_pass,G3_pass,G4_pass,G5_pass,pnp_eligible_candidate_2cell,pnp_eligible_candidate_3cell,pnp_eligible_candidate_4cell,tiny_warning,pnp_stress
0,f0000,True,True,True,Pallet_0,clean-static,,640,480,605.9065,605.9065,320,240,5.6843419e-14,1.7193802,1.7193802,label_recomputed,10,3.541,,1.6234832,31029,354,113,113,638.33054,115.56034,115.56034,648.70646,278.93434,115.56034,115.56034,301.92476,32233.747,12.562877,22197.863,6,6,7,6,True,True,7,3.7933453e-05,0.00011108151,7.8355391e-06,2.0913098e-06,3.7055253e-05,0,0,0,0.5819596,1.1751725,1.36144,0.21620633,0.38780885,0.43072201,0.99220806,1.3310363,1.4246947,0,0,0,1.1692839,2.474415,2.9781242,0.43395507,0.79284435,0.96893134,2.1015043,2.8251668,2.9585584,0,0,0.035,1.6109872,4.0216757,4.4675422,0.63351648,1.185157,1.3712334,3.0054609,4.104865,4.4438983,True,,ground_continuity_pass,False,False,,True,True,True,True,False,True,True,True,False,False
1,f0001,True,True,True,Pallet_3,controlled-occlusion,,960,540,615.22141,615.22141,480,270,2.2737368e-13,3.327199,3.327199,label_recomputed,10,22.895,,2.9714669,25775,255,166,166,257.01496,167.47035,167.47035,306.76214,163.31484,134.53672,134.53672,211.59363,21971.842,24.183971,12618.066,8,6,7,6,True,True,7,1.195918e-05,2.6762087e-05,6.2829636e-05,5.1226419e-06,1.5796565e-05,0,0,0.06,1.8115889,4.1555265,5.3199283,0.43658127,0.78622186,0.89381577,0.94622811,1.2867866,1.423684,0,0,0.405,3.844098,8.930596,10.300774,0.98114831,1.5796732,1.7333943,1.8755918,2.535975,2.726043,0,0,0.575,6.3412903,13.958584,16.780492,1.2796573,2.3476783,2.975081,2.8063084,3.9679529,4.2290051,True,,ground_continuity_pass,True,False,,True,True,True,True,True,True,True,True,False,False
2,f0002,True,True,True,Pallet_1,controlled-occlusion,,560,560,685.71855,685.71855,280,280,5.6843419e-14,6.8325905,6.8325905,label_recomputed,10,25.134,,6.4515081,6489,126,86,86,174.61703,86.517072,86.517072,194.87511,20.316734,86.517072,20.316734,88.870544,1757.7443,12.076947,388.49378,6,4,5,4,True,True,5,28.45759,45.801731,10121.448,9.2609847e-05,30.19776,0,0.795,1,236.41168,2.7042294e+12,5.8509949e+24,28.284712,163.76001,166.20433,21.049427,31.291443,32.75702,0,0.855,1,368.49966,3.5176023e+14,1.2739301e+26,100.33685,165.00322,170.02078,19.155886,31.636073,32.769326,0,0.935,1,413.43283,2.0316978e+11,2.52157e+23,112.7681,161.97293,169.64731,20.144944,32.263625,33.210329,True,,ground_continuity_pass,True,False,,True,True,True,True,True,True,False,False,False,True
3,f0003,True,True,True,Pallet_2,clean-static,,640,480,303.54083,303.54083,320,240,2.2737368e-13,1.1530171,1.1530171,label_recomputed,10,11.609,,1.0134848,41972,395,176,176,948.73394,289.79746,289.79746,992.00739,239.43376,88.109613,88.109613,255.131,21096.416,32.053274,11744.085,4,4,5,4,True,True,5,8.5294165e-06,1.1356109e-05,3.0837371e-06,7.0403978e-06,8.9146814e-06,0,0,0.005,0.56229989,0.98427329,1.087147,0.53319655,0.99253981,1.1392721,0.84448049,1.28913,1.3644103,0,0,0,1.0907153,2.0846214,2.2510981,1.1277356,2.0533757,2.2847957,1.6365801,2.5033461,2.6844945,0,0,0.005,1.648422,3.2202654,3.6343723,1.8273905,2.9207504,3.4718685,2.3560685,3.6401809,4.1807837,True,,ground_continuity_pass,True,False,,True,True,True,True,True,True,True,True,False,False
4,f0004,True,True,True,Pallet_3,clean-static,,640,480,601.02581,601.02581,320,240,5.6843419e-14,50.214603,50.214603,label_recomputed,10,4.692,,47.413923,30,12,3,3,12.270211,3.5219003,3.5219003,12.765652,12.270211,3.5219003,3.5219003,12.765652,43.21446,0.96723919,38.552193,8,8,9,8,True,True,9,4.9516911e-06,9.0836382e-06,0.0020801395,3.4722461e-05,4.8293342e-06,0,0.835,1,414.34368,3434.3543,6640.0792,6.008299,41.468312,43.42143,1.2147918,4.3702819,4.7938461,0,0.95,1,816.59488,5856.225,9772.5543,13.37771,96.743456,165.65916,2.4463099,4.8414779,5.0661802,0,0.965,1,1293.0284,6150.2392,8104.3557,28.337934,168.11671,172.23979,3.5943383,5.3102951,5.7866017,False,camera_distance_over_limit,ground_continuity_pass,True,False,,True,True,True,True,True,False,False,False,True,True
5,f0005,True,True,True,Pallet_2,clean-static,,720,480,605.9065,605.9065,360,240,1.1368684e-13,2.7183396,2.7183396,label_recomputed,10,14.423,,2.5598533,24596,360,106,106,363.40796,139.56032,139.56032,389.28451,357.08149,101.99498,101.99498,371.36258,36420.52,47.832358,22978.528,6,6,7,6,True,True,7,9.3420182e-06,1.6900335e-05,1.0485106e-05,1.7075473e-06,1.068056e-05,0,0,0,0.62350369,1.1854899,1.3770759,0.29238891,0.52606642,0.58521383,0.91004396,1.2151568,1.3756572,0,0,0.005,1.2152481,3.1294006,3.5658853,0.61634682,1.0169016,1.0821993,1.8280865,2.5483007,2.7164925,0,0,0.06,1.6443752,4.2533318,5.2807345,0.88929856,1.5927759,1.761287,2.8643903,3.9522545,4.3298046,True,,ground_continuity_pass,True,False,,True,True,True,True,True,True,True,True,False,False
6,f0006,True,True,True,Pallet_0,controlled-occlusion,,640,480,427.25178,427.25178,320,240,1.1368684e-13,4.1186016,4.1186016,label_recomputed,10,35.831,,3.5607856,14277,170,128,128,183.81403,131.21869,131.21869,225.84495,84.648746,78.441644,78.441644,115.40581,6639.9868,12.863825,3100.3602,6,4,5,4,True,True,5,1.3783968e-05,1.9187193e-05,0.0001437898,1.0933637e-05,1.0566594e-05,0,0.21,0.7,9.2894629,318.01489,341.4677,1.8095925,56.520275,63.780421,1.025933,20.068422,30.063946,0,0.225,0.805,15.221438,319.6501,345.93661,3.6156213,56.446559,67.628816,2.1044899,27.945096,30.52692,0,0.25,0.87,20.565246,281.66617,349.80209,5.0038913,51.318839,64.629409,3.1470764,26.240509,29.619024,True,,ground_continuity_pass,True,False,,True,True,True,True,True,True,True,True,False,True
7,f0007,True,True,True,Pallet_1,clean-static,,960,540,457.19189,457.19189,480,270,2.2737368e-13,0.88928526,0.88928526,label_recomputed,10,41.005,,0.88928526,250550,836,441,441,1032.3671,781.51156,781.51156,1294.8136,352.77165,171.16229,171.16229,392.10249,60381.203,42.907225,34435.012,4,4,5,4,True,True,5,1.5355043e-05,2.3488068e-05,6.8203321e-06,2.9575587e-06,1.5362979e-05,0,0,0.03,0.47197965,1.0447818,1.3989847,0.34720283,0.72233239,0.92383078,0.84621108,1.4299902,1.6358357,0,0,0.01,1.0195984,2.175167,2.7704223,0.71915877,1.3387008,1.5936601,1.7235057,2.6057611,2.9341914,0,0,0.015,1.4272055,3.109887,3.7550621,1.0808562,1.8118126,2.0959535,2.4472102,3.8651936,4.2127234,True,,ground_continuity_pass,True,False,,True,True,True,True,True,True,True,True,False,False
8,f0008,True,True,True,Pallet_3,clean-static,,640,480,332.12408,332.12408,320,240,1.1368684e-13,0.89967273,0.89967273,label_recomputed,10,20.376,,0.84949419,99256,381,299,299,936.85587,602.9828,602.9828,1114.1307,191.44166,73.760461,73.760461,205.15973,14120.825,33.203431,10246.658,4,4,5,4,True,True,5,7.1838687e-06,1.0483476e-05,6.7156111e-06,3.1945285e-06,7.2829863e-06,0,0,0.005,0.76366277,1.3022601,1.6725393,0.46585131,0.80080639,0.91417176,0.86267682,1.4073388,1.5764478,0,0,0.03,1.5334025,3.2269992,3.9884129,0.90560149,1.5132733,1.6928828,1.772286,2.7051985,3.1833604,0,0,0.04,2.2476141,4.1541674,4.5540627,1.4840245,2.4363548,2.7331636,2.7883935,3.9739146,4.6506405,True,,ground_continuity_pass,True,False,,True,True,True,True,True,True,True,True,False,False
9,f0009,True,True,True,Pallet_0,clean-static,,720,480,605.9065,605.9065,360,240,5.6843419e-14,9.9024802,9.9024802,label_recomputed,10,2.017,,8.8437421,1217,98,14,14,100.47885,13.874762,13.874762,101.43229,100.47885,13.874762,13.874762,101.43229,1394.1202,9.471889,1251.2128,8,8,9,8,True,True,9,2.1037172e-06,3.7108737e-06,2.4666006e-05,2.4148365e-06,1.9400043e-06,0,0,0.68,8.0278657,20.822704,24.402134,0.83717137,1.390108,1.6103968,1.0766309,1.3485996,1.4673162,0,0.005,0.84,16.883472,37.584005,45.751604,1.7918383,2.8606714,3.2433761,2.1041309,2.8003692,2.9793719,0,0.06,0.92,24.156223,61.870924,88.375738,2.7836571,5.3150006,6.7277186,3.2485942,4.2916151,5.3939192,True,,ground_continuity_pass,True,False,,True,True,True,True,True,False,False,False,True,True
