proposal_index,usable_slot,outcome,stage,primary_reject_reason,explicit_solver_fail_reason,f_target,f_target_bin,elevation_deg,elev_bin,azimuth_bin,v_target,proj_size_bin,proj_size_ratio,position_mode,scene_preset,pallet_type,fx,solve_reject_reason,cam_distance_m,v_probe,pallet_silhouette_px2,f_cargo_est,f_need,occ_name,occ_size_class,occ_side,occ_fill_ratio,occ_scale,occ_d_occ_m,occ_bbox_cross_m2,occ_in_position_band,occ_overlap_target_px2,occ_resample_tries,occluder_side_actual,occluder_side_match,explicit_occluder_visible_px,f_explicit_actual,explicit_abs_error,occluder_feedback_iterations,explicit_proposal_count,explicit_selected_stage,runtime_s,rt_background,rt_anchor,rt_cargo,rt_context,rt_explicit,rt_collision_audit,occ_bbox_x_m,occ_bbox_y_m,occ_bbox_z_m,occ_dim_max_m,occ_dim_mid_m,occ_dim_min_m,occ_footprint_m2,occ_screen_w_px,occ_screen_h_px,occ_screen_area_px2,occ_planned_bottom_z_m,A_target_px2,silhouette_over_target
1903,1400,rejected,render,usable_reject:rendered|usable_reject:realize_ok,bounded_local_search_exhausted,0.2785860087142999,2,20.44037399600981,3,11,5,4,0.7779790690382287,near-camera,outdoor-day,Pallet_3,665.126337882059,,1.4694301411579684,5,204063.13744091004,0.0,0.2785860087142999,concrete_road_barrier_02,road,left,0.7784,1.049256107503278,1.0284178484452327,1.74028,True,56849.13498538074,7,,,0,0.0,0.2785860087142999,36,6,,28.823633432388306,0.748859,0.082308,0.010059,10.911092,15.867718,0.085361,1.565,1.112,0.442,1.565,1.112,0.442,1.9159410424374563,936.9831944214848,665.766972649643,623812.4647735838,-0.45588045901932717,56849.13498538074,10.973121489605827
1904,1400,rejected,mode_filter,proposal_skip:mode_requires_explicit_occluder,,0.0,0,10.28470353649163,2,8,6,2,0.2978203323328299,,random-mix,Pallet_0,375.7869826693088,,1.9277360843809845,6,26742.434825890006,0.37498488189671486,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,1400,rejected,render,usable_reject:rendered|usable_reject:realize_ok,bounded_local_search_exhausted,0.41898120363364555,3,4.399825367634225,1,11,6,0,0.07661275773893383,near-pallet,outdoor-day,Pallet_1,385.80430218773046,,8.655231373405847,8,688.1203939350016,0.2688798473450326,0.15010135628861293,tool_cart,medium,bottom,0.3842,0.9796744070376694,5.465338887543392,1.2284449999999998,True,103.28780441949836,2,,,0,0.0,0.41898120363364555,36,6,,62.09318256378174,0.015018,0.114974,4.803562,8.339854,47.694106,0.426652,1.273,0.965,0.754,1.273,0.965,0.754,1.179014761057053,54.56809801391275,41.365447433955865,2257.2337899654594,-0.5331261650370646,103.28780441949836,21.853826815775996
1906,1400,rejected,render,usable_reject:rendered|usable_reject:realize_ok,bounded_local_search_exhausted,0.10362381932327244,1,7.27323295537084,1,3,5,2,0.31264566289543344,near-pallet,indoor,Pallet_2,605.9065,,3.806780721410229,4,10895.843920655003,0.0,0.10362381932327244,Balderdash_Game,small,bottom,0.7298,0.9855758166379309,2.2886499486000758,0.055145,True,1129.0689618085305,3,,,0,0.0,0.10362381932327244,36,6,,28.137383460998535,0.01214,0.107041,0.011423,7.750924,18.599486,0.19105,0.205,0.061,0.269,0.269,0.205,0.061,0.053565630123883365,59.96122372506639,45.69535637040374,2739.9494865224165,0.07240007861731884,1129.0689618085305,2.426733511594894
1907,1400,rejected,solve,solve_reject:C1,,0.0,0,5.20835705878622,1,10,7,4,0.675913086129468,,outdoor-night,Pallet_0,410.61741637115927,C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,1400,rejected,render,usable_reject:rendered|usable_reject:realize_ok,bounded_local_search_exhausted,0.2085870395724851,2,9.604780660360865,2,9,7,1,0.13442587898437483,near-camera,random-mix,Pallet_3,331.86124071261133,,2.8287534701117107,8,6927.974000014998,0.3902630072359711,0.0,,,,,,,,,,,,,0,0.0,0.2085870395724851,36,6,,46.42198634147644,0.009506,0.031832,2.051655,12.198404,31.321064,0.063311,,,,,,,,,,,,,
1909,1400,rejected,mode_filter,proposal_skip:mode_requires_explicit_occluder,,0.0,0,4.489528861646063,1,4,7,4,0.8082444921738856,,outdoor-night,Pallet_0,605.9065,,1.2884737315982266,6,114754.15020257504,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910,1400,rejected,mode_filter,proposal_skip:mode_requires_explicit_occluder,,0.0,0,14.014868379132654,2,7,6,3,0.5008790183022285,,outdoor-day,Pallet_0,612.1743285767844,,1.4004374826317445,6,149116.676124515,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,1400,accepted,usable,,,0.17465044472507862,1,0.7423680230502536,0,10,6,0,0.09832987100197069,near-pallet,indoor,Pallet_1,567.2945487927798,,9.915984794875294,6,1133.4841252900014,0.039844502983721886,0.13480594174135674,Closetmaid_Premium_Fabric_Cube_Red,indoor,left,0.888,1.0355849510008057,7.054170310087322,0.093058,True,152.80039495859663,3,left,True,55,,,1,6,preprobe,24.17514419555664,0.014672,0.113385,2.500787,12.566887,5.240483,0.478935,0.322,0.275,0.289,0.322,0.289,0.275,0.09979876703782162,25.270320785747984,22.680505301494307,573.1436445516189,-0.0470355280161745,152.80039495859663,3.7509303867108463
1912,1401,rejected,mode_filter,proposal_skip:mode_requires_explicit_occluder,,0.0,0,10.372923834156275,2,6,5,1,0.11480737891959263,,outdoor-day,Pallet_2,427.44299714744403,,6.39913268868987,8,2184.869710445002,0.4614778128496403,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
