proposal_index,usable_slot,frame_outcome,status,baseline_proposals,baseline_proposals_removed,candidates_after_prefilter,candidates_before_prefilter,prefilter_reject_count,prefilter_reject_counts_by_reason,winner_in_baseline_proposals,winner_kept,winner_object,winner_prefilter_reason
1942,1406,accepted,ok,6,0,73,98,25,"{""prefilter_fill_ratio_too_low"": 1, ""prefilter_floor_support_infeasible"": 21, ""prefilter_insufficient_projected_area"": 3}",True,True,Dist_water_dispenser_01,
1944,1407,expensive,ok,6,3,118,183,65,"{""prefilter_fill_ratio_too_low"": 26, ""prefilter_floor_support_infeasible"": 25, ""prefilter_insufficient_projected_area"": 14}",False,False,,
1946,1407,accepted,ok,6,0,69,132,63,"{""prefilter_fill_ratio_too_low"": 2, ""prefilter_floor_support_infeasible"": 59, ""prefilter_insufficient_projected_area"": 2}",True,True,Dist_metal_tool_chest,
1948,1408,accepted,ok,6,2,159,224,65,"{""prefilter_fill_ratio_too_low"": 31, ""prefilter_floor_support_infeasible"": 6, ""prefilter_insufficient_projected_area"": 28}",True,True,Dist_chinese_screen_panels,
1950,1409,expensive,ok,6,5,46,153,107,"{""prefilter_fill_ratio_too_low"": 14, ""prefilter_floor_support_infeasible"": 89, ""prefilter_insufficient_projected_area"": 4}",False,False,,
1951,1409,expensive,ok,6,6,24,110,86,"{""prefilter_fill_ratio_too_low"": 10, ""prefilter_floor_support_infeasible"": 75, ""prefilter_insufficient_projected_area"": 1}",False,False,,
1953,1409,expensive,filtered_reject:diagnostic_explicit_prefilter_exhausted,6,6,,,,{},False,False,,
1955,1409,expensive,ok,6,1,129,237,108,"{""prefilter_fill_ratio_too_low"": 82, ""prefilter_floor_support_infeasible"": 24, ""prefilter_insufficient_projected_area"": 2}",False,False,,
1956,1409,expensive,filtered_reject:diagnostic_explicit_prefilter_exhausted,6,6,,,,{},False,False,,
1957,1409,expensive,ok,6,4,90,171,81,"{""prefilter_fill_ratio_too_low"": 31, ""prefilter_floor_support_infeasible"": 49, ""prefilter_insufficient_projected_area"": 1}",False,False,,
1958,1409,accepted,ok,6,1,278,381,103,"{""prefilter_fill_ratio_too_low"": 93, ""prefilter_insufficient_projected_area"": 10}",True,True,Dist_utility_box_01,
1960,1410,expensive,ok,6,0,107,140,33,"{""prefilter_fill_ratio_too_low"": 19, ""prefilter_floor_support_infeasible"": 7, ""prefilter_insufficient_projected_area"": 7}",False,False,,
1963,1410,accepted,ok,6,1,267,383,116,"{""prefilter_fill_ratio_too_low"": 110, ""prefilter_floor_support_infeasible"": 6}",True,True,Dist_utility_box_01,
1965,1411,expensive,ok,6,5,43,133,90,"{""prefilter_fill_ratio_too_low"": 31, ""prefilter_floor_support_infeasible"": 58, ""prefilter_insufficient_projected_area"": 1}",False,False,,
1967,1411,accepted,ok,6,2,161,226,65,"{""prefilter_fill_ratio_too_low"": 37, ""prefilter_floor_support_infeasible"": 12, ""prefilter_insufficient_projected_area"": 16}",True,True,Dist_utility_box_01,
