axis,key,prescribed,accepted_frac,attempted_frac,accepted_n,abs_err_accepted,cap_related
scene_preset,indoor,0.25,0.2500563189907637,0.254,1110,5.6318990763692955e-05,0
scene_preset,outdoor-day,0.3,0.30006758278891643,0.2956,1332,6.758278891644265e-05,0
scene_preset,outdoor-night,0.25,0.24983104302770895,0.2496,1109,0.0001689569722910511,0
scene_preset,random-mix,0.2,0.20004505519261095,0.2008,888,4.505519261094326e-05,0
elev_bin,0,0.08,0.08042351881054291,0.0784,357,0.0004235188105429083,0
elev_bin,1,0.18,0.1799954944807389,0.1808,799,4.505519261094326e-06,0
elev_bin,2,0.2,0.19936922730344672,0.1972,885,0.0006307726965532889,0
elev_bin,3,0.2,0.20004505519261095,0.2,888,4.505519261094326e-05,0
elev_bin,4,0.16,0.15994593376886687,0.1564,710,5.4066231133131915e-05,0
elev_bin,5,0.1,0.10002252759630548,0.1026,444,2.252759630547163e-05,0
elev_bin,6,0.08,0.08019824284748818,0.0846,356,0.0001982428474881781,0
azimuth_bin,0,0.08333333333333333,0.08335210633025456,0.081,370,1.877299692122636e-05,0
azimuth_bin,1,0.08333333333333333,0.08312683036719982,0.0852,369,0.00020650296613350383,0
azimuth_bin,2,0.08333333333333333,0.08335210633025456,0.0846,370,1.877299692122636e-05,0
azimuth_bin,3,0.08333333333333333,0.08335210633025456,0.0812,370,1.877299692122636e-05,0
azimuth_bin,4,0.08333333333333333,0.08335210633025456,0.0842,370,1.877299692122636e-05,0
azimuth_bin,5,0.08333333333333333,0.08335210633025456,0.0802,370,1.877299692122636e-05,0
azimuth_bin,6,0.08333333333333333,0.08335210633025456,0.0812,370,1.877299692122636e-05,0
azimuth_bin,7,0.08333333333333333,0.08335210633025456,0.0842,370,1.877299692122636e-05,0
azimuth_bin,8,0.08333333333333333,0.08335210633025456,0.083,370,1.877299692122636e-05,0
azimuth_bin,9,0.08333333333333333,0.08335210633025456,0.0854,370,1.877299692122636e-05,0
azimuth_bin,10,0.08333333333333333,0.08335210633025456,0.088,370,1.877299692122636e-05,0
azimuth_bin,11,0.08333333333333333,0.08335210633025456,0.0818,370,1.877299692122636e-05,0
v_target,4,0.15,0.15003379139445822,0.1514,666,3.3791394458221324e-05,0
v_target,5,0.25,0.2502815949538184,0.2492,1111,0.00028159495381840927,0
v_target,6,0.3,0.29961703086280694,0.2938,1330,0.0003829691371930455,0
v_target,7,0.2,0.20004505519261095,0.1992,888,4.505519261094326e-05,0
v_target,8,0.1,0.10002252759630548,0.1064,444,2.252759630547163e-05,0
f_target_bin,0,0.4,0.4000901103852219,0.392,1776,9.011038522188652e-05,0
f_target_bin,1,0.25,0.2500563189907637,0.2476,1110,5.6318990763692955e-05,0
f_target_bin,2,0.2,0.1998197792295562,0.1998,887,0.0001802207704438008,0
f_target_bin,3,0.15,0.15003379139445822,0.1606,666,3.3791394458221324e-05,0
aspect,4:3,0.5,0.4998873620184726,0.4828,2219,0.00011263798152738591,0
aspect,16:9,0.25,0.2500563189907637,0.2764,1110,5.6318990763692955e-05,0
aspect,3:2,0.15,0.15003379139445822,0.147,666,3.3791394458221324e-05,0
aspect,1:1,0.1,0.10002252759630548,0.0938,444,2.252759630547163e-05,0
fx_mode,random,0.7,0.6999324172110836,0.711,3107,6.758278891638714e-05,0
fx_mode,anchor,0.3,0.30006758278891643,0.289,1332,6.758278891644265e-05,0
cargo_on,0,0.5,0.5001126379815274,0.5008,2220,0.00011263798152738591,0
cargo_on,1,0.5,0.4998873620184726,0.4992,2219,0.00011263798152738591,0
proj_size_bin,0,0.2,0.20004505519261095,0.1784,888,4.505519261094326e-05,1
proj_size_bin,1,0.2,0.20004505519261095,0.1796,888,4.505519261094326e-05,1
proj_size_bin,2,0.2,0.20004505519261095,0.178,888,4.505519261094326e-05,1
proj_size_bin,3,0.2,0.20004505519261095,0.1862,888,4.505519261094326e-05,1
proj_size_bin,4,0.2,0.1998197792295562,0.2778,887,0.0001802207704438008,1
pallet_type,Pallet_0,0.25,0.24983104302770895,0.2488,1109,0.0001689569722910511,0
pallet_type,Pallet_1,0.25,0.2500563189907637,0.253,1110,5.6318990763692955e-05,0
pallet_type,Pallet_2,0.25,0.2500563189907637,0.2444,1110,5.6318990763692955e-05,0
pallet_type,Pallet_3,0.25,0.2500563189907637,0.2538,1110,5.6318990763692955e-05,0
position_mode,near-pallet,0.6,0.6000751032669921,0.5980263157894737,1598,7.510326699211589e-05,0
position_mode,near-camera,0.4,0.3999248967330079,0.4019736842105263,1065,7.510326699211589e-05,0
