candidates_after_prefilter,candidates_before_prefilter,diagnostic_mode,lowres_render_count,prefilter_reject_count,proposal_prepare_s,realization_attempt_count,runtime_s,stage_anchor,stage_background,stage_cargo,stage_collision_audit,stage_context,stage_explicit,usable_id
,,clean-static,0,,,0,6.467190265655518,0.139928,0.885296,0.010517,0.068538,0.000925,1.8e-05,0
,,cargo-only,8,,,0,11.336408376693726,0.048044,0.015602,5.349813,0.060874,0.000979,2.1e-05,1
,,context-rich,17,,,0,22.140578508377075,0.224214,0.045304,4.426598,0.340697,11.496423,3.7e-05,2
133,229,controlled-occlusion,38,96,1.706495,2,41.190797328948975,1.716695,0.020692,0.020121,0.276669,13.441722,19.844992,3
,,context-rich,37,,,0,27.240599870681763,0.210019,0.048035,3.957357,0.391895,16.883325,3.7e-05,4
107,209,controlled-occlusion,95,102,1.743109,9,53.542211055755615,0.123787,0.016396,5.200449,0.360115,17.686679,23.865339,5
,,clean-static,0,,,0,4.96879506111145,0.120397,0.021072,0.009795,0.086314,0.000716,2.1e-05,6
,,cargo-only,8,,,0,11.755192279815674,0.052418,0.015927,5.87118,0.068063,0.001312,2.5e-05,7
,,context-rich,19,,,0,24.853123903274536,0.051946,0.015793,0.008504,0.102825,17.390899,5.1e-05,8
55,195,controlled-occlusion,43,140,1.757727,8,29.19108295440674,0.229243,0.061345,0.02125,0.348447,7.95999,14.779701,9
