proposal_index,usable_slot,diagnostic_mode,framespec_canonical_sha256,plan_canonical_sha256,frame_seed,attempt_seed,target_side,f_target,elevation_deg,projected_size_ratio,camera_distance_m,selected_assets,target_mask_stats,old_outcome,old_solver_fail_reason,old_explicit_visible_pixels,old_side_actual,old_side_match,old_realization_attempt_count,old_lowres_render_count,old_runtime_s,old_stage_cargo_s,old_stage_context_s,old_stage_explicit_s,old_reject_counts
3,3,controlled-occlusion,9c77bc4da902a95bfaf431eb05b0df77216f12183bd5d498ba2c0cc935e4b8ed,f6fd610f85e53791efeb3b0df4fc82147121b9d8973b07b6c18fd86dec00f174,13049913855521875379,13049913855521875379,right,0.20730570984469082,52.90708284128163,0.5505824081795355,1.2609699370506304,"['Dist_traffic_barricade_01', 'Dist_construction_sign_01', 'Dist_chinese_screen_panels', 'Dist_utility_box_01', 'Dist_sledgehammer_01', 'Dist_concrete_road_barrier_02']","{'visible_pixels': 12854, 'bbox_px': [33, 8, 210, 127], 'centroid_px': [118.21067372024272, 71.06099268710129], 'centroid_norm': [0.5207518666089987, 0.5595353754889866]}",expensive_reject,bounded_local_search_exhausted,0,,,19,72,130.52551126480103,0.015809,73.07156,49.870431,"{""camera_clearance"": 7, ""candidate_budget_exhausted"": 10, ""collision"": 6, ""score_callback"": 14, ""support"": 9}"
4,3,controlled-occlusion,3b7ea34fb8ab9d347771215c5d5d71e6665a30a830ad94182118146f1afc4553,044a64fb5c6833cf12a41ea09cc1a240419ada3f383f4f11235044995e5178d8,15602878787975640301,15602878787975640301,right,0.42654963055699835,4.38273518067479,0.2575001502880079,2.3163719422255102,"['Dist_korean_fire_extinguisher_01', 'Dist_chinese_screen_panels', 'Dist_water_dispenser_01', 'Dist_Shelf_01', 'Dist_forklift_02', 'Dist_wooden_bookshelf_worn']","{'visible_pixels': 583, 'bbox_px': [73, 121, 162, 127], 'centroid_px': [115.96397941680961, 124.1286449399657], 'centroid_norm': [0.5108545348758132, 0.9773909050391]}",expensive_reject,bounded_local_search_exhausted,0,,,21,133,74.4275176525116,0.019995,37.016078,35.411834,"{""candidate_budget_exhausted"": 12, ""score_callback"": 34, ""support"": 2}"
7,3,controlled-occlusion,1b13799d11e98d0dd87c1ecc23697dbb6f9c39fadce665b494f32ac784752071,d8220c3125043a7f36423db671708aa11e23a7fb0a1709fa4d503c55f68f4015,11332079460337894273,11332079460337894273,bottom,0.2629645435228422,60.28642245884304,0.9008782028473707,1.1559851193907036,['Dist_old_tyre'],"{'visible_pixels': 10591, 'bbox_px': [26, 12, 170, 127], 'centroid_px': [108.6858653573789, 76.49900859220092], 'centroid_norm': [0.6393286197492877, 0.6023543983637868]}",expensive_reject,bounded_local_search_exhausted,0,,,5,35,40.633838415145874,9.49761,20.705099,9.233334,"{""candidate_budget_exhausted"": 2, ""collision"": 6, ""score_callback"": 3, ""support"": 3}"
8,3,controlled-occlusion,dcacb59bea00dc691dd384b20322d6259f3af7e20e2caf31c2214f047c5a2b55,a2e3f6482978a9d6251049a216858c8f16985068ccef6a848bf4874cbd2914dd,11535155129451680862,11535155129451680862,left,0.19537258492039322,2.962271122006416,0.08450913319032577,7.323799118759979,"['Dist_fire_hydrant', 'Dist_construction_sign_01', 'Dist_chinese_screen_panels', 'Dist_utility_box_01', 'Dist_industrial_storage_cart', 'Dist_forklift_01']","{'visible_pixels': 38, 'bbox_px': [79, 36, 92, 38], 'centroid_px': [85.71052631578948, 37.0], 'centroid_norm': [0.5041795665634675, 0.29133858267716534]}",accepted,,228,left,True,2,38,41.190797328948975,0.020121,13.441722,19.844992,"{""score_callback"": 3}"
11,5,controlled-occlusion,fd8a2914d8740a4d65a94f9730df6ae276e89da0c135f64d0617ba00007a2040,932b73f89bf2a4e9f24582d0ec4d4f2006be5fe78feabb8e7286eb6583f8026f,2583724101822358085,2583724101822358085,right,0.27312834436863037,8.711781295350534,0.12662179445888,5.483004466571469,"['Dist_metal_trash_can', 'Dist_chinese_screen_panels', 'Dist_Shelf_01', 'Dist_water_dispenser_01', 'Dist_drawer_cabinet', 'Dist_cargo_truck_01']","{'visible_pixels': 204, 'bbox_px': [92, 121, 135, 127], 'centroid_px': [112.98039215686275, 124.84803921568627], 'centroid_norm': [0.49771097866459363, 0.9830554268951675]}",accepted,,12513,right,True,9,95,53.542211055755615,5.200449,17.686679,23.865339,"{""candidate_budget_exhausted"": 5, ""score_callback"": 20}"
18,9,controlled-occlusion,3441f1ef6f5dab50753dc28a6cd13fecd0147023e967d4c9a935616729969720,86ac154a5fbd707e4afef6eaf4a9b22fc646a501e43ada4b81d1d7693179d236,14916702543800982362,14916702543800982362,bottom,0.14684539908486832,65.9858010901019,0.1358814663770036,5.20196505599571,"['Dist_covered_car', 'Dist_construction_sign_01', 'Dist_chinese_screen_panels', 'Dist_utility_box_01', 'Dist_water_dispenser_01', 'Dist_delivery_truck_01']","{'visible_pixels': 298, 'bbox_px': [74, 69, 99, 93], 'centroid_px': [86.71476510067114, 81.09731543624162], 'centroid_norm': [0.6827934259895365, 0.6385615388680442]}",accepted,,193,bottom,True,8,43,29.19108295440674,0.02125,7.95999,14.779701,"{""candidate_budget_exhausted"": 5, ""score_callback"": 9, ""support"": 3}"
26,13,controlled-occlusion,e0df99e06b023d156b3b122736adc960518654d623ba650a1378fa99eccd5790,06e2ca7d67ba794dfbe353b18f62afcb5a5558366859e48300a885de2d029c32,9487154585097155991,9487154585097155991,left,0.39950323821430234,3.462683678820705,0.09439136881623088,8.61625821288446,"['Dist_compost_bags', 'Dist_Shelf_01', 'Dist_water_dispenser_01', 'Dist_wooden_bookshelf_worn', 'Dist_forklift_02', 'Dist_chinese_screen_panels']","{'visible_pixels': 65, 'bbox_px': [74, 27, 96, 30], 'centroid_px': [84.58461538461539, 28.723076923076924], 'centroid_norm': [0.4975565610859729, 0.22616596002422776]}",accepted,,455,left,True,4,59,32.514846324920654,0.018152,6.783348,19.862133,"{""score_callback"": 14}"
29,15,controlled-occlusion,5352bd82d4f43a194f1f8e423979b19eac350e592a23768a0e12f3633aac6c14,60d358f7c5f381353bc64023e990e127e0cdc4769cae2b2a0cd18766a6e5f770,1412974724993754688,1412974724993754688,right,0.42607351843249974,22.618060782944863,0.3995691078192138,2.6382608352813337,"['Dist_drawer_cabinet', 'Dist_construction_sign_01', 'Dist_Shelf_01', 'Dist_utility_box_01', 'Dist_wooden_bookshelf_worn', 'Dist_forklift_02']","{'visible_pixels': 2326, 'bbox_px': [38, 47, 132, 92], 'centroid_px': [87.66251074806534, 66.75193465176268], 'centroid_norm': [0.5156618279297961, 0.5256057846595487]}",expensive_reject,bounded_local_search_exhausted,0,,,19,56,43.14216208457947,0.017971,16.047018,25.084327,"{""camera_clearance"": 19, ""candidate_budget_exhausted"": 11, ""score_callback"": 16, ""support"": 1}"
30,15,controlled-occlusion,23c11431c5932bc81b617b1be89f7b24e5a895eedd3ca93f3871825efc6d5919,6334dc293a197325b830fc9c68c456bece9222cbcf0d44acd9315c0ddeaf9c96,14768758417700336945,14768758417700336945,left,0.21813793003112078,4.427951783379555,0.7993471181563221,1.1580582016060776,"['Dist_wooden_crate_01', 'Dist_chinese_screen_panels', 'Dist_water_dispenser_01', 'Dist_portable_welding_cart', 'Dist_painted_wooden_cabinet', 'Dist_industrial_storage_cart']","{'visible_pixels': 4434, 'bbox_px': [0, 53, 103, 110], 'centroid_px': [57.002931889941365, 76.86671177266577], 'centroid_norm': [0.29844466958084487, 0.6052496989973682]}",expensive_reject,bounded_local_search_exhausted,0,,,17,68,56.53138089179993,5.099218,20.572548,29.059582,"{""camera_clearance"": 6, ""candidate_budget_exhausted"": 8, ""score_callback"": 15, ""support"": 15}"
32,15,controlled-occlusion,0c1ec032c753f4e849c5ca01e5ef70ba6be680b1dcb08689325f6e01e2daea30,b5eaf4776bb07579a74e5ee3c84bdb0f6a1a59d06b0caec6015296030f5ec12d,8223865498954692682,8223865498954692682,right,0.17802966484806917,53.23170958929934,0.3331675541161875,1.9850498297175045,"['Dist_concrete_road_barrier', 'Dist_construction_sign_01', 'Dist_chinese_screen_panels', 'Dist_utility_box_01', 'Dist_forklift_02', 'Dist_concrete_road_barrier_02']","{'visible_pixels': 4213, 'bbox_px': [55, 73, 163, 127], 'centroid_px': [111.41941609304534, 104.81011155945882], 'centroid_norm': [0.490834432127953, 0.8252764689721167]}",expensive_reject,bounded_local_search_exhausted,0,,,20,41,49.7745840549469,0.015683,22.36654,26.176577,"{""candidate_budget_exhausted"": 11, ""collision"": 1, ""score_callback"": 10, ""support"": 25}"
