proposal_index,usable_slot,old_outcome,new_outcome,replayed,old_runtime_s,new_runtime_s,old_stage_context_s,new_stage_context_s,old_stage_explicit_s,new_stage_explicit_s,new_stage_explicit_prep_s,old_explicit_visible_pixels,new_explicit_visible_pixels,old_side_match,new_side_match,new_metrics_available,new_f_explicit_target,new_f_explicit_actual_lowres,new_explicit_abs_error_lowres,old_realization_attempt_count,new_realization_attempt_count,new_coarse_eval_count,new_fine_eval_count,new_search_winning_stage,new_solver_fail_reason,old_solver_fail_reason,new_context_skipped,new_reject_counts
59,23,accepted,accepted,True,46.748077630996704,46.45563507080078,10.413602,9.599188,23.614857,23.863803,0.102039,323,323,True,True,True,0.23646578345592215,0.21397379912663755,0.022491984329284592,8,8,21,0,target-seed,,,False,"{""candidate_budget_exhausted"": 3, ""collision"": 8, ""score_callback"": 5, ""support"": 1}"
62,25,expensive_reject,rejected,True,63.97418832778931,51.79189467430115,38.603657,0.002009,21.476127,47.596875,0.165133,0,0,,,False,0.3765922942059385,,,21,21,60,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 10, ""collision"": 10, ""score_callback"": 23, ""support"": 27}"
65,25,accepted,accepted,True,82.286048412323,68.05581879615784,28.929931,32.083418,39.245868,21.407623,0.204157,187,218,True,True,True,0.12697100401716757,0.13544668587896252,0.008475681861794954,4,2,9,0,target-seed,,,False,"{""score_callback"": 4}"
69,29,expensive_reject,rejected,True,65.00836300849915,87.65464782714844,12.501767,0.001124,51.28225,86.341712,0.095492,0,0,,,False,0.19727292210701583,,,21,23,60,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""camera_clearance"": 1, ""candidate_budget_exhausted"": 11, ""score_callback"": 59}"
70,29,accepted,accepted,True,69.9708514213562,57.019025802612305,31.806203,18.566526,29.525998,29.618119,0.204476,5081,5081,True,True,True,0.3343477429268502,0.30638297872340425,0.027964764203445958,8,8,21,0,target-seed,,,False,"{""camera_clearance"": 6, ""candidate_budget_exhausted"": 3, ""score_callback"": 14}"
76,33,accepted,accepted,True,41.1987624168396,39.847291231155396,12.089845,10.822472,17.470266,16.978327,0.133278,4409,4409,True,True,True,0.19524197566885365,0.17571059431524547,0.019531381353608185,2,2,9,0,target-seed,,,False,"{""score_callback"": 4}"
79,35,expensive_reject,rejected,True,66.66828656196594,28.234276056289673,38.361478,0.001343,18.11909,17.868297,0.049055,0,0,,,False,0.1658813642859568,,,16,16,36,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 7, ""collision"": 2, ""score_callback"": 8, ""support"": 26}"
80,35,expensive_reject,rejected,True,52.3843457698822,64.10896825790405,19.835379,0.001364,31.205169,62.825888,0.097669,0,0,,,False,0.4392823720272658,,,20,20,60,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 9, ""score_callback"": 40, ""support"": 20}"
82,35,accepted,accepted,True,47.629260540008545,55.76833367347717,9.961312,17.922618,32.328276,32.250523,0.133446,2655,2655,True,True,True,0.3350807686779613,0.3695395513577332,0.03445878267977187,4,4,18,0,target-seed,,,False,"{""score_callback"": 14}"
91,39,expensive_reject,rejected,True,40.85218667984009,60.48095703125,8.346577,0.001548,30.254879,58.432249,0.190964,0,0,,,False,0.14280944862934175,,,20,21,60,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 9, ""score_callback"": 60}"
93,39,accepted,accepted,True,72.17171239852905,35.58420276641846,52.960811,7.549269,13.40905,21.383901,0.167904,6220,6220,True,True,True,0.43973900871519656,0.34590129209913156,0.09383771661606499,10,10,32,0,primary,,,False,"{""camera_clearance"": 9, ""candidate_budget_exhausted"": 3, ""collision"": 2, ""score_callback"": 15, ""support"": 5}"
98,43,expensive_reject,rejected,True,132.66266751289368,143.16899132728577,37.271742,0.002163,87.600684,135.737434,0.138251,0,0,,,False,0.24634478013907238,,,21,21,60,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 9, ""score_callback"": 57, ""support"": 3}"
100,43,expensive_reject,rejected,True,78.04946494102478,107.12107944488525,16.410545,0.001368,53.26272,98.642202,0.108174,0,0,,,False,0.4010295429731762,,,20,21,59,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""camera_clearance"": 2, ""candidate_budget_exhausted"": 10, ""score_callback"": 57}"
102,43,expensive_reject,rejected,True,68.78973269462585,72.0325517654419,12.482393,0.001414,40.02274,55.534962,0.105962,0,0,,,False,0.1852509059040689,,,20,20,52,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 9, ""collision"": 14, ""score_callback"": 21, ""support"": 17}"
104,43,accepted,accepted,True,24.649908781051636,25.136135816574097,7.905428,7.9501,10.563049,10.704883,0.158737,368,368,True,True,True,0.38540231592339785,0.36507936507936506,0.020322950844032794,2,2,9,0,target-seed,,,False,"{""score_callback"": 7}"
109,45,expensive_reject,rejected,True,60.395020723342896,64.4170835018158,18.852338,0.001392,40.315314,63.151426,0.106485,0,0,,,False,0.3356562823526332,,,20,20,52,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""camera_clearance"": 10, ""candidate_budget_exhausted"": 9, ""score_callback"": 42}"
112,45,expensive_reject,rejected,True,60.97867155075073,46.11549377441406,29.590096,0.001112,25.980726,40.610303,0.155461,0,0,,,False,0.40366298099237796,,,20,20,52,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 9, ""collision"": 1, ""score_callback"": 39, ""support"": 12}"
113,45,accepted,accepted,True,65.30609941482544,132.90405535697937,21.320899,73.626358,37.63962,52.757437,0.130285,805,805,True,True,True,0.3290793167680911,0.2718168812589413,0.05726243550914978,8,9,32,0,gate-overlap-refine,,,False,"{""camera_clearance"": 9, ""candidate_budget_exhausted"": 3, ""score_callback"": 21}"
118,49,expensive_reject,rejected,True,72.83314037322998,67.63331913948059,27.500725,0.001173,39.171364,61.368465,0.100358,0,0,,,False,0.2957990747707349,,,20,20,52,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 9, ""collision"": 8, ""score_callback"": 39, ""support"": 5}"
120,49,expensive_reject,rejected,True,59.793081283569336,40.469900608062744,36.669306,0.002101,20.662082,37.666855,0.236582,0,0,,,False,0.17497335320751256,,,17,17,52,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 6, ""score_callback"": 26, ""support"": 26}"
121,49,accepted,accepted,True,75.17262387275696,87.61704897880554,23.508964,12.280353,38.158153,60.244649,0.100313,2710,2710,True,True,True,0.4495132565574447,0.3848009650180941,0.0647122915393506,9,10,40,0,gate-overlap-refine,,,False,"{""candidate_budget_exhausted"": 3, ""score_callback"": 39}"
128,53,expensive_reject,rejected,True,88.16813659667969,103.38357734680176,14.739975,0.00145,56.413544,86.445627,0.104991,0,0,,,False,0.2706757082905613,,,20,20,52,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""camera_clearance"": 8, ""candidate_budget_exhausted"": 9, ""collision"": 1, ""score_callback"": 41, ""support"": 2}"
132,53,accepted,accepted,True,26.834275722503662,25.239899396896362,14.235736,6.736689,7.202658,12.443719,0.160209,2897,2897,True,True,True,0.10291382724138247,0.02275960170697013,0.08015422553441234,8,9,29,0,target-seed,,,False,"{""candidate_budget_exhausted"": 3, ""score_callback"": 8, ""support"": 20}"
136,55,expensive_reject,rejected,True,44.46357560157776,22.642623901367188,23.016119,0.001216,19.577502,19.865187,0.179041,0,0,,,False,0.16124306670200617,,,18,18,36,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""camera_clearance"": 19, ""candidate_budget_exhausted"": 9, ""score_callback"": 14, ""support"": 3}"
137,55,accepted,accepted,True,49.160359382629395,43.293569803237915,15.785945,14.099431,21.699827,17.105191,0.195114,424,454,True,True,True,0.21177009451692813,0.21774193548387097,0.005971840966942837,2,2,9,0,target-seed,,,False,"{""score_callback"": 1}"
142,59,expensive_reject,rejected,True,133.57814717292786,65.1285879611969,80.725242,0.001285,39.706583,52.092933,0.152478,0,0,,,False,0.3398625913123031,,,19,19,44,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 10, ""collision"": 1, ""score_callback"": 24, ""support"": 19}"
143,59,expensive_reject,rejected,True,60.79854941368103,75.12309622764587,18.274287,0.001311,41.190735,73.803869,0.104032,0,0,,,False,0.165924172579748,,,18,20,52,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""camera_clearance"": 5, ""candidate_budget_exhausted"": 9, ""score_callback"": 47}"
146,59,expensive_reject,rejected,True,66.20333194732666,64.08275628089905,24.879932,0.001557,36.175059,58.675754,0.167618,0,0,,,False,0.24104336438610516,,,21,21,60,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 9, ""score_callback"": 56, ""support"": 4}"
