relative_path,total_bytes,gb,modified_time,extension,top_level_group
data/pallet/pallet.zip,16637698137,16.638,2026-05-20 09:54,.zip,pallet.zip
data/pallet/train_palletobj_v3.zip,10449502513,10.45,2026-06-24 11:33,.zip,train_palletobj_v3.zip
data/pallet/train_4pallet_mask_v1.zip,9675248635,9.675,2026-07-06 15:28,.zip,train_4pallet_mask_v1.zip
data/pallet/train_palletobj_v2.zip,8346416419,8.346,2026-05-20 13:30,.zip,train_palletobj_v2.zip
data/pallet/train_palletobj_v2 (2).zip,8321314846,8.321,2026-05-20 12:31,.zip,train_palletobj_v2 (2).zip
data/pallet/train_palletobj_v1 (2).zip,8316876455,8.317,2026-05-20 12:31,.zip,train_palletobj_v1 (2).zip
data/pallet/train_palletobj_addon_v1.zip,5648950621,5.649,2026-06-25 15:17,.zip,train_palletobj_addon_v1.zip
data/pallet/trunc_addon_v1.zip,5435835407,5.436,2026-07-04 00:01,.zip,trunc_addon_v1.zip
data/pallet/train_palletobj_v1.zip,4529431174,4.529,2026-05-20 13:50,.zip,train_palletobj_v1.zip
data/pallet/archive/training_data_v4_split/training_data_v4_split.zip,3693107448,3.693,2026-06-17 18:04,.zip,archive
data/pallet/test_blender_v69.zip,3653659280,3.654,2026-04-06 17:49,.zip,test_blender_v69.zip
data/pallet/archive/training_data_v4_emptywood/training_data_v4_emptywood.zip,2036982824,2.037,2026-06-18 21:12,.zip,archive
data/pallet/test_blender_v64.zip,1781592200,1.782,2026-04-04 17:05,.zip,test_blender_v64.zip
data/pallet/test_blender_v70.zip,913350083,0.913,2026-04-06 18:25,.zip,test_blender_v70.zip
data/pallet/test_blender_v68.zip,906940260,0.907,2026-04-05 22:25,.zip,test_blender_v68.zip
data/pallet/test_indoor_v1.zip,587372076,0.587,2026-04-07 14:24,.zip,test_indoor_v1.zip
data/pallet/blender_scene/synth_data_scene.blend,358917479,0.359,2026-07-24 19:39,.blend,blender_scene
data/pallet/blender_scene/synth_data_scene121.blend,265089901,0.265,2026-03-26 00:54,.blend,blender_scene
data/pallet/blender_scene/synth_data_scene12.blend1,265089900,0.265,2026-03-26 00:54,.blend1,blender_scene
data/pallet/blender_scene/synth_data_scene12.blend,257666344,0.258,2026-03-26 11:23,.blend,blender_scene
data/pallet/blender_scene/synth_data_scene.REBAKE_WIP.blend1,246594559,0.247,2026-07-24 18:24,.blend1,blender_scene
data/pallet/blender_scene/synth_data_scene.POSTBAKE_CLEAN_20260724_191902.blend,245967843,0.246,2026-07-24 19:19,.blend,blender_scene
data/pallet/blender_scene/synth_data_scene.REBAKE_WIP.blend,245967843,0.246,2026-07-24 18:30,.blend,blender_scene
data/pallet/blender_scene/synth_data_scene.blend1,245862236,0.246,2026-07-24 19:38,.blend1,blender_scene
data/pallet/blender_scene/synth_data_scene_indoor.blend,245480818,0.245,2026-04-07 11:30,.blend,blender_scene
data/pallet/blender_scene/synth_data_scene.PREBAKE_BACKUP_20260724_181050.blend,245475973,0.245,2026-07-24 18:10,.blend,blender_scene
