group_id,duplicate_type,member_paths,shared_hash_count,differing_files,recommended_canonical,archive_candidates,confidence,evidence,deletion_recommended
G001,A_exact_duplicate_file,data/pallet/blender_scene/synth_data_scene.POSTBAKE_CLEAN_20260724_191902.blend;data/pallet/blender_scene/synth_data_scene.REBAKE_WIP.blend,2,,data/pallet/blender_scene/synth_data_scene.POSTBAKE_CLEAN_20260724_191902.blend,data/pallet/blender_scene/synth_data_scene.REBAKE_WIP.blend,high,"[확인] SHA256 0acddbf5864bb4da… 동일, 245967843 bytes x2",false
G002,A_exact_duplicate_file,data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Indoor/ZetoCGcom_ExhibitionHall_Interior1.hdr;data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Indoor/ZetoCGcom_ExhibitionHall_Interior1.hdr,2,,data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Indoor/ZetoCGcom_ExhibitionHall_Interior1.hdr,data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Indoor/ZetoCGcom_ExhibitionHall_Interior1.hdr,high,"[확인] SHA256 fdbe65af6cbe1aa9… 동일, 92866949 bytes x2",false
G003,A_exact_duplicate_file,data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Indoor/ZetoCG_com_WarehouseInterior2b.hdr;data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Indoor/ZetoCG_com_WarehouseInterior2b.hdr,2,,data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Indoor/ZetoCG_com_WarehouseInterior2b.hdr,data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Indoor/ZetoCG_com_WarehouseInterior2b.hdr,high,"[확인] SHA256 1a6dcfad36fbba1a… 동일, 68074110 bytes x2",false
G004,A_exact_duplicate_file,data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Sky_Elements/materials/cloudy/textures/stars_4k.hdr;data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Sky_Elements/materials/cloudy/textures/stars_4k.hdr,2,,data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/2022_1/Skies/Sky_Elements/materials/cloudy/textures/stars_4k.hdr,data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Sky_Elements/materials/cloudy/textures/stars_4k.hdr,high,"[확인] SHA256 371597b62025afad… 동일, 34088719 bytes x2",false
G005,A_exact_duplicate_file,data/pallet/background/modular_buildings_industrial_area..zip;data/pallet/background/modular_buildings_industrial_area.zip,2,,data/pallet/background/modular_buildings_industrial_area..zip,data/pallet/background/modular_buildings_industrial_area.zip,high,"[확인] SHA256 3f233a6be04a71ef… 동일, 28110712 bytes x2",false
G006,A_exact_duplicate_file,data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Clear/kloppenheim_02_4k.hdr;data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Night/kloppenheim_02_4k.hdr,2,,data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Clear/kloppenheim_02_4k.hdr,data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Night/kloppenheim_02_4k.hdr,high,"[확인] SHA256 e1d9b9299d8141a8… 동일, 27641994 bytes x2",false
G007,A_exact_duplicate_file,data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Clear/sunflowers_4k.hdr;data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Cloudy/sunflowers_4k.hdr,2,,data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Clear/sunflowers_4k.hdr,data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Cloudy/sunflowers_4k.hdr,high,"[확인] SHA256 5acfc07b38307c38… 동일, 26582747 bytes x2",false
G008,A_exact_duplicate_file,data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Clear/evening_road_01_4k.hdr;data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Cloudy/evening_road_01_4k.hdr;data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Evening/evening_road_01_4k.hdr,3,,data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Clear/evening_road_01_4k.hdr,data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Cloudy/evening_road_01_4k.hdr;data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Evening/evening_road_01_4k.hdr,high,"[확인] SHA256 35fb4a0a1beab532… 동일, 25365606 bytes x3",false
G009,A_exact_duplicate_file,data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Characters/Reallusion/Audio2Face_Preset_Examples/Debra_A2F_CC_GameBase/localhost/NVIDIA/Assets/Skies/Indoor/entrance_hall_4k.hdr;data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Indoor/entrance_hall_4k.hdr,2,,data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Characters/Reallusion/Audio2Face_Preset_Examples/Debra_A2F_CC_GameBase/localhost/NVIDIA/Assets/Skies/Indoor/entrance_hall_4k.hdr,data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Indoor/entrance_hall_4k.hdr,high,"[확인] SHA256 c97c0855d32cb156… 동일, 24702237 bytes x2",false
G010,A_exact_duplicate_file,data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Characters/Reallusion/Audio2Face_Preset_Examples/Viking_A2F_CC3_PLUS/localhost/NVIDIA/Assets/Skies/Clear/white_cliff_top_4k.hdr;data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Clear/white_cliff_top_4k.hdr,2,,data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Characters/Reallusion/Audio2Face_Preset_Examples/Viking_A2F_CC3_PLUS/localhost/NVIDIA/Assets/Skies/Clear/white_cliff_top_4k.hdr,data/pallet/isaac_assets/Assets/Isaac/4.5/NVIDIA/Assets/Skies/Clear/white_cliff_top_4k.hdr,high,"[확인] SHA256 f4e9bff41541065f… 동일, 24390121 bytes x2",false
