relative_path,absolute_path,entry_type,depth,parent,extension,file_count_recursive,total_bytes_recursive,modified_time,sha256,hash_status,is_gitignored,is_symlink,is_empty,top_level_group,proposed_category,referenced_by_code_count,referenced_by_code_paths,contains_rgb,contains_labels,contains_masks,contains_overlay,contains_blend,contains_3d_models,contains_textures,contains_manifest,contains_license,contains_weights,ext_histogram,proposed_destination,status
data/pallet,E:\CODING\GitHub\FoundationPose\data\pallet,dir,0,,,363015,191023311090,2026-07-28 02:40,,N/A_DIR,true,false,false,(root),(상위 폴더 분류 상속),527,AGENTS.md:41;CLAUDE.md:41;_docs/attribution_cc-by_appendix.md:11;_docs/attribution_cc-by_appendix.md:40;_docs/attribution_cc-by_appendix.md:42;_docs/blender_mcp_onboarding.md:135;_docs/blender_mcp_onboarding.md:138;_docs/blender_mcp_onboarding.md:140;_docs/blender_mcp_onboarding.md:142;_docs/blender_mcp_onboarding.md:144;_docs/blender_mcp_onboarding.md:145;_docs/blender_mcp_onboarding.md:149,true,true,true,true,true,true,true,true,true,false,.png=245653;.json=111249;.jpg=2478;.usd=1862;.log=380;.jsonl=139;.pbtxt=128;.config=128,(상속),(상속)
data/pallet/archive,E:\CODING\GitHub\FoundationPose\data\pallet\archive,dir,1,data/pallet,,328942,89794719163,2026-07-25 13:44,,N/A_DIR,true,false,false,archive,CONTAINER,11,_docs/blender_mcp_onboarding.md:233;_docs/history/2026-07-28.md:165;reports/v2_overlay_fix/final_report.md:23;reports/v2_overlay_fix/visual_verification.md:38;reports/v2_overlay_fix/visual_verification.md:4;scripts/data_prep/blender/_make_archive_vs_new_sheet.py:22;scripts/data_prep/blender/_verify_archive_style_pixels.py:48;scripts/data_prep/blender/overlay_archive_trunc_style.py:6;scripts/data_prep/blender/overlay_v2_detailed.py:9;scripts/data_prep/blender/tests/test_overlay_archive_trunc_style.py:4;scripts/data_prep/blender/tests/test_overlay_archive_trunc_style.py:42,true,true,true,true,false,true,true,false,true,false,.png=221318;.json=107271;.log=315;.txt=12;.py=11;.md=3;.pyc=3;.jpg=3,(하위 항목별),KEEP_CURRENT
data/pallet/archive/rotation_debug,E:\CODING\GitHub\FoundationPose\data\pallet\archive\rotation_debug,dir,2,data/pallet/archive,,4,1550217,2026-04-22 22:21,,N/A_DIR,true,false,false,archive,SUPERSEDED_RUN,0,,false,false,false,false,false,false,false,false,false,false,.png=4,archive/superseded_runs/,BLOCKED_BY_UNKNOWN_PURPOSE
data/pallet/archive/runtime_pallet_debug,E:\CODING\GitHub\FoundationPose\data\pallet\archive\runtime_pallet_debug,dir,2,data/pallet/archive,,4,1819819,2026-04-22 22:21,,N/A_DIR,true,false,false,archive,SUPERSEDED_RUN,0,,false,false,false,false,false,false,false,false,false,false,.png=4,archive/superseded_runs/,BLOCKED_BY_UNKNOWN_PURPOSE
data/pallet/archive/test_blender_v1,E:\CODING\GitHub\FoundationPose\data\pallet\archive\test_blender_v1,dir,2,data/pallet/archive,,63,14124145,2026-04-22 22:21,,N/A_DIR,true,false,false,archive,LEGACY_DATASET,0,,true,true,false,true,false,false,false,false,false,false,.png=33;.json=30,archive/legacy_datasets/,SAFE_CANDIDATE
data/pallet/archive/test_blender_v1/overlay,E:\CODING\GitHub\FoundationPose\data\pallet\archive\test_blender_v1\overlay,dir,3,data/pallet/archive/test_blender_v1,,0,0,2026-03-25 23:43,,N/A_DIR,true,false,true,archive,(상위 폴더 분류 상속),0,,false,false,false,false,false,false,false,false,false,false,,(상속),(상속)
data/pallet/archive/test_blender_v10,E:\CODING\GitHub\FoundationPose\data\pallet\archive\test_blender_v10,dir,2,data/pallet/archive,,30,9258721,2026-04-22 22:21,,N/A_DIR,true,false,false,archive,LEGACY_DATASET,0,,true,true,false,true,false,false,false,false,false,false,.png=20;.json=10,archive/legacy_datasets/,SAFE_CANDIDATE
data/pallet/archive/test_blender_v10/overlay,E:\CODING\GitHub\FoundationPose\data\pallet\archive\test_blender_v10\overlay,dir,3,data/pallet/archive/test_blender_v10,,10,4475965,2026-04-22 22:21,,N/A_DIR,true,false,false,archive,(상위 폴더 분류 상속),0,,true,false,false,true,false,false,false,false,false,false,.png=10,(상속),(상속)
data/pallet/archive/test_blender_v11,E:\CODING\GitHub\FoundationPose\data\pallet\archive\test_blender_v11,dir,2,data/pallet/archive,,30,9646016,2026-04-22 22:21,,N/A_DIR,true,false,false,archive,LEGACY_DATASET,0,,true,true,false,true,false,false,false,false,false,false,.png=20;.json=10,archive/legacy_datasets/,SAFE_CANDIDATE
data/pallet/archive/test_blender_v11/overlay,E:\CODING\GitHub\FoundationPose\data\pallet\archive\test_blender_v11\overlay,dir,3,data/pallet/archive/test_blender_v11,,10,4692962,2026-04-22 22:21,,N/A_DIR,true,false,false,archive,(상위 폴더 분류 상속),0,,true,false,false,true,false,false,false,false,false,false,.png=10,(상속),(상속)
