usable_id,diagnostic_mode,semantics_pass,failed,unknown,recorded_pass,n_cargo_requested,n_cargo_placed,n_cargo_visible,cargo_visible_pixels,cargo_visible_pixel_ratio,n_context_requested,n_context_placed,n_context_visible,context_visible_pixel_ratio,explicit_occluder_placed,explicit_occluder_visible_pixels,occluder_side_target,occluder_side_actual,occluder_side_match,f_explicit_target,f_explicit_actual,explicit_metrics_available,f_explicit_actual_lowres,explicit_abs_error_lowres,explicit_target_pixels,explicit_actual_pixels_lowres,explicit_target_centroid_u,explicit_target_centroid_v,explicit_actual_centroid_u_lowres,explicit_actual_centroid_v_lowres,search_winning_stage,coarse_eval_count,fine_eval_count,runtime_s
0,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,8.018558979034424
1,cargo-only,True,,,True,2,2,2,89,0.007242838541666667,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,14.948360204696655
2,context-rich,True,,,True,2,2,2,459,0.027960526315789474,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,33.86886477470398
3,controlled-occlusion,True,,,True,2,2,1,602,0.048990885416666664,3,3,2,0.6666666666666666,True,8058,right,right,True,0.23841597266951697,,True,0.25292656970556937,0.014510597036052397,2267,713,83.91883546537274,70.88134097926776,117.43618513323983,71.38709677419355,preprobe,1,0,49.28431439399719
4,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,16.50839376449585
5,controlled-occlusion,True,,,True,2,0,0,0,0.0,3,3,2,0.6666666666666666,True,4874,right,right,True,0.19729726117221708,,True,0.2051792828685259,0.007882021696308833,1004,206,31.21215139442231,35.0906374501992,52.33009708737864,33.28155339805825,preprobe,1,0,53.29394793510437
6,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,14.372748851776123
7,cargo-only,True,,,True,2,2,2,791,0.06437174479166667,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,9.73373007774353
8,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,20.77377724647522
9,controlled-occlusion,True,,,True,2,1,1,1056,0.06432748538011696,3,3,3,1.0,True,10126,left,left,True,0.15380072366715544,,True,0.21137911986742772,0.057578396200272275,4499,1148,114.52545010002223,103.48833074016449,71.4808362369338,105.06358885017421,gate-overlap-refine,44,0,71.90200233459473
10,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,5.473246335983276
11,cargo-only,True,,,True,2,2,1,358,0.02589699074074074,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,13.920304298400879
12,context-rich,True,,,True,2,1,1,567,0.046142578125,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,35.745872259140015
13,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,2,0.6666666666666666,True,265,left,left,True,0.23460343283020751,,True,0.23214285714285715,0.0024605756873503637,56,13,110.35714285714286,45.0,102.6923076923077,44.92307692307692,target-seed,9,0,55.38606238365173
14,context-rich,True,,,True,0,0,0,0,0.0,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,12.56737470626831
15,controlled-occlusion,True,,,True,2,2,2,131,0.010660807291666666,3,3,3,1.0,True,1671,right,right,True,0.13476290926564738,,True,0.096,0.03876290926564738,229,24,115.12227074235808,65.43231441048034,132.375,64.95833333333333,preprobe,1,0,36.14314293861389
16,clean-static,True,,,True,0,0,0,0,0.0,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,5.015846252441406
17,cargo-only,True,,,True,2,2,2,1021,0.11078559027777778,0,0,0,0.0,False,0,,,,0.0,,False,,,,,,,,,,,,8.917285919189453
18,context-rich,True,,,True,2,2,1,1258,0.07663255360623782,3,3,3,1.0,False,0,,,,0.0,,False,,,,,,,,,,,,32.85408163070679
19,controlled-occlusion,True,,,True,0,0,0,0,0.0,3,3,3,1.0,True,603,left,left,True,0.20882409673037297,,True,0.2254335260115607,0.01660942928118772,173,39,44.24277456647399,69.74566473988439,37.53846153846154,70.58974358974359,target-seed,9,0,61.498172998428345
