idx,mode,reprojection_max_px
0,clean-static,
1,cargo-only,
2,context-rich,
3,controlled-occlusion,
4,context-rich,
5,controlled-occlusion,
6,clean-static,
7,cargo-only,
8,context-rich,
9,controlled-occlusion,
10,clean-static,
11,cargo-only,
12,context-rich,
13,controlled-occlusion,
14,context-rich,
15,controlled-occlusion,
16,clean-static,
17,cargo-only,
18,context-rich,
19,controlled-occlusion,
