usable_id,frame_id,reproj_max_px,reproj_centroid_px,reproj_consistency_px,K_valid,pose_valid
55,f0055,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
56,f0056,6.355287432313019e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
57,f0057,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
58,f0058,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
59,f0059,8.038873388460929e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
60,f0060,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
61,f0061,8.038873388460929e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
62,f0062,1.1718571004216928e-13,2.842170943040401e-14,1.1368683772161603e-13,True,True
63,f0063,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
64,f0064,5.684341886080802e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
65,f0065,1.2710574864626038e-13,1.2710574864626038e-13,1.1368683772161603e-13,True,True
66,f0066,6.355287432313019e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
67,f0067,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
68,f0068,1.2710574864626038e-13,1.1368683772161603e-13,1.1368683772161603e-13,True,True
69,f0069,1.1368683772161603e-13,0.0,1.1368683772161603e-13,True,True
70,f0070,6.355287432313019e-14,6.355287432313019e-14,5.684341886080802e-14,True,True
71,f0071,6.355287432313019e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
72,f0072,5.684341886080802e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
73,f0073,1.1718571004216928e-13,0.0,1.1368683772161603e-13,True,True
74,f0074,1.2710574864626038e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
75,f0075,6.355287432313019e-14,6.355287432313019e-14,5.684341886080802e-14,True,True
76,f0076,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
77,f0077,1.2710574864626038e-13,8.038873388460929e-14,1.1368683772161603e-13,True,True
78,f0078,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
79,f0079,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
80,f0080,1.1368683772161603e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
81,f0081,2.842170943040401e-14,2.842170943040401e-14,2.842170943040401e-14,True,True
82,f0082,6.355287432313019e-14,5.728578676879116e-14,5.684341886080802e-14,True,True
83,f0083,1.1368683772161603e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
84,f0084,5.684341886080802e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
85,f0085,1.2710574864626038e-13,1.1368683772161603e-13,1.1368683772161603e-13,True,True
86,f0086,1.1368683772161603e-13,2.842170943040401e-14,1.1368683772161603e-13,True,True
87,f0087,6.355287432313019e-14,6.355287432313019e-14,2.842170943040401e-14,True,True
88,f0088,1.1368683772161603e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
89,f0089,1.2710574864626038e-13,0.0,1.1368683772161603e-13,True,True
90,f0090,6.355287432313019e-14,4.0194366942304644e-14,5.684341886080802e-14,True,True
91,f0091,1.139086659085919e-13,2.1316282072803006e-14,1.1368683772161603e-13,True,True
92,f0092,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
93,f0093,8.038873388460929e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
94,f0094,6.355287432313019e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
95,f0095,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
96,f0096,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
97,f0097,1.1718571004216928e-13,0.0,1.1368683772161603e-13,True,True
98,f0098,5.684341886080802e-14,4.0194366942304644e-14,5.684341886080802e-14,True,True
99,f0099,5.684341886080802e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
100,f0100,5.859285502108464e-14,3.552713678800501e-15,5.684341886080802e-14,True,True
