usable_id,keypoint_index,reprojection_error_px
0,0,2.842170943040401e-14
0,1,0.0
0,2,5.684341886080802e-14
0,3,6.355287432313019e-14
0,4,5.684341886080802e-14
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
1,0,1.1368683772161603e-13
1,1,1.1368683772161603e-13
1,2,0.0
1,3,0.0
1,4,8.038873388460929e-14
1,5,1.1368683772161603e-13
1,6,1.1368683772161603e-13
1,7,5.684341886080802e-14
1,8,5.684341886080802e-14
2,0,5.684341886080802e-14
2,1,0.0
2,2,5.684341886080802e-14
2,3,5.684341886080802e-14
2,4,0.0
2,5,5.684341886080802e-14
2,6,8.038873388460929e-14
2,7,5.684341886080802e-14
2,8,5.684341886080802e-14
3,0,2.842170943040401e-14
3,1,5.684341886080802e-14
3,2,0.0
3,3,0.0
3,4,2.842170943040401e-14
3,5,0.0
3,6,0.0
3,7,0.0
3,8,5.684341886080802e-14
4,0,5.684341886080802e-14
4,1,0.0
4,2,0.0
4,3,0.0
4,4,5.684341886080802e-14
4,5,0.0
4,6,1.2710574864626038e-13
4,7,5.684341886080802e-14
4,8,5.684341886080802e-14
5,0,1.1368683772161603e-13
5,1,5.684341886080802e-14
5,2,1.1368683772161603e-13
5,3,0.0
5,4,1.1718571004216928e-13
5,5,1.1718571004216928e-13
5,6,1.1368683772161603e-13
5,7,1.1368683772161603e-13
5,8,0.0
6,0,1.2710574864626038e-13
6,1,1.1368683772161603e-13
6,2,5.684341886080802e-14
6,3,0.0
6,4,8.038873388460929e-14
6,5,1.2710574864626038e-13
6,6,1.1368683772161603e-13
6,7,5.684341886080802e-14
6,8,5.684341886080802e-14
7,0,5.684341886080802e-14
7,1,5.859285502108464e-14
7,2,5.684341886080802e-14
7,3,5.684341886080802e-14
7,4,5.859285502108464e-14
7,5,1.4210854715202004e-14
7,6,1.4210854715202004e-14
7,7,5.684341886080802e-14
7,8,5.859285502108464e-14
8,0,5.859285502108464e-14
8,1,0.0
8,2,0.0
8,3,2.842170943040401e-14
8,4,5.123796534383003e-14
8,5,2.842170943040401e-14
8,6,0.0
8,7,0.0
8,8,0.0
9,0,5.684341886080802e-14
9,1,0.0
9,2,2.842170943040401e-14
9,3,2.842170943040401e-14
9,4,2.842170943040401e-14
9,5,5.859285502108464e-14
9,6,0.0
9,7,1.4210854715202004e-14
9,8,0.0
10,0,0.0
10,1,6.355287432313019e-14
10,2,1.1718571004216928e-13
10,3,0.0
10,4,0.0
10,5,1.4210854715202004e-14
10,6,1.1368683772161603e-13
10,7,6.355287432313019e-14
10,8,6.355287432313019e-14
11,0,0.0
11,1,0.0
11,2,5.684341886080802e-14
11,3,0.0
11,4,5.684341886080802e-14
11,5,0.0
11,6,0.0
11,7,0.0
11,8,0.0
12,0,5.684341886080802e-14
12,1,6.355287432313019e-14
12,2,5.684341886080802e-14
12,3,5.684341886080802e-14
12,4,6.355287432313019e-14
12,5,2.842170943040401e-14
12,6,2.842170943040401e-14
12,7,2.842170943040401e-14
12,8,0.0
13,0,5.684341886080802e-14
13,1,5.684341886080802e-14
13,2,5.684341886080802e-14
13,3,0.0
13,4,0.0
13,5,5.684341886080802e-14
13,6,2.842170943040401e-14
13,7,2.842170943040401e-14
13,8,6.355287432313019e-14
14,0,0.0
14,1,0.0
14,2,8.038873388460929e-14
14,3,5.684341886080802e-14
14,4,5.859285502108464e-14
14,5,2.842170943040401e-14
14,6,0.0
14,7,5.684341886080802e-14
14,8,0.0
15,0,5.684341886080802e-14
15,1,2.842170943040401e-14
15,2,5.684341886080802e-14
15,3,6.355287432313019e-14
15,4,0.0
15,5,5.684341886080802e-14
15,6,6.355287432313019e-14
15,7,5.684341886080802e-14
15,8,0.0
16,0,5.684341886080802e-14
16,1,6.355287432313019e-14
16,2,5.684341886080802e-14
16,3,0.0
16,4,0.0
16,5,0.0
16,6,2.842170943040401e-14
16,7,2.842170943040401e-14
16,8,5.684341886080802e-14
17,0,0.0
17,1,2.842170943040401e-14
17,2,2.842170943040401e-14
17,3,5.684341886080802e-14
17,4,0.0
17,5,5.684341886080802e-14
17,6,0.0
17,7,0.0
17,8,0.0
18,0,1.0658141036401503e-14
18,1,5.684341886080802e-14
18,2,1.2710574864626038e-13
18,3,1.4210854715202004e-14
18,4,3.552713678800501e-14
18,5,6.07087979554246e-14
18,6,0.0
18,7,2.0097183471152322e-14
18,8,0.0
19,0,5.684341886080802e-14
19,1,5.684341886080802e-14
19,2,0.0
19,3,0.0
19,4,5.684341886080802e-14
19,5,0.0
19,6,2.842170943040401e-14
19,7,6.355287432313019e-14
19,8,0.0
20,0,8.038873388460929e-14
20,1,2.842170943040401e-14
20,2,0.0
20,3,0.0
20,4,2.842170943040401e-14
20,5,6.355287432313019e-14
20,6,0.0
20,7,0.0
20,8,0.0
21,0,0.0
21,1,5.684341886080802e-14
21,2,0.0
21,3,0.0
21,4,5.684341886080802e-14
21,5,5.684341886080802e-14
