camera_distance_m,projected_size,density
0.0,0.0,0.07014401167971586
0.0392156862745098,0.0,0.07015606947496054
0.0784313725490196,0.0,0.07019177922205092
0.11764705882352941,0.0,0.07025112100261709
0.1568627450980392,0.0,0.07033406089036165
0.19607843137254902,0.0,0.07044055099360312
0.23529411764705882,0.0,0.07057052951305508
0.27450980392156865,0.0,0.07072392081478998
0.3137254901960784,0.0,0.0709006355183006
0.3529411764705882,0.0,0.07110057059957334
0.39215686274509803,0.0,0.07132360950904669
0.43137254901960786,0.0,0.07156962230432962
0.47058823529411764,0.0,0.07183846579751615
0.5098039215686274,0.0,0.07212998371693616
0.5490196078431373,0.0,0.07244400688313922
0.5882352941176471,0.0,0.07278035339891092
0.6274509803921569,0.0,0.07313882885309057
0.6666666666666666,0.0,0.07351922653794912
0.7058823529411764,0.0,0.07392132767986034
0.7450980392156863,0.0,0.07434490168299386
0.7843137254901961,0.0,0.07478970638572549
0.8235294117647058,0.0,0.0752554883294613
0.8627450980392157,0.0,0.07574198303954241
0.9019607843137255,0.0,0.07624891531788691
0.9411764705882353,0.0,0.07677599954701826
0.9803921568627451,0.0,0.0773229400050924
1.0196078431372548,0.0,0.07788943119155081
1.0588235294117647,0.0,0.07847515816299071
1.0980392156862746,0.0,0.07907979687883934
1.1372549019607843,0.0,0.07970301455640506
1.1764705882352942,0.0,0.08034447003486714
1.2156862745098038,0.0,0.0810038141477532
1.2549019607843137,0.0,0.08168069010343866
1.2941176470588236,0.0,0.08237473387320249
1.3333333333333333,0.0,0.08308557458634876
1.3725490196078431,0.0,0.08381283493190889
1.4117647058823528,0.0,0.08455613156642064
1.4509803921568627,0.0,0.0853150755272735
1.4901960784313726,0.0,0.08608927265110822
1.5294117647058822,0.0,0.08687832399674807
1.5686274509803921,0.0,0.08768182627212404
1.607843137254902,0.0,0.08849937226467568
1.6470588235294117,0.0,0.08933055127466599
1.6862745098039216,0.0,0.09017494955089302
1.7254901960784315,0.0,0.09103215072822904
1.7647058823529411,0.0,0.09190173626644939
1.803921568627451,0.0,0.09278328588979705
1.8431372549019607,0.0,0.09367637802673177
1.8823529411764706,0.0,0.09458059024930923
1.9215686274509804,0.0,0.09549549971163351
1.9607843137254901,0.0,0.09642068358684024
2.0,0.0,0.09735571950204952
