usable_id,frame_id,projected_size_actual,mask_area_visible,mask_area_target_only,visible_fraction,occlusion_fraction_from_mask,f_total_record,f_target,f_total_vs_mask_abs_diff,diagnostic_mode
0,f0000,0.3435656423608599,21782.0,21782.0,1.0,0.0,0.0,0.20640982680282868,0.0,clean-static
1,f0001,0.18617153648017853,13989.0,18086.0,0.7734711931881013,0.2265288068118987,0.2265288068118987,0.0,0.0,cargo-only
2,f0002,0.11885516058195753,801.0,986.0,0.8123732251521298,0.18762677484787016,0.18762677484787016,0.39762389536511267,0.0,context-rich
3,f0003,0.5665725418326082,20624.0,26163.0,0.7882888048006728,0.21171119519932724,0.21171119519932724,0.11971671617145853,0.0,controlled-occlusion
4,f0004,0.31803032011284443,12053.0,12825.0,0.9398050682261209,0.060194931773879135,0.060194931773879135,0.0,0.0,context-rich
5,f0005,0.24993466950394175,3447.0,4111.0,0.8384821211384091,0.16151787886159086,0.16151787886159086,0.13792534443553647,0.0,controlled-occlusion
6,f0006,0.28221582483764424,28142.0,28142.0,1.0,0.0,0.0,0.3888783305287973,0.0,clean-static
7,f0007,0.12362397799628297,1105.0,1315.0,0.8403041825095057,0.15969581749049433,0.15969581749049433,0.2767144176905769,0.0,cargo-only
8,f0008,0.908897112348789,96915.0,102168.0,0.9485846840498003,0.05141531595019966,0.05141531595019966,0.0,0.0,context-rich
9,f0009,0.11885103543440803,5120.0,5383.0,0.9511424856028237,0.04885751439717634,0.04885751439717634,0.12093954986969553,0.0,controlled-occlusion
10,f0010,0.3542305295373325,14242.0,14242.0,1.0,0.0,0.0,0.0,0.0,clean-static
11,f0011,0.09194336195434279,1148.0,1287.0,0.891996891996892,0.10800310800310797,0.10800310800310797,0.0,0.0,cargo-only
12,f0012,0.18241295771485405,5813.0,5813.0,1.0,0.0,0.0,0.4186557883498344,0.0,context-rich
13,f0013,0.3300496712023322,9570.0,11602.0,0.8248577831408378,0.1751422168591622,0.1751422168591622,0.16610760640757136,0.0,controlled-occlusion
14,f0014,0.6239140448853722,19512.0,24798.0,0.7868376481974353,0.2131623518025647,0.2131623518025647,0.24632595173234348,0.0,context-rich
15,f0015,0.10040087118466641,1049.0,1153.0,0.9098005203816132,0.09019947961838681,0.09019947961838681,0.17794813718487862,0.0,controlled-occlusion
16,f0016,0.5659417362719559,46204.0,46204.0,1.0,0.0,0.0,0.27805515620393306,0.0,clean-static
17,f0017,0.12260261690894025,1247.0,1529.0,0.815565729234794,0.18443427076520602,0.18443427076520602,0.0,0.0,cargo-only
