usable_id,f_explicit_target,f_explicit_actual,abs_error,occluder_side_target,occluder_side_actual,occluder_side_match,explicit_occluder_visible_pixels,runtime_s
3,0.19537258492039322,,,left,left,True,228,41.9253044128418
5,0.27312834436863037,,,right,right,True,12513,60.205660581588745
9,0.14684539908486832,,,bottom,bottom,True,193,28.363297939300537
13,0.39950323821430234,,,left,left,True,455,33.4101448059082
15,0.4082084078182895,,,right,right,True,11123,47.183006286621094
19,0.2577233925098761,,,bottom,bottom,True,5186,78.7885172367096
23,0.23646578345592215,,,left,left,True,323,46.8624632358551
25,0.12697100401716757,,,bottom,bottom,True,218,67.9326982498169
29,0.3343477429268502,,,right,right,True,5081,58.10186314582825
33,0.19524197566885365,,,left,left,True,4409,40.419278383255005
35,0.3350807686779613,,,left,left,True,2655,56.78265595436096
39,0.43973900871519656,,,left,left,True,6220,36.23778963088989
43,0.38540231592339785,,,right,right,True,368,25.83742046356201
45,0.3290793167680911,,,left,left,True,805,134.66317987442017
49,0.4495132565574447,,,left,left,True,2710,88.9477105140686
53,0.10291382724138247,,,right,right,True,2897,25.628403663635254
55,0.21177009451692813,,,right,right,True,454,44.21930146217346
59,0.1971867501066144,,,right,right,True,8024,120.51667213439941
63,0.20139072164260288,,,right,right,True,730,42.69664478302002
65,0.12240496389104516,,,right,right,True,991,46.383506774902344
69,0.18870592109118398,,,bottom,bottom,True,732,63.77988004684448
73,0.14832489796501136,,,right,right,True,895,38.56828999519348
75,0.3891861039916183,,,bottom,bottom,True,7053,41.52044677734375
79,0.17523444273776634,,,bottom,bottom,True,488,165.1424958705902
83,0.18002557219038512,,,bottom,bottom,True,514,23.436354637145996
85,0.37570717134901954,,,bottom,bottom,True,333,31.92033624649048
89,0.4108783468383854,,,bottom,bottom,True,3422,47.08680844306946
93,0.3743046620576926,,,left,left,True,512,90.19211077690125
95,0.326120944012687,,,right,right,True,829,97.66198921203613
99,0.3255214460816687,,,bottom,bottom,True,229,95.6318883895874
